ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,1.0,1.0,0.9999819860324727,1.0,1.0,0.9999819860324727,1.0,204777,204723
trajectory,1,1.0,1.0,0.9999799780583765,1.0,1.0,0.9999799780583765,1.0,184240,184310
trajectory,2,1.0,1.0,0.9999774686177854,1.0,1.0,0.9999774686177854,1.0,163720,163880
trajectory,3,1.0,1.0,0.9999742637234889,1.0,1.0,0.9999742637234889,1.0,143332,143318
trajectory,4,1.0,1.0,0.9999699949234482,1.0,1.0,0.9999699949234482,1.0,122940,122760
trajectory,5,1.0,1.0,0.9999640354387407,1.0,1.0,0.9999640354387407,1.0,102568,102182
trajectory,6,1.0,1.0,0.9999550267427881,1.0,1.0,0.9999550267427881,1.0,82022,81778
trajectory,7,1.0,1.0,0.9999401300208326,1.0,1.0,0.9999401300208326,1.0,61613,61237
trajectory,8,1.0,1.0,0.999910261186381,1.0,1.0,0.999910261186381,1.0,41105,40795
trajectory,9,1.0,1.0,0.9998203162495937,1.0,1.0,0.9998203162495937,1.0,20528,20422
last_round,0,1.0,1.0,0.9999819860324727,1.0,1.0,0.9999819860324727,1.0,204777,204723
last_round,1,1.0,1.0,0.9999799780583765,1.0,1.0,0.9999799780583765,1.0,184240,184310
last_round,2,1.0,1.0,0.9999774686177854,1.0,1.0,0.9999774686177854,1.0,163720,163880
last_round,3,1.0,1.0,0.9999742637234889,1.0,1.0,0.9999742637234889,1.0,143332,143318
last_round,4,1.0,1.0,0.9999699949234482,1.0,1.0,0.9999699949234482,1.0,122940,122760
last_round,5,1.0,1.0,0.9999640354387407,1.0,1.0,0.9999640354387407,1.0,102568,102182
last_round,6,1.0,1.0,0.9999550267427881,1.0,1.0,0.9999550267427881,1.0,82022,81778
last_round,7,1.0,1.0,0.9999401300208326,1.0,1.0,0.9999401300208326,1.0,61613,61237
last_round,8,1.0,1.0,0.999910261186381,1.0,1.0,0.999910261186381,1.0,41105,40795
last_round,9,1.0,1.0,0.9998203162495937,1.0,1.0,0.9998203162495937,1.0,20528,20422
