dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m2_target,F1,full,trajectory,0,0.5749784663890651,0.5680140779965703,0.5823829260551957,0.03169317240371026,0.026555046104682622,0.03766651048324312,0.007813642196916779,0.004631072170327602,0.012630954123036964,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,trajectory,1,0.5937099120111584,0.5867147901601568,0.6015912280864594,0.036322877239721246,0.030226129735115695,0.04297902785646976,0.008853295212722753,0.005913120173402181,0.013626089308769122,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,trajectory,2,0.6054306644204225,0.5982259796511621,0.6132224033072272,0.03939310255202326,0.0328634154856084,0.04543006965369514,0.009438100034113614,0.006536015784667378,0.013824356446604404,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,trajectory,3,0.6129634484039299,0.6061157635285769,0.620329298416257,0.039669260384346726,0.03322011376266257,0.046982050759745264,0.009990415698760538,0.006519857768952366,0.013622340349438114,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,trajectory,4,0.6188049772120102,0.6120410747817561,0.6262104513662418,0.041244984486427654,0.0352088672660462,0.047868743302552266,0.009373121720625741,0.00619441873273078,0.013277845173476823,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,trajectory,5,0.6236645131802949,0.6168493136695103,0.6310169100888366,0.042317126658977564,0.035288688703978145,0.04923833110048355,0.009470589190857552,0.006212177057443948,0.013330685185743771,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,trajectory,6,0.6286540028672308,0.6220099926567261,0.6356873612769046,0.04202472424828214,0.035441321456213065,0.049201888849980585,0.010152861482480222,0.0064207062562414265,0.013644171739563473,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,0,0.5749784663890651,0.5680140779965703,0.5823829260551957,0.03169317240371026,0.026555046104682622,0.03766651048324312,0.007813642196916779,0.004631072170327602,0.012630954123036964,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,1,0.5857193376664722,0.579412144287112,0.5924294062821598,0.03265160252765639,0.02679274935215093,0.03947548246173512,0.007586218099709222,0.004911613670961994,0.011944461506639095,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,2,0.5935650229889207,0.5869973470614085,0.6005293990014815,0.03237544469533293,0.026730575433314523,0.03867840446754677,0.0064166084569275,0.004024832331043996,0.011224789658405558,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,3,0.5986285448677281,0.5922388810374662,0.6050174475429672,0.03386994590555402,0.029009350409371415,0.03937519279461406,0.006270407251579785,0.0038771274204618855,0.009033222923610435,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,4,0.6052907959593524,0.5985944086389872,0.6120128849151488,0.03297649409509576,0.02746919749775078,0.039739240662658604,0.0072450819538978865,0.0040303248311397595,0.010399826604502732,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,5,0.6112571455578356,0.6046437742654289,0.6183995870867334,0.03357754349485859,0.028343823235559923,0.03933275863172242,0.008187267499472052,0.004940584972589201,0.011489625328420908,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m2_target,F1,full,last_round,6,0.6166363118543199,0.6101578401374587,0.6229324073168171,0.034860865186244094,0.030084120134716216,0.03983181851462474,0.008333468704819767,0.0050326044737568085,0.012099646350658556,3,"n/a (per-seed, see a1_lira_pertask_*)"
