dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m3_fot,F1,full,trajectory,0,0.5702032172578567,0.5619960505649524,0.5793909348537902,0.028893392784758817,0.02408747047989648,0.033841629643030426,0.005301986218078638,0.0038909634506877205,0.0067697636909376385,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,trajectory,1,0.5850405639149369,0.5773102091807268,0.5941056837753357,0.03161734900689096,0.026714933222179906,0.03736370774316157,0.006031617349006891,0.0037789849214348776,0.008008179594282124,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,trajectory,2,0.5925930346121184,0.584013340692389,0.6024981026449154,0.03411430887717876,0.02782934834269258,0.04105304520153122,0.006988244831779489,0.004678968513929484,0.009600586875226096,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,trajectory,3,0.5965763971583483,0.5879015308782293,0.6065534802521413,0.03578435346574787,0.03010964239132035,0.0434172792250481,0.008074584515606,0.0052645299396132765,0.010159819866473024,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,trajectory,4,0.5995048095273426,0.5905306275632385,0.6096053293808908,0.036513984596676125,0.030370562530817612,0.04225405716041798,0.007831374138629915,0.0054401303030354,0.010433706205537545,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,trajectory,5,0.6012589161357146,0.5922612980821259,0.6115209777948962,0.036919335224969596,0.031839035758316724,0.04210745033408213,0.0075233076611268745,0.005250736997305384,0.010124425422437484,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,trajectory,6,0.6032249020457731,0.5944584960723001,0.6131041880755705,0.03769760843129307,0.03306427895553826,0.042674776237639815,0.007571949736522091,0.005533605097840638,0.010181932182814232,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,0,0.5702032172578567,0.5619960505649524,0.5793909348537902,0.028893392784758817,0.02408747047989648,0.033841629643030426,0.005301986218078638,0.0038909634506877205,0.0067697636909376385,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,1,0.5678662251049359,0.561361377236557,0.5749805803372531,0.028406972030806648,0.024496977916618277,0.031999845609035925,0.005383056343737333,0.0034146287563219546,0.006959854119135501,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,2,0.5732921401472119,0.5634076557249363,0.5833889589592023,0.02916903121199838,0.024501999196457153,0.03510296755386359,0.006404539927036887,0.004211673928496546,0.009447387288678714,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,3,0.5783869712739759,0.5699263603246918,0.5873368426791423,0.031665991082286175,0.027382807683990706,0.03622074169321371,0.007036886907174706,0.005135679038648959,0.009106609873301181,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,4,0.5826972635610276,0.5738173493319664,0.592313680615988,0.03160113498175922,0.02767971038044364,0.03599173140947106,0.0068098905553303606,0.004667476231914833,0.009309884429273486,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,5,0.5851014781499817,0.5777493607150248,0.5933789310891825,0.032833400891771385,0.0285751875594392,0.03749977657856912,0.005755978921767328,0.003970915190373053,0.008182222664450857,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m3_fot,F1,full,last_round,6,0.5892201699696491,0.5812251967413161,0.5981251507834203,0.03306039724361573,0.028904402726137972,0.03697100041135043,0.00619375760032428,0.00453550558509341,0.00833125043076804,3,"n/a (per-seed, see a1_lira_pertask_*)"
