dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m5_hybrid_replay,F1,full,trajectory,0,0.5663378895054983,0.558349687303619,0.5749298057070157,0.03067712968206456,0.026567814200587986,0.035506000863971925,0.007636922579079363,0.004484966262094713,0.013115244997248119,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,1,0.5917951128932188,0.5830966350646477,0.6011248498919913,0.041954534422781325,0.03552159383708806,0.04875681482035413,0.010662567753418008,0.006191641851155277,0.01662838966792967,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,2,0.6050267532854053,0.5954846778126534,0.6149031616374904,0.048669201520912544,0.04165045490461759,0.05579178359060795,0.014869347140199014,0.009856181290213643,0.0206219922390248,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,3,0.6143550786915712,0.6048412475195861,0.6247185359150835,0.05227732384111318,0.044730364280375655,0.06066784218163535,0.017409594692986006,0.012451954342553462,0.02329073129840864,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,4,0.6205051200975074,0.6109108801274448,0.6312737450797407,0.05787557640967559,0.04999400065008877,0.06685970752137839,0.020516139470916593,0.014792479248110507,0.026853056285750937,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,5,0.6242245193961047,0.6142915041007585,0.634998367867673,0.06122481999838201,0.05283977242962785,0.06995323741566138,0.02278132837149098,0.01667821974835146,0.02956539558046187,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,trajectory,6,0.6272808428317548,0.6171445102639229,0.6380188005482362,0.06363562818542189,0.05471450164476816,0.07333926972787827,0.0237359436938759,0.017875869761163687,0.03081701724674228,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,0,0.5663378895054983,0.558349687303619,0.5749298057070157,0.03067712968206456,0.026567814200587986,0.035506000863971925,0.007636922579079363,0.004484966262094713,0.013115244997248119,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,1,0.585286945949672,0.5767296335733257,0.594762169046433,0.03922012782137368,0.03364534076828104,0.04562925491855715,0.010387509101205405,0.006482955321812031,0.01519495291308309,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,2,0.5949437011402733,0.5848918055180177,0.6055268427653689,0.04491545991424642,0.03858314785001218,0.05140805776919359,0.014723727853733517,0.009931518568811392,0.020265067748574228,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,3,0.6029113677916554,0.5945064287211203,0.6119671449112848,0.050303373513469786,0.043410102151068136,0.05742836440620254,0.017005096675026293,0.012365662860337754,0.022669266906806863,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,4,0.6085255387899388,0.5997174037289198,0.6180075876108124,0.05538386861904376,0.04759276875799341,0.06389605000083333,0.019966022166491383,0.014814123905223743,0.025947385392226394,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,5,0.6099200224231835,0.5999606685154573,0.6203073633722638,0.05750343823315266,0.05012694888220706,0.06605316660373552,0.020904457568157914,0.015459276153569837,0.02835416064063852,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m5_hybrid_replay,F1,full,last_round,6,0.6102181427834575,0.5989896079865333,0.6218592432835479,0.059800986975163825,0.05099070718263471,0.06923225579087973,0.02328290591376102,0.017420051423159343,0.02998682726292474,3,"n/a (per-seed, see a1_lira_pertask_*)"
