dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cifar100,m8_analytic,F5,global,trajectory,0,0.9986535903794697,0.9981139273505126,0.9990712965457078,0.9660258184245226,0.954716685994908,0.9753844469305817,0.9106936463233978,0.8822880140511837,0.9317763155624864,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,trajectory,1,0.9982506994994451,0.9976076684240238,0.9987618970068566,0.9583095931888848,0.9464317487374232,0.9691566825668327,0.8937798108385291,0.8677496607506444,0.9144875911452531,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,trajectory,2,0.9977982412323179,0.997054354218855,0.998408432331312,0.9503491836103469,0.9369572213153222,0.962895742352949,0.8760194696316073,0.8532572654472603,0.89795721996404,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,trajectory,3,0.9973143693467476,0.9964695719166701,0.9980122181049912,0.9414771524849826,0.9282921419640118,0.9545089655315483,0.860717250809878,0.8358626123091949,0.8850894533801421,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,trajectory,4,0.9968046437681828,0.9958682495764107,0.9975953423766922,0.9323121001481385,0.9181995426861456,0.9464982759887683,0.8470266486512885,0.8213240922275558,0.8723872691262209,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,trajectory,5,0.9962746175478477,0.9952394742586637,0.997156971787023,0.9249214540363672,0.9082083719573643,0.9383783216627879,0.8308616451513129,0.8072931115498847,0.8574947404233095,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,trajectory,6,0.9957471326753377,0.9946211673065913,0.9967075087383518,0.9165052336844162,0.8988982065070937,0.9312724230166742,0.8159012844096436,0.7912485629473546,0.8446608162191453,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,0,0.9986535903794697,0.9981139273505126,0.9990712965457078,0.9660258184245226,0.954716685994908,0.9753844469305817,0.9106936463233978,0.8822880140511837,0.9317763155624864,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,1,0.9967395089070962,0.9957980020781239,0.997542591881212,0.9322632632795586,0.9186106719950916,0.9468409151928104,0.8438034153250094,0.8155319442998794,0.8717125940951863,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,2,0.9937539635174116,0.9923170896095059,0.9949977113858959,0.8889124029367237,0.8711229206720492,0.906187622266925,0.7672923212163636,0.7387851797130006,0.8000579151167502,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,3,0.9895905517948236,0.9875289450286654,0.9914708527523205,0.8374057855410311,0.8152773313048548,0.8582383734664559,0.6986276839929024,0.6681938727261233,0.7323825549097416,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,4,0.9846050888741498,0.9818243295110364,0.9871589977573543,0.7880479903628579,0.7650118808663047,0.8123614278294067,0.6257630760715623,0.5940758500180685,0.6577456744742902,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,5,0.9791979882707539,0.9756620123588677,0.9823715321949017,0.7429878396197236,0.715797091789341,0.7680450988975311,0.5668332546517117,0.531740275685735,0.597427039898005,3,"n/a (per-seed, see a1_lira_pertask_*)"
cifar100,m8_analytic,F5,global,last_round,6,0.9736469284563861,0.9695011460765284,0.9773231393806907,0.7005486008237152,0.6682273764615099,0.7282885133392036,0.5148871054387992,0.47565629433452666,0.5477169511130401,3,"n/a (per-seed, see a1_lira_pertask_*)"
