dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m1_glfc,F1,full,trajectory,0,0.6160647140863971,0.6059110251746106,0.6275063838308376,0.0377057713579283,0.030676385593658987,0.044939580073064776,0.006311406077168326,0.0038156310059512632,0.009896380021556302,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,1,0.652492418754877,0.6428965079501284,0.663670928525356,0.04315505237816383,0.03547877541957283,0.05203341674103969,0.007515127854772594,0.004868530956909265,0.010189208621797584,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,2,0.6848429481048418,0.6754110519374843,0.6948823476604639,0.05206910013663869,0.04169573759491795,0.06469898447625107,0.008328453380180883,0.005602659488969814,0.012657494845714594,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,3,0.7135042543402605,0.7038940759184855,0.7234186464810288,0.06706682282516754,0.05481040327767927,0.08405637771628312,0.009792439325915805,0.006730452787233403,0.016140151277235133,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,4,0.7378848849287313,0.7271858644740087,0.7484669953694454,0.08282907150758019,0.06660442875448802,0.10304760684166372,0.012948142364499968,0.00816363692163432,0.019489683359177577,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,5,0.759665143913576,0.7473756178620197,0.7711248604315626,0.1016982236970525,0.08145979169797728,0.12470989329406076,0.018120892706096688,0.010846427544897005,0.025800749420737727,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,trajectory,6,0.7786208086418364,0.7650706552125127,0.790817333971033,0.12003058103975535,0.09944922698246664,0.14459818193223392,0.022838180753464766,0.015454512555957702,0.03479114050523438,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,0,0.6160647140863971,0.6059110251746106,0.6275063838308376,0.0377057713579283,0.030676385593658987,0.044939580073064776,0.006311406077168326,0.0038156310059512632,0.009896380021556302,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,1,0.6576965543877891,0.6475846147996376,0.667529762918503,0.04557876244388054,0.0361001388094667,0.05605394355204348,0.0077428590018869155,0.00541119538441181,0.010203380288620905,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,2,0.7039813926877605,0.6926121007764074,0.7145293933955945,0.06384605374455071,0.052587995634140114,0.07667297936025357,0.007759125512395081,0.004069159774340215,0.015916625079351085,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,3,0.741196527973878,0.7302030715690605,0.7513991562479665,0.0945246925629514,0.0788868129503784,0.1113154460783057,0.016006246340035137,0.010179381348760131,0.02538931273343937,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,4,0.7694448064512416,0.7562727123176587,0.7810642554016216,0.12011191359229619,0.10211238304801236,0.1390583485409311,0.0259125512395081,0.018852952898464108,0.03563374783420634,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,5,0.794533488175369,0.7796557849274406,0.8076507818084978,0.1521894723143991,0.1284436563198854,0.18098309581109473,0.040698809291430806,0.029763142761089642,0.05218628861872576,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m1_glfc,F1,full,last_round,6,0.8145549192104259,0.8002036286817289,0.8274243646717193,0.17723989849697444,0.15292062790257688,0.20615533012329113,0.05794131043008654,0.04581653473496273,0.07388167656352562,3,"n/a (per-seed, see a1_lira_pertask_*)"
