dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m2_target,F1,full,trajectory,0,0.6964476464360841,0.6866903592187806,0.7061178214973794,0.07564161021365294,0.06899506971009269,0.08367986029154643,0.01880862428348098,0.011878273471624705,0.026067242619368824,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,1,0.8210558724084617,0.8103587084997471,0.8325063501398147,0.1854155810317874,0.16841985333740772,0.2036056579109632,0.06580575820739969,0.05219427942127588,0.08088984931057432,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,2,0.850110110207409,0.8392105725743543,0.8612018696089395,0.23238014590932776,0.2135659483566923,0.25217281035063344,0.08717105263157894,0.07084467151922882,0.10434062138541009,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,3,0.8666602512822703,0.8561260217218708,0.8776524252014111,0.2660076862949453,0.2410660202286878,0.2951820933616015,0.10897602918186555,0.08644086306037665,0.13222813725442198,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,4,0.878106330436111,0.867863332114265,0.8887252972057087,0.2872264200104221,0.2611970062866404,0.3159878601616081,0.1251628452318916,0.10145059837399395,0.15210978884346743,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,5,0.8878221189837835,0.8782168570352851,0.8976709538235165,0.31056214174048985,0.28367685864079784,0.3421348706397387,0.1379136268890047,0.10722606453094026,0.1595653185545371,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,trajectory,6,0.896285618920346,0.8870241616707766,0.905402862641385,0.328784523189161,0.30242446968467723,0.3558744070815664,0.14884054194893173,0.11662727174709317,0.17589018586348404,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,0,0.6964476464360841,0.6866903592187806,0.7061178214973794,0.07564161021365294,0.06899506971009269,0.08367986029154643,0.01880862428348098,0.011878273471624705,0.026067242619368824,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,1,0.8061707225669894,0.7936844358604486,0.8202975106808547,0.18196326211568525,0.16452166395699835,0.20278201113902755,0.06394932256383533,0.050940601233047424,0.0798063132006208,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,2,0.8243594959029079,0.8119810524559476,0.8377118072323243,0.210558884835852,0.18740405304805915,0.23611122644588903,0.07984301719645649,0.06617476688018324,0.10226829766888247,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,3,0.8507679439222361,0.8404408914978371,0.861549312181813,0.24179260031266284,0.22141406331120334,0.2656848492787559,0.10824322563835331,0.08902274337274461,0.12816629079026537,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,4,0.8676299701553486,0.8575087121800653,0.8783595264439027,0.2657959874934862,0.24252868757686527,0.2913102741568216,0.1058656852527358,0.08003295953889887,0.13918653891711893,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,5,0.8824027443074434,0.8732476008861281,0.8914171058743613,0.29518955184992185,0.2736831927629143,0.3176192291707413,0.11171182907764461,0.08540530687261437,0.1464753167560756,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m2_target,F1,full,last_round,6,0.8922679471626426,0.8834983063856788,0.9006979258060839,0.31495896300156334,0.2904426955795225,0.3383883159641104,0.12967365815528922,0.09413873354726791,0.15823684456663414,3,"n/a (per-seed, see a1_lira_pertask_*)"
