dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
cub200,m3_fot,F1,full,trajectory,0,0.680472826328614,0.6649295228680601,0.6979075200618753,0.06224797975675455,0.05238707617749178,0.0737024149717336,0.015443637254101706,0.01067077555560649,0.02100482056395572,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,trajectory,1,0.691715003818654,0.6758729666073674,0.7084693537536708,0.06693331156640274,0.05444380707568589,0.08203553338961163,0.010023671537017387,0.004852638653572893,0.015261634687406898,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,trajectory,2,0.7001726445536359,0.6825954222838224,0.7190583426869669,0.07134111501101952,0.05910326876367817,0.08439025429307166,0.009762468369928985,0.004795667818186772,0.013925549399431345,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,trajectory,3,0.7093013917155232,0.691761103286177,0.7300032249314232,0.0758305444453514,0.06321651981094512,0.09046270603839461,0.00958289119255571,0.00421688249846994,0.01576638131946704,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,trajectory,4,0.7183060644646757,0.7010864927249966,0.7397458461046044,0.0812341849644927,0.06752245494462228,0.09681073438802652,0.009893069953473187,0.00432555730242543,0.017133993410989277,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,trajectory,5,0.725879470663025,0.7081908126699513,0.7476987844483166,0.0852828340543629,0.071310156289284,0.10309972357204826,0.011231736184801241,0.004343147196088169,0.019968137951712726,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,trajectory,6,0.7315587916759787,0.7138059420002725,0.7532251021674374,0.09044159660435883,0.07513524937286904,0.10996532044266179,0.010741980246510489,0.004211834359172233,0.020289242340553237,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,0,0.680472826328614,0.6649295228680601,0.6979075200618753,0.06224797975675455,0.05238707617749178,0.0737024149717336,0.015443637254101706,0.01067077555560649,0.02100482056395572,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,1,0.6742498306156607,0.6586593337995765,0.6911762139727446,0.06394580034282915,0.05385570885350414,0.07900992615631976,0.007150436699044976,0.001440366096218477,0.01219745017653242,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,2,0.6755921320424948,0.6612620903554305,0.6909487171913705,0.06536609256387234,0.0571668134078906,0.0761816782506833,0.007183087094931026,0.0025949104477514377,0.01484231198698139,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,3,0.6735480102371114,0.6606376513019332,0.6876407520062533,0.07027997714472288,0.05797806827265601,0.08463856442236276,0.011558240143661741,0.004512602360807233,0.018395314387567432,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,4,0.6820254294603486,0.6681255748843217,0.6980168154301896,0.0772018610725655,0.06460911523865936,0.0929372864136954,0.01209697167578157,0.005013083051187009,0.018784785591731225,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,5,0.6891080966920494,0.6713047706827409,0.7076402582235289,0.08030364868174027,0.06477760528973081,0.09857161073677799,0.012864255979103746,0.005174623561995036,0.020066476755514855,3,"n/a (per-seed, see a1_lira_pertask_*)"
cub200,m3_fot,F1,full,last_round,6,0.6972465392883921,0.6789591938539683,0.7182461144378769,0.08649089870214677,0.07298139676302681,0.10293923537668728,0.012537752020243246,0.005019059945512441,0.020094271053892117,3,"n/a (per-seed, see a1_lira_pertask_*)"
