dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m2_target,F1,full,trajectory,0,0.7142164435635899,0.7038418230491565,0.7247918958769483,0.09454657558696111,0.08397693820715596,0.10602069312121931,0.02709675325728935,0.018638360666459443,0.03668823181595274,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,1,0.7755402858210972,0.7620139606670804,0.7882549750891783,0.15039509337833235,0.1288259368898159,0.17215747205566276,0.05618925540718145,0.04538931488382264,0.0675152287269735,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,2,0.8002119890112879,0.7847369663406372,0.8138192223535506,0.1766805665979783,0.14835708748769277,0.20465425129316606,0.07155489932014733,0.05806670895148541,0.0867083429857554,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,3,0.8138791132208241,0.7977778015403154,0.8275965959155475,0.1997533708685564,0.17299074246900187,0.22670197856611826,0.08385390469082117,0.0669648272215105,0.09838916064072134,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,4,0.822883394144207,0.8062201099069127,0.8369077448703401,0.21627103243497592,0.18586762766903078,0.2451283281761616,0.09378397235157632,0.07301601950179704,0.11145970130169741,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,5,0.8302476581082849,0.8132847779651499,0.8443703169789666,0.22787233697327644,0.19651568868399166,0.25783666292288315,0.09988479823465464,0.07856943346345505,0.11809469099694285,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,trajectory,6,0.8360434668099501,0.8192244331223629,0.8501443918604017,0.2353685645211014,0.20388811678849197,0.2684976582649046,0.10532037448686538,0.08473361915875605,0.12393473616568781,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,0,0.7142164435635899,0.7038418230491565,0.7247918958769483,0.09454657558696111,0.08397693820715596,0.10602069312121931,0.02709675325728935,0.018638360666459443,0.03668823181595274,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,1,0.7717760974154558,0.7556133956467663,0.7859999948044311,0.15325079911083708,0.13086811775511925,0.17659256299504691,0.053771640895004136,0.04341910651751903,0.06539942595591292,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,2,0.7923211080765512,0.7754433049225881,0.8068022573123378,0.17062841751715857,0.14892597298229973,0.19637706983131087,0.06516201262351738,0.050555629883528644,0.08001002593212539,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,3,0.8085935446556467,0.7910458690269195,0.8238981485812028,0.19749801236390777,0.16648789174457693,0.2329773025414044,0.0768282195648294,0.05872127115123307,0.09396508692667221,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,4,0.818134687556183,0.7986890350093233,0.8347553862204994,0.2093589265142542,0.17157417386565155,0.24578512771368682,0.09104184582434165,0.0700155065417021,0.11023354016937369,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,5,0.82699830104246,0.8084498263150548,0.8429663772574871,0.21967840859307816,0.18899663236335068,0.2558659002230853,0.0998036702308903,0.08041456977827646,0.12133171487890197,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m2_target,F1,full,last_round,6,0.8324299925523437,0.814665602967719,0.8474308071076436,0.2335512972367802,0.2025601337835432,0.26725664158224377,0.09996592623841898,0.08068198490774493,0.12836425888062158,3,"n/a (per-seed, see a1_lira_pertask_*)"
