dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m5_hybrid_replay,F1,full,trajectory,0,0.6962446346553818,0.6834011520018213,0.7085265263075721,0.08649493600807634,0.07463017908377939,0.09712815995410297,0.029309278014784904,0.021557659337486358,0.0371862946665299,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,1,0.7605634617297542,0.7492903058060923,0.7720016496939516,0.13946331455368483,0.12234650055855195,0.15936879703287543,0.053245188393525905,0.040002963756710426,0.06794992569337237,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,2,0.7960045140457098,0.7851622964222598,0.808048883903868,0.1867326668186407,0.16441217915414996,0.2099331699683521,0.07586218126160159,0.05862993231782363,0.09620764726571822,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,3,0.8166681494025072,0.8062334926002299,0.8276762246142535,0.22278307877682613,0.20097998768240846,0.2466866922154472,0.10627869866805614,0.08605344935754498,0.1293116146987518,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,4,0.8292683408734614,0.8188015637886146,0.8398874910578034,0.24989416094050215,0.22898679005070918,0.2747300993818762,0.13115901911616243,0.1092845666145562,0.1552093404338549,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,5,0.8374428683263809,0.8264809824199223,0.8482987026314063,0.27417201289608234,0.25335672680896565,0.29776871256559906,0.1443319112905852,0.12343352411671152,0.17277054597905717,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,trajectory,6,0.8434821215926422,0.8324453191800133,0.8545278359138877,0.2922623506040968,0.27012784966211256,0.31642534981967574,0.15884000390790373,0.1371442210465605,0.18319946080336988,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,0,0.6962446346553818,0.6834011520018213,0.7085265263075721,0.08649493600807634,0.07463017908377939,0.09712815995410297,0.029309278014784904,0.021557659337486358,0.0371862946665299,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,1,0.74402966087471,0.7315949371363991,0.7562273413783875,0.14206858371055459,0.12627269787349832,0.16026050774542328,0.05746246784120884,0.04629110223831214,0.06934840228757395,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,2,0.7831052616422804,0.7703227413381981,0.7972945294078736,0.1926922200149803,0.17233347316175812,0.21508430429111275,0.09025629335330707,0.07310254150748954,0.10891836890631824,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,3,0.8113219558562194,0.8000325411157023,0.822879867231399,0.23657472237600546,0.21806224800822194,0.2568845637718919,0.1201191910639268,0.10064582740023136,0.13968657061788936,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,4,0.8255060991322914,0.8128087702306542,0.8376409976955316,0.26933598202364284,0.2482689260044633,0.2913627499483857,0.14885856645064643,0.12847694986304345,0.17124374600494074,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,5,0.8329768985913523,0.820054069659325,0.8455724817821714,0.28913602761585305,0.2665605001077823,0.31293948829611806,0.16445761552740418,0.14029387295907947,0.1896149790669456,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m5_hybrid_replay,F1,full,last_round,6,0.8391102954748484,0.8265013103619729,0.8510519591528835,0.3037092519620933,0.28179303085693175,0.32731049830476416,0.17429250659458756,0.15105959940686506,0.2028501921670968,3,"n/a (per-seed, see a1_lira_pertask_*)"
