dataset,method,family,view,ablation,elapsed,auc,auc_ci_lo,auc_ci_hi,tpr1,tpr1_ci_lo,tpr1_ci_hi,tpr01,tpr01_ci_lo,tpr01_ci_hi,n_seeds,n_shadows
imagenet_r,m8_analytic,F5,aggregate,trajectory,0,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,trajectory,1,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,trajectory,2,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,trajectory,3,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,trajectory,4,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,trajectory,5,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,trajectory,6,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,0,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,1,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,2,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,3,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,4,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,5,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
imagenet_r,m8_analytic,F5,aggregate,last_round,6,0.9999914067017781,0.9999647305819943,0.9999997310458935,1.0,0.9997873074745087,1.0,0.9971389557188374,0.9912886701967566,1.0,3,"n/a (per-seed, see a1_lira_pertask_*)"
