ablation,elapsed,auc,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_lo,tpr_at_1pct_fpr_ci_hi,tpr_at_0.1pct_fpr,tpr_at_0.1pct_fpr_ci_lo,tpr_at_0.1pct_fpr_ci_hi,n_pos,n_neg
trajectory,0,1.0,1.0,0.9999819806648311,1.0,1.0,0.9999819806648311,1.0,204716,204784
trajectory,1,1.0,1.0,0.9999799708834499,1.0,1.0,0.9999799708834499,1.0,184174,184376
trajectory,2,1.0,1.0,0.9999774741212364,1.0,1.0,0.9999774741212364,1.0,163760,163840
trajectory,3,1.0,1.0,0.9999742430581091,1.0,1.0,0.9999742430581091,1.0,143217,143433
trajectory,4,1.0,1.0,0.9999699266760795,1.0,1.0,0.9999699266760795,1.0,122661,123039
trajectory,5,1.0,1.0,0.9999638769577651,1.0,1.0,0.9999638769577651,1.0,102118,102632
trajectory,6,1.0,1.0,0.9999549201213964,1.0,1.0,0.9999549201213964,1.0,81828,81972
trajectory,7,1.0,1.0,0.9999399868421184,1.0,1.0,0.9999399868421184,1.0,61466,61384
trajectory,8,1.0,1.0,0.9999099589089693,1.0,1.0,0.9999099589089693,1.0,40967,40933
trajectory,9,1.0,1.0,0.9998197191140326,1.0,1.0,0.9998197191140326,1.0,20460,20490
last_round,0,1.0,1.0,0.9999819806648311,1.0,1.0,0.9999819806648311,1.0,204716,204784
last_round,1,1.0,1.0,0.9999799708834499,1.0,1.0,0.9999799708834499,1.0,184174,184376
last_round,2,1.0,1.0,0.9999774741212364,1.0,1.0,0.9999774741212364,1.0,163760,163840
last_round,3,1.0,1.0,0.9999742430581091,1.0,1.0,0.9999742430581091,1.0,143217,143433
last_round,4,1.0,1.0,0.9999699266760795,1.0,1.0,0.9999699266760795,1.0,122661,123039
last_round,5,1.0,1.0,0.9999638769577651,1.0,1.0,0.9999638769577651,1.0,102118,102632
last_round,6,1.0,1.0,0.9999549201213964,1.0,1.0,0.9999549201213964,1.0,81828,81972
last_round,7,1.0,1.0,0.9999399868421184,1.0,1.0,0.9999399868421184,1.0,61466,61384
last_round,8,1.0,1.0,0.9999099589089693,1.0,1.0,0.9999099589089693,1.0,40967,40933
last_round,9,1.0,1.0,0.9998197191140326,1.0,1.0,0.9998197191140326,1.0,20460,20490
