dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m0_fedavg,F1,full,2,4096,819,0,0,trajectory,0.561755757250065,0.02999608533959679,0.004697592483852026,50,20436,20514,0.027700005350606464,0.03242712464309063,0.0038066723537311677,0.0057335820164934725
cifar100,m0_fedavg,F1,full,2,4096,819,0,1,trajectory,0.5708318360434733,0.03219808181640243,0.00548052456449403,50,20436,20514,0.029820115506368785,0.03471031388788006,0.004514723968816347,0.006590818601504709
cifar100,m0_fedavg,F1,full,2,4096,819,0,2,trajectory,0.5711254570419453,0.03268741436680368,0.005823057349774907,50,20436,20514,0.030291672577623847,0.035217268726446704,0.004826216212571182,0.006964162539976809
cifar100,m0_fedavg,F1,full,2,4096,819,0,3,trajectory,0.5721419730197574,0.03244274809160305,0.005431591309453905,50,20436,20514,0.03005587558969073,0.03496380971975557,0.004470304727661608,0.006537405099690099
cifar100,m0_fedavg,F1,full,2,4096,819,0,4,trajectory,0.5725801062240448,0.031708749266001174,0.005431591309453905,50,20436,20514,0.02934870769095163,0.034203210117235386,0.004470304727661608,0.006537405099690099
cifar100,m0_fedavg,F1,full,2,4096,819,0,5,trajectory,0.5717525631589161,0.030191818359757292,0.005676257584654531,50,20436,20514,0.027888328969746565,0.03263020511837596,0.004692602641412205,0.0068042734474176286
cifar100,m0_fedavg,F1,full,2,4096,819,0,6,trajectory,0.5703151028739512,0.030045018594636916,0.005578391074574281,50,20436,20514,0.027747083783900287,0.032477897227654796,0.004603623493844061,0.00669758533746167
cifar100,m0_fedavg,F1,full,2,4096,819,1,0,trajectory,0.5421505944216845,0.02064320921380118,0.003318530086379386,50,20491,20459,0.018740228476087483,0.022683832805556213,0.0025778620435408695,0.0042051577206498585
cifar100,m0_fedavg,F1,full,2,4096,819,1,1,trajectory,0.5475099003371621,0.021375237909326047,0.0032697281733443952,50,20491,20459,0.019438672402334448,0.02344919861334561,0.0025348656987633812,0.0041506055918284525
cifar100,m0_fedavg,F1,full,2,4096,819,1,2,trajectory,0.5515474422541446,0.022936899126445757,0.0027817090429944854,50,20491,20459,0.020930677278430235,0.025079994297206663,0.002107499388909666,0.003602544302399752
