dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m1_glfc,F1,full,1,1024,205,0,0,trajectory,0.5426769464160014,0.021650087770626096,0.004876145894285157,50,5127,5123,0.01784296362060837,0.026014421431630876,0.0031579957610113536,0.007189793003164015
cifar100,m1_glfc,F1,full,1,1024,205,0,1,trajectory,0.5624523783389702,0.029061829529939538,0.005851375073142188,50,5127,5123,0.02463599522450261,0.034033998879286965,0.003951277619860383,0.008342746821433353
cifar100,m1_glfc,F1,full,1,1024,205,0,2,trajectory,0.5687869706183608,0.030232104544567973,0.007021650087770626,50,5127,5123,0.025716745967116716,0.03529216502970616,0.0049225824238536145,0.009707793564399367
cifar100,m1_glfc,F1,full,1,1024,205,0,3,trajectory,0.5740563301358838,0.032767700409596257,0.009167154281256095,50,5127,5123,0.02806465412458036,0.03801196615465159,0.006743235693069811,0.012171922785588115
cifar100,m1_glfc,F1,full,1,1024,205,0,4,trajectory,0.5784315550734551,0.038424029646967034,0.013263116832455627,50,5127,5123,0.03332930076506486,0.044052428755449784,0.01031364963216061,0.016784246556868908
cifar100,m1_glfc,F1,full,1,1024,205,0,5,trajectory,0.583184878819351,0.03959430466159548,0.01306807099668422,50,5127,5123,0.03442262957019205,0.04529811837579249,0.010141537885470175,0.016566655475524366
cifar100,m1_glfc,F1,full,1,1024,205,0,6,trajectory,0.5891135412332341,0.04193485469085235,0.01677394187634094,50,5127,5123,0.03661303101407833,0.04778577925910298,0.013438314855996702,0.02067474090156875
cifar100,m1_glfc,F1,full,1,1024,205,1,0,trajectory,0.5477259245695874,0.028971603990790483,0.005755947812739831,50,5212,5038,0.02458750382008462,0.03389313881283216,0.003886783807866342,0.008206856793757726
cifar100,m1_glfc,F1,full,1,1024,205,1,1,trajectory,0.5622239513846722,0.026285495011511895,0.006523407521105142,50,5212,5038,0.02211318498208017,0.030998997135391643,0.004521756063605186,0.009103984095563
cifar100,m1_glfc,F1,full,1,1024,205,1,2,trajectory,0.5714926116388814,0.03261703760552571,0.007866462010744436,50,5212,5038,0.027961922908029537,0.037804639038392596,0.0056508529168037705,0.010656761175857645
cifar100,m1_glfc,F1,full,1,1024,205,1,3,trajectory,0.5786830525458548,0.033192632386799696,0.012279355333844973,50,5212,5038,0.02849627076636773,0.038420712663746096,0.009469090160432025,0.015653748272240763
cifar100,m1_glfc,F1,full,1,1024,205,1,4,trajectory,0.5857558533655347,0.0374136607828089,0.01650038372985418,50,5212,5038,0.032426198217082064,0.04292729837874048,0.013218811885638749,0.020338225095066307
cifar100,m1_glfc,F1,full,1,1024,205,1,5,trajectory,0.5919918062479568,0.04009976976208749,0.016308518802762854,50,5212,5038,0.03493649223635219,0.04578576331461168,0.01304689776342099,0.020126740018226504
cifar100,m1_glfc,F1,full,1,1024,205,1,6,trajectory,0.5962524415364184,0.0408672294704528,0.018610897927858788,50,5212,5038,0.03565493978438906,0.046601255182180834,0.01511743850003638,0.022657108574899547
cifar100,m1_glfc,F1,full,1,1024,205,2,0,trajectory,0.5851762437853707,0.03551108495193251,0.012948793407886992,50,5097,5153,0.030599867991504145,0.04096302827264388,0.010028364583275405,0.016444945780647882
cifar100,m1_glfc,F1,full,1,1024,205,2,1,trajectory,0.6034943063238037,0.04355503237198352,0.012948793407886992,50,5097,5153,0.03811658326035467,0.04952363311292985,0.010028364583275405,0.016444945780647882
cifar100,m1_glfc,F1,full,1,1024,205,2,2,trajectory,0.611156831293972,0.04532077692760447,0.01628408867961546,50,5097,5153,0.039774138961141674,0.05139529529549889,0.012990510998254086,0.020147084329677583
cifar100,m1_glfc,F1,full,1,1024,205,2,3,trajectory,0.6158423346252124,0.049440847557386695,0.019619383951343928,50,5097,5153,0.04365080900057979,0.055753520453619664,0.015990903387416665,0.023811632160131966
cifar100,m1_glfc,F1,full,1,1024,205,2,4,trajectory,0.6201751611593613,0.05375711202668236,0.020011771630370805,50,5097,5153,0.0477243579705673,0.0603070720672792,0.01634593182876135,0.024240744575585803
cifar100,m1_glfc,F1,full,1,1024,205,2,5,trajectory,0.6245647175248462,0.055719050421816754,0.023739454581126154,50,5097,5153,0.0495797391658564,0.06237311951118642,0.01973652139392778,0.02829972623195095
cifar100,m1_glfc,F1,full,1,1024,205,2,6,trajectory,0.6280243234672542,0.058661958014518345,0.0274671375318815,50,5097,5153,0.05236688589056225,0.06546813538568201,0.02315439037342021,0.03233174789743648
cifar100,m1_glfc,F1,full,1,1024,205,3,0,trajectory,0.5527062663447815,0.021934978456717588,0.005483744614179397,50,5106,5144,0.018094637581277332,0.026334412825110204,0.0036469096751280353,0.007915856825680582
cifar100,m1_glfc,F1,full,1,1024,205,3,1,trajectory,0.5699864657747206,0.027614571092831962,0.00881316098707403,50,5106,5144,0.023293707536690307,0.032486100980788364,0.006435437037112666,0.011775114706149314
cifar100,m1_glfc,F1,full,1,1024,205,3,2,trajectory,0.58462260268924,0.03153153153153153,0.011555033294163729,50,5106,5144,0.026909838895961373,0.03669839346781411,0.008807542430991461,0.014880142357975147
cifar100,m1_glfc,F1,full,1,1024,205,3,3,trajectory,0.597017376257859,0.04034469251860556,0.016842929886408148,50,5106,5144,0.035113972486897724,0.046108782807618306,0.013493672624108914,0.020759602603783456
cifar100,m1_glfc,F1,full,1,1024,205,3,4,trajectory,0.6078333345516725,0.043869956913435176,0.02428515471993733,50,5106,5144,0.03841669570985196,0.04985201974261131,0.02023872348064687,0.028887110954104973
cifar100,m1_glfc,F1,full,1,1024,205,3,5,trajectory,0.613688063443794,0.04915785350567959,0.024676850763807285,50,5106,5144,0.04338909624510439,0.0554486720040593,0.020597124688078512,0.029311519350856723
cifar100,m1_glfc,F1,full,1,1024,205,3,6,trajectory,0.6178212410124643,0.055620838229533884,0.026439482961222092,50,5106,5144,0.04949207426662447,0.062263566012329026,0.022213331891737645,0.031217992574478458
cifar100,m1_glfc,F1,full,1,1024,205,pooled,0,trajectory,0.5574882175115186,0.027504624671404927,0.0060364132022198425,200,20542,20458,0.02531083102469976,0.02983346651666457,0.0050232081782868344,0.007192990716894123
cifar100,m1_glfc,F1,full,1,1024,205,pooled,1,trajectory,0.5749215137693047,0.03251874208937786,0.00808100477071366,200,20542,20458,0.030135174204336264,0.03503577855669448,0.006902358113517486,0.009401875774012977
cifar100,m1_glfc,F1,full,1,1024,205,pooled,2,trajectory,0.5843426907329125,0.033492357121993964,0.010855807613669555,200,20542,20458,0.031073845472904888,0.03604403490240489,0.009483968655877865,0.012368585283386802
cifar100,m1_glfc,F1,full,1,1024,205,pooled,3,trajectory,0.5917843971628235,0.03909064355953656,0.014652906240872359,200,20542,20458,0.03648135606115762,0.04183137826247144,0.013054358687625538,0.01639087770256822
