dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m2_target,F1,full,0,1024,205,0,0,trajectory,0.5553452679092409,0.019941916747337852,0.005808325266214908,50,5165,5085,0.016305667645996426,0.024133881612136913,0.003922182501033844,0.008281443859854439
cifar100,m2_target,F1,full,0,1024,205,0,1,trajectory,0.579337934684421,0.034075508228460796,0.005227492739593417,50,5165,5085,0.029295810252827716,0.03939063911208515,0.0034476927373687126,0.007596679354783971
cifar100,m2_target,F1,full,0,1024,205,0,2,trajectory,0.5971830288769524,0.0313649564375605,0.007938044530493708,50,5165,5085,0.026781031384050618,0.036487972587288704,0.005702326926617125,0.010753596896020148
cifar100,m2_target,F1,full,0,1024,205,0,3,trajectory,0.6045381848364826,0.030784123910939012,0.0063891577928363984,50,5165,5085,0.026243343929446654,0.03586478898799432,0.004401964003590888,0.008961154383488566
cifar100,m2_target,F1,full,0,1024,205,0,4,trajectory,0.6115129725927385,0.033494675701839303,0.006195546950629236,50,5165,5085,0.028756187406224386,0.03876937470374313,0.004241495862262869,0.008735102143912703
cifar100,m2_target,F1,full,0,1024,205,0,5,trajectory,0.6165923539899159,0.03175217812197483,0.003097773475314618,50,5165,5085,0.027139732011201304,0.03690318809580822,0.0017716499204327822,0.005025728060017394
cifar100,m2_target,F1,full,0,1024,205,0,6,trajectory,0.6237023076242122,0.033688286544046465,0.0025169409486931267,50,5165,5085,0.028936018250260175,0.03897650592938936,0.001340824502875335,0.004300199830661225
cifar100,m2_target,F1,full,0,1024,205,1,0,trajectory,0.5647191137432052,0.025024437927663734,0.005083088954056696,50,5115,5135,0.02091886186754234,0.02968345305068837,0.0033230490859796785,0.007439092946335757
cifar100,m2_target,F1,full,0,1024,205,1,1,trajectory,0.5806281427841248,0.02678396871945259,0.004887585532746823,50,5115,5135,0.02253340823442908,0.03158540511775723,0.003165410228997441,0.007206640885760051
cifar100,m2_target,F1,full,0,1024,205,1,2,trajectory,0.5891505309716825,0.03245356793743891,0.004496578690127077,50,5115,5135,0.027768049103193068,0.037682020372508826,0.002852516069885658,0.006739481342678566
cifar100,m2_target,F1,full,0,1024,205,1,3,trajectory,0.5960251318030003,0.03225806451612903,0.007233626588465298,50,5115,5135,0.027586819844094626,0.03747251012564657,0.005098106269690494,0.009956945650228593
cifar100,m2_target,F1,full,0,1024,205,1,4,trajectory,0.60150413898066,0.03421309872922776,0.007624633431085044,50,5115,5135,0.029401184755769392,0.03956555747466467,0.0054273157537720745,0.010408527424021064
cifar100,m2_target,F1,full,0,1024,205,1,5,trajectory,0.6080144980920807,0.032649071358748775,0.00801564027370479,50,5115,5135,0.027949325476427807,0.03789148390251122,0.005758126043524235,0.010858564403303005
cifar100,m2_target,F1,full,0,1024,205,1,6,trajectory,0.6162820274866008,0.034408602150537634,0.008406647116324537,50,5115,5135,0.02958286746091501,0.039774617999211954,0.006090421873910137,0.011307165402205437
cifar100,m2_target,F1,full,0,1024,205,2,0,trajectory,0.6092408284148032,0.04819976771196283,0.02710027100271003,50,5166,5084,0.042518990167034094,0.05439767937435501,0.022844482368167912,0.03190097382114476
cifar100,m2_target,F1,full,0,1024,205,2,1,trajectory,0.631198497834141,0.05361982191250484,0.029229578010065815,50,5166,5084,0.04763390047918943,0.06011614341024106,0.024806916454883567,0.03419416334629979
cifar100,m2_target,F1,full,0,1024,205,2,2,trajectory,0.6456543236613663,0.0559427022841657,0.028068137824235385,50,5166,5084,0.049831530203918166,0.06256141654851877,0.023735648847619164,0.032944173514470876
cifar100,m2_target,F1,full,0,1024,205,2,3,trajectory,0.653589232447343,0.06078203639179249,0.02516453735965931,50,5166,5084,0.0544194734855048,0.06764623240055695,0.021066713828667503,0.029810056354387472
cifar100,m2_target,F1,full,0,1024,205,2,4,trajectory,0.6589010393869252,0.05807200929152149,0.025551684088269456,50,5166,5084,0.05184869345449671,0.06480026032366552,0.02142175772733549,0.03022874431653548
cifar100,m2_target,F1,full,0,1024,205,2,5,trajectory,0.6612377029131649,0.05981416957026713,0.02497096399535424,50,5166,5084,0.05350090389425842,0.0666302457331165,0.020889291383920563,0.029600613939867633
cifar100,m2_target,F1,full,0,1024,205,2,6,trajectory,0.6656249723956158,0.0627177700348432,0.02535811072396438,50,5166,5084,0.056258007695831926,0.06967681676085585,0.021244202857213585,0.03001943290368451
cifar100,m2_target,F1,full,0,1024,205,3,0,trajectory,0.5673314448454942,0.0312015503875969,0.006201550387596899,50,5160,5090,0.02662758842246983,0.03631535560870551,0.004245609480589881,0.008743555557446426
cifar100,m2_target,F1,full,0,1024,205,3,1,trajectory,0.5828504363320692,0.03352713178294574,0.006007751937984496,50,5160,5090,0.02878411742330047,0.03880683917057143,0.004085518495972425,0.008516774300330683
cifar100,m2_target,F1,full,0,1024,205,3,2,trajectory,0.5917955864211633,0.03488372093023256,0.00813953488372093,50,5160,5090,0.030045060683886512,0.04025726084679135,0.005872377342725491,0.010986522527010852
cifar100,m2_target,F1,full,0,1024,205,3,3,trajectory,0.5965333683617368,0.038565891472868215,0.007558139534883721,50,5160,5090,0.03347756966018839,0.04418424672185525,0.005379937220631123,0.010317881687524474
cifar100,m2_target,F1,full,0,1024,205,3,4,trajectory,0.5986423828452202,0.038953488372093024,0.009108527131782946,50,5160,5090,0.03383967351090714,0.04459683223290603,0.006700062187533652,0.012094196466258918
cifar100,m2_target,F1,full,0,1024,205,3,5,trajectory,0.6018873075341526,0.045155038759689924,0.009302325581395349,50,5160,5090,0.03965133593810979,0.05118031883777498,0.006866540240514747,0.012314818528842343
cifar100,m2_target,F1,full,0,1024,205,3,6,trajectory,0.6062502094089338,0.043798449612403104,0.009108527131782946,50,5160,5090,0.038377309629208795,0.04974288901694631,0.006700062187533652,0.012094196466258918
cifar100,m2_target,F1,full,0,1024,205,pooled,0,trajectory,0.5748946187172775,0.03164126953314569,0.009414733572745802,200,20606,20394,0.029293280478856643,0.034122582728630474,0.008141481881831138,0.01082911950998014
cifar100,m2_target,F1,full,0,1024,205,pooled,1,trajectory,0.5942378390395228,0.03552363389304086,0.010385324662719596,200,20606,20394,0.03303778834342372,0.03814160400542188,0.009046292353681415,0.011865056242100512
cifar100,m2_target,F1,full,0,1024,205,pooled,2,trajectory,0.60649125648009,0.041201591769387556,0.010870620207706494,200,20606,20394,0.038528470489917595,0.04400511083459938,0.009499885444632875,0.012381844887715364
cifar100,m2_target,F1,full,0,1024,205,pooled,3,trajectory,0.6132929445794773,0.03838687760846356,0.011744152188682909,200,20606,20394,0.03580464961362982,0.04110035589926838,0.01031814225346325,0.013310286591619636
cifar100,m2_target,F1,full,0,1024,205,pooled,4,trajectory,0.6182300045980528,0.041444239541881006,0.01135591575269339,200,20606,20394,0.038763448962066654,0.0442553546988989,0.009954200713590329,0.012897916002119803
cifar100,m2_target,F1,full,0,1024,205,pooled,5,trajectory,0.6225841103035417,0.04178394642337183,0.010627972435213046,200,20606,20394,0.03909246142614466,0.04460565357640989,0.00927299559240469,0.012123543258038985
cifar100,m2_target,F1,full,0,1024,205,pooled,6,trajectory,0.6285743454166451,0.04488983791128798,0.01125885664369601,200,20606,20394,0.042102786689734314,0.04780617842016776,0.009863282133545832,0.012794756957686218
cifar100,m2_target,F1,full,0,1024,205,0,0,last_round,0.5553452679092409,0.019941916747337852,0.005808325266214908,50,5165,5085,0.016305667645996426,0.024133881612136913,0.003922182501033844,0.008281443859854439
cifar100,m2_target,F1,full,0,1024,205,0,1,last_round,0.5676324554214367,0.024782187802516942,0.001936108422071636,50,5165,5085,0.020715954288181244,0.02939678187414007,0.0009288174395898465,0.0035576805880377757
cifar100,m2_target,F1,full,0,1024,205,0,2,last_round,0.5790826805868483,0.026524685382381414,0.007744433688286544,50,5165,5085,0.022314823136260688,0.03128038915058891,0.0055383347657899625,0.010530936264296244
cifar100,m2_target,F1,full,0,1024,205,0,3,last_round,0.5796731460619612,0.02575024201355276,0.0025169409486931267,50,5165,5085,0.021603568058977,0.030443870219791152,0.001340824502875335,0.004300199830661225
cifar100,m2_target,F1,full,0,1024,205,0,4,last_round,0.5932754023802521,0.02633107454017425,0.003872216844143272,50,5165,5085,0.022136915169426914,0.03107135263893127,0.0023668061063888586,0.005974019970067583
cifar100,m2_target,F1,full,0,1024,205,0,5,last_round,0.6030375009161771,0.01936108422071636,0.005421103581800581,50,5165,5085,0.015780011268410252,0.02349880138836231,0.0036052169234955353,0.00782554305444433
cifar100,m2_target,F1,full,0,1024,205,0,6,last_round,0.609787913314886,0.024588576960309777,0.005227492739593417,50,5165,5085,0.020538632868087832,0.029187165055456817,0.0034476927373687126,0.007596679354783971
cifar100,m2_target,F1,full,0,1024,205,1,0,last_round,0.5647191137432052,0.025024437927663734,0.005083088954056696,50,5115,5135,0.02091886186754234,0.02968345305068837,0.0033230490859796785,0.007439092946335757
cifar100,m2_target,F1,full,0,1024,205,1,1,last_round,0.5723919472388235,0.025024437927663734,0.002737047898338221,50,5115,5135,0.02091886186754234,0.02968345305068837,0.0014971523719028474,0.004588041275883608
