dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m3_fot,F1,full,1,1024,205,0,0,trajectory,0.5515222566698734,0.020436235016702692,0.0041265474552957355,50,5089,5161,0.01672764766551201,0.024708172934206175,0.0025561575913328758,0.006300984720816699
cifar100,m3_fot,F1,full,1,1024,205,0,1,trajectory,0.56705952777244,0.029475338966398115,0.009039103949695421,50,5089,5161,0.0250016968239485,0.03449886538937187,0.0066251446830692005,0.012038684200277885
cifar100,m3_fot,F1,full,1,1024,205,0,2,trajectory,0.5793616505489251,0.03635291805855767,0.008646099430143446,50,5089,5161,0.03137981732790273,0.04186647571532538,0.0062890972098043505,0.011589782809913733
cifar100,m3_fot,F1,full,1,1024,205,0,3,trajectory,0.5852182631431398,0.034977402240125764,0.010414619768127334,50,5089,5161,0.03009973066931454,0.04039737951860383,0.007810725285239699,0.013600697346102369
cifar100,m3_fot,F1,full,1,1024,205,0,4,trajectory,0.5875880171924438,0.03360188642169385,0.0072705836117115345,50,5089,5161,0.028821742706848945,0.03892620111757438,0.005124178358329186,0.0100077460885291
cifar100,m3_fot,F1,full,1,1024,205,0,5,trajectory,0.591565503158295,0.033994890941245824,0.007467085871487522,50,5089,5161,0.029186660883283106,0.039346757266585715,0.005289416377029043,0.010234889606369089
cifar100,m3_fot,F1,full,1,1024,205,0,6,trajectory,0.592929368193644,0.03419139320102181,0.0072705836117115345,50,5089,5161,0.02936918708053221,0.03955696877566235,0.005124178358329186,0.0100077460885291
cifar100,m3_fot,F1,full,1,1024,205,1,0,trajectory,0.5712309419412902,0.028002366397160323,0.006507592190889371,50,5071,5179,0.0236363476001175,0.03292234553309701,0.004483637204534515,0.009127046176660101
cifar100,m3_fot,F1,full,1,1024,205,1,1,trajectory,0.585330096754299,0.031157562610924866,0.008085190297771643,50,5071,5179,0.02654845855128053,0.03631616668437913,0.0058081404372205235,0.010952645595217482
cifar100,m3_fot,F1,full,1,1024,205,1,2,trajectory,0.5954783643987374,0.03470715835140998,0.008085190297771643,50,5071,5179,0.029840171789169243,0.040118765273832194,0.0058081404372205235,0.010952645595217482
cifar100,m3_fot,F1,full,1,1024,205,1,3,trajectory,0.5976407460479419,0.03391835929796884,0.013606783671859593,50,5071,5179,0.029107377922177085,0.039275034587817725,0.010601898599204783,0.017189078133845574
cifar100,m3_fot,F1,full,1,1024,205,1,4,trajectory,0.6021839940426557,0.03648195622165253,0.012817984618418458,50,5071,5179,0.031491479667369635,0.042014657489442817,0.009906201435098473,0.016308767488303382
