dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m4_proto,F2,aggregate,0,1024,205,0,0,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,0,1,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,0,2,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,0,3,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,0,4,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,0,5,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,0,6,trajectory,0.6840675133017856,0.056432973805855165,0.013482280431432974,50,5192,5058,0.05031074864117967,0.06305957712098503,0.010524770588234193,0.01700373679358634
cifar100,m4_proto,F2,aggregate,0,1024,205,1,0,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,1,1,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,1,2,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,1,3,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,1,4,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,1,5,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,1,6,trajectory,0.6858542898288731,0.04854555962242343,0.01425544211134656,50,5191,5059,0.04285808918546397,0.054747217645897094,0.011209721461237858,0.017863749049355154
cifar100,m4_proto,F2,aggregate,0,1024,205,2,0,trajectory,0.6866859910268442,0.06107460378817163,0.011789717819868574,50,5174,5076,0.05470204349750914,0.0679476594944216,0.009029871168140361,0.015118939683145096
cifar100,m4_proto,F2,aggregate,0,1024,205,2,1,trajectory,0.6866859910268442,0.06107460378817163,0.011789717819868574,50,5174,5076,0.05470204349750914,0.0679476594944216,0.009029871168140361,0.015118939683145096
