dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m4_proto,F2,full,0,1024,205,0,0,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,1,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,2,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,3,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,4,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,5,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,6,trajectory,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,1,0,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,1,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,2,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,3,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,4,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,5,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,6,trajectory,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,2,0,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,2,1,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,2,2,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,2,3,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,2,4,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,2,5,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,2,6,trajectory,0.8917871179656807,0.34467833956325006,0.17824119614400943,50,5083,5165,0.33160686994245075,0.3579284019866515,0.16780868694098675,0.18904454830991047
cifar100,m4_proto,F2,full,0,1024,205,3,0,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,3,1,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,3,2,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,3,3,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,3,4,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,3,5,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,3,6,trajectory,0.8935493453195231,0.3861637678327145,0.21438342778972053,50,5117,5125,0.37279427115363134,0.39966325229687927,0.20320656886534014,0.22588700749010793
cifar100,m4_proto,F2,full,0,1024,205,pooled,0,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,pooled,1,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,pooled,2,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,pooled,3,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,pooled,4,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,pooled,5,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,pooled,6,trajectory,0.8795636158196126,0.32449877750611245,0.16376528117359412,200,20450,20535,0.31808280725545535,0.33096467263772383,0.1587169225967161,0.16890941552853114
cifar100,m4_proto,F2,full,0,1024,205,0,0,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,1,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,2,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,3,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,4,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,5,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,0,6,last_round,0.8738813262195122,0.2958048780487805,0.13346341463414635,50,5125,5120,0.283331076271371,0.30851162959272777,0.12426598180159266,0.14308045099670402
cifar100,m4_proto,F2,full,0,1024,205,1,0,last_round,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,1,last_round,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
cifar100,m4_proto,F2,full,0,1024,205,1,2,last_round,0.8570496228435455,0.28039024390243905,0.14458536585365853,50,5125,5125,0.26812265305550664,0.29290841072293194,0.13506388811759343,0.1545135329511862
