dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,0,trajectory,0.5470912466222977,0.026102088167053363,0.004060324825986079,50,5172,5078,0.021929288578083267,0.030820585481945214,0.0025151086727240963,0.006199975516343848
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,1,trajectory,0.5683376069586683,0.03209590100541377,0.005027068832173241,50,5172,5078,0.027461319438678924,0.037267842472096795,0.0032863976925286307,0.007357203647709534
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,2,trajectory,0.5749810306473461,0.040023201856148494,0.015661252900232018,50,5172,5078,0.034845579903543936,0.04572772656763269,0.01245623750605415,0.01942838760591148
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,3,trajectory,0.588463968281963,0.041956689868522815,0.013921113689095127,50,5172,5078,0.03665596565067448,0.04778183321017377,0.01090792650210675,0.017499624067455314
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,4,trajectory,0.5936607027813899,0.04234338747099768,0.016821345707656612,50,5172,5078,0.03701842925961625,0.04819227059122956,0.013494576197523563,0.020708206080966508
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,5,trajectory,0.6000045462479062,0.04717710750193349,0.02474864655839134,50,5172,5078,0.041559265609941505,0.05331275831502004,0.020687860921655143,0.029357089167370388
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,6,trajectory,0.6065356463911625,0.051817478731631866,0.025328692962103636,50,5172,5078,0.045934271296726226,0.05821271405779552,0.02121950815804928,0.02998469086002501
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,0,trajectory,0.5594444387967019,0.023982701002555534,0.0053076469431885195,50,5087,5163,0.019955011047899884,0.028568474312822726,0.0035005996793316626,0.007713019848063178
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,1,trajectory,0.5771761929298309,0.028504029880086493,0.00491448791035974,50,5087,5163,0.024105054503256625,0.03345448424999469,0.0031828467956485627,0.0072462613640576655
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,2,trajectory,0.5883615026868723,0.03086298407705917,0.004521328877530961,50,5087,5163,0.02628293149565754,0.035991196079975224,0.0028682284449012448,0.006776534929160553
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,3,trajectory,0.595052973477452,0.03892274425004914,0.009435816787890702,50,5087,5163,0.03377561615607171,0.044607127967623186,0.006965190209211803,0.012491267158724284
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,4,trajectory,0.6028872173855335,0.04423039119323766,0.011205032435620208,50,5087,5163,0.03874505400816114,0.05024606119606789,0.008497323382656092,0.014493337146601629
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,5,trajectory,0.6066598459704493,0.044426970709652056,0.016119520345979948,50,5087,5163,0.038929560703619207,0.05045446005598318,0.012840325072345395,0.01996956583697674
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,6,trajectory,0.6082281796641593,0.042854334578336935,0.013367407116178493,50,5087,5163,0.03745437409491776,0.0487864076259753,0.010394861713562277,0.016915986561273716
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,0,trajectory,0.5940442711061944,0.04590035307963907,0.01922322479403688,50,5098,5152,0.040319260321289976,0.05200847944011779,0.015633199470325612,0.02337755153828877
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,1,trajectory,0.6257502409299469,0.06943899568458219,0.018046292663789723,50,5098,5152,0.06261111920588769,0.07676466583716314,0.014572018617527837,0.022086823996825513
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,2,trajectory,0.6352589022244748,0.07002746174970577,0.01726167124362495,50,5098,5152,0.0631719621490665,0.07738003979545581,0.013866786516751372,0.021224150775152845
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,3,trajectory,0.6436276770332539,0.07748136524127108,0.019811690859160454,50,5098,5152,0.07028782708160447,0.0851629658691358,0.016165191625027258,0.024021533841191756
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,4,trajectory,0.6483140462463662,0.07728520988622989,0.02334248724990192,50,5098,5152,0.07010029948117243,0.08495841907392022,0.019374413730371395,0.02786838788877946
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,5,trajectory,0.6504113703705509,0.0796390741467242,0.02628481757551981,50,5098,5152,0.0723515324781397,0.08741208186942757,0.0220681357877546,0.031054961391187647
cifar100,m5_hybrid_replay,F1,full,1,1024,205,2,6,trajectory,0.6533125811729846,0.07728520988622989,0.02844252648097293,50,5098,5152,0.07010029948117243,0.08495841907392022,0.024052930698514406,0.03338248297259462
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,0,trajectory,0.5770426326968046,0.02384645211322218,0.0052345870492438926,50,5158,5092,0.019857008328054152,0.028386390263472182,0.0034523753869037067,0.0076069766219945935
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,1,trajectory,0.6029060631415686,0.030632027917797598,0.0063978286157425355,50,5158,5092,0.0260996646712064,0.035705227098989975,0.0044079433717767345,0.008973299929492634
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,2,trajectory,0.6161041261113465,0.03819309810003878,0.008918185343156262,50,5158,5092,0.03312848241938614,0.04378844140159701,0.006536420519049803,0.011877880042702522
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,3,trajectory,0.6269126170742175,0.04808065141527724,0.013183404420317953,50,5158,5092,0.042402526377439825,0.054276870290853554,0.010251577835538511,0.016683550937476543
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,4,trajectory,0.6334558128116179,0.05641721597518418,0.022489336952307096,50,5158,5092,0.050276203186470074,0.06306598277261577,0.018618110264877683,0.026913092963051184
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,5,trajectory,0.6371185464688963,0.062039550213260956,0.02830554478480031,50,5158,5092,0.055608774785287356,0.06897121480253092,0.023951224517300983,0.033203932106539005
cifar100,m5_hybrid_replay,F1,full,1,1024,205,3,6,trajectory,0.6397515646193026,0.06630476929042264,0.03121364870104692,50,5158,5092,0.05966455217029698,0.07344071259656623,0.02663793651544937,0.03632939955651747
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,0,trajectory,0.5696236529811348,0.03144040945649525,0.007604192054594199,200,20515,20485,0.029094708940590484,0.03392009224210118,0.00646129195432117,0.008889753596293619
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,1,trajectory,0.5944561517016874,0.037825980989519864,0.009261515963928832,200,20515,20485,0.03525672174062605,0.04052724764418813,0.007996266908149842,0.010668603886697044
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,2,trajectory,0.6047981179763868,0.045332683402388496,0.010918839873263466,200,20515,20485,0.04252620315695144,0.048268896470724146,0.009542053113857408,0.012436725851734316
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,3,trajectory,0.6143378589554271,0.05040214477211796,0.012673653424323665,200,20515,20485,0.047447971480748696,0.053484534302420915,0.011187931469046125,0.014299750771406085
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,4,trajectory,0.6203295908962712,0.05595905435047526,0.018961735315622716,200,20515,20485,0.05285262173615957,0.05919205388441128,0.017139415513076694,0.020922112362212395
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,5,trajectory,0.6242234276032629,0.05834755057275164,0.022032659029978065,200,20515,20485,0.05517842436806805,0.06164253819800922,0.020067574348465275,0.024134756476914827
cifar100,m5_hybrid_replay,F1,full,1,1024,205,pooled,6,trajectory,0.6275917458849324,0.05990738484036071,0.023738727760175483,200,20515,20485,0.05669813973002213,0.06324203160000944,0.021698893609114686,0.025915009316728355
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,0,last_round,0.5470912466222977,0.026102088167053363,0.004060324825986079,50,5172,5078,0.021929288578083267,0.030820585481945214,0.0025151086727240963,0.006199975516343848
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,1,last_round,0.5546790257596346,0.022041763341067284,0.004253673627223511,50,5172,5078,0.018215301787649726,0.026419915660600455,0.0026676163384480936,0.006433070610025336
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,2,last_round,0.5677175429121635,0.03692962103634957,0.011020881670533642,50,5172,5078,0.03195611101582205,0.04243405633758188,0.008357498592823816,0.014255534140263055
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,3,last_round,0.5824976080796191,0.037703016241299306,0.012180974477958236,50,5172,5078,0.032677609610871766,0.043258336384408215,0.00937254161340893,0.015558186273117844
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,4,last_round,0.5925613789158273,0.040023201856148494,0.01334106728538283,50,5172,5078,0.034845579903543936,0.04572772656763269,0.010394573660645315,0.016854004061326096
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,5,last_round,0.5987987244309727,0.04717710750193349,0.021075019334880124,50,5172,5078,0.041559265609941505,0.05331275831502004,0.017335938954038767,0.02536727554160791
cifar100,m5_hybrid_replay,F1,full,1,1024,205,0,6,last_round,0.6030712455683602,0.05317092034029389,0.02068832173240526,50,5172,5078,0.04721293483815642,0.05963926143212191,0.016984788740029597,0.024945632163476478
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,0,last_round,0.5594444387967019,0.023982701002555534,0.0053076469431885195,50,5087,5163,0.019955011047899884,0.028568474312822726,0.0035005996793316626,0.007713019848063178
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,1,last_round,0.5650221874422812,0.022803223904069195,0.003145272262630234,50,5087,5163,0.01887846107239774,0.027287860026408463,0.001798830647728111,0.005102712865923823
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,2,last_round,0.5799750237785827,0.03282877924120307,0.007863180656575585,50,5087,5163,0.02810352458258394,0.03809947814200993,0.0056233425598115104,0.010692178857624026
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,3,last_round,0.5872744328102216,0.04069195989777865,0.010615293886377039,50,5087,5163,0.035429358652422055,0.046489490986309154,0.007984315948172397,0.01382821683163301
cifar100,m5_hybrid_replay,F1,full,1,1024,205,1,4,last_round,0.6003040795370699,0.04423039119323766,0.011205032435620208,50,5087,5163,0.03874505400816114,0.05024606119606789,0.008497323382656092,0.014493337146601629
