dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,0,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,1,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,2,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,3,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,4,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,5,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,6,trajectory,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,0,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,1,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,2,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,3,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,4,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,5,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,6,trajectory,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,0,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,1,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,2,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,3,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,4,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,5,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,2,6,trajectory,1.0,1.0,1.0,50,5209,5041,0.9992920764872816,1.0,0.9992920764872816,1.0
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,0,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,1,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,2,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,3,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,4,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,5,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,3,6,trajectory,0.9997967987406319,0.9937168662870607,0.9815432947182408,50,5093,5157,0.9911415693967193,0.9956984880639304,0.9774604492328155,0.985060007237232
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,0,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,1,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,2,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,3,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,4,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,5,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,pooled,6,trajectory,0.9999666173287332,0.9992666829626008,0.9934979222683941,200,20455,20545,0.998790793037027,0.9995895117763606,0.9922989457723871,0.9945531937788906
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,0,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,1,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,2,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,3,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,4,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,5,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,0,6,last_round,0.9999851082882621,0.9996022275258553,0.997016706443914,50,5028,5222,0.9985638554119232,0.9999518242773768,0.9950842771749178,0.9983293415649973
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,0,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,1,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,2,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,3,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,4,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,5,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
cifar100,m8_analytic,F5,aggregate,0,1024,205,1,6,last_round,0.9999831719214753,0.9998048780487805,0.9960975609756098,50,5125,5125,0.9989133348301881,0.9999950599521076,0.9939794031359606,0.9976147090077536
