dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cifar100,m8_analytic,F5,global,2,1024,205,0,0,trajectory,0.9999977152069428,1.0,0.999604273842501,50,5054,5196,0.9992703732612066,1.0,0.9985712397528104,0.9999520721330777
cifar100,m8_analytic,F5,global,2,1024,205,0,1,trajectory,0.9999902896295071,0.9998021369212505,0.9990106846062524,50,5054,5196,0.9988980759590717,0.9999949905531124,0.9976927906500682,0.9996786964289449
cifar100,m8_analytic,F5,global,2,1024,205,0,2,trajectory,0.9999748672763713,0.999604273842501,0.9956470122675108,50,5054,5196,0.9985712397528104,0.9999520721330777,0.9934168993760324,0.9972700560193922
cifar100,m8_analytic,F5,global,2,1024,205,0,3,trajectory,0.9999492395142469,0.999208547685002,0.9912940245350218,50,5054,5196,0.9979748187411159,0.999784315117634,0.9883300756210447,0.9936673017288608
cifar100,m8_analytic,F5,global,2,1024,205,0,4,trajectory,0.9999102457127381,0.9974277799762564,0.9867431737237832,50,5054,5196,0.9956054420526645,0.9986297124179806,0.9831944863463945,0.98971177221009
cifar100,m8_analytic,F5,global,2,1024,205,0,5,trajectory,0.9998605895436293,0.9960427384250099,0.9794222398100515,50,5054,5196,0.9938949153580989,0.9975811772359704,0.9751210939670103,0.983156300995553
cifar100,m8_analytic,F5,global,2,1024,205,0,6,trajectory,0.9998014514833333,0.9948555599525128,0.9701226751088247,50,5054,5196,0.9924712274853287,0.9966368109815235,0.9650500547138294,0.9746421230281838
cifar100,m8_analytic,F5,global,2,1024,205,1,0,trajectory,0.9991296195297829,0.9765395894428153,0.9474095796676442,50,5115,5135,0.9720117878011502,0.9805116225579711,0.9409346761269263,0.9533676592480915
cifar100,m8_analytic,F5,global,2,1024,205,1,1,trajectory,0.9987120379280444,0.9685239491691104,0.9069403714565005,50,5115,5135,0.9633660063037235,0.9731376176564372,0.8986471444245251,0.9147657461891467
cifar100,m8_analytic,F5,global,2,1024,205,1,2,trajectory,0.9982099348861293,0.961485826001955,0.8789833822091887,50,5115,5135,0.9558445260784787,0.9665923079188586,0.8697308372632464,0.8878009693790234
cifar100,m8_analytic,F5,global,2,1024,205,1,3,trajectory,0.9976120028059595,0.9450635386119257,0.8551319648093841,50,5115,5135,0.938463015063537,0.951150161613646,0.8451861495497408,0.8646706190378561
cifar100,m8_analytic,F5,global,2,1024,205,1,4,trajectory,0.9969694875697326,0.9345063538611925,0.8375366568914956,50,5115,5135,0.9273773646730035,0.9411344245802992,0.8271379784432823,0.8475485801466236
cifar100,m8_analytic,F5,global,2,1024,205,1,5,trajectory,0.996270053615909,0.9247311827956989,0.8152492668621701,50,5115,5135,0.9171582401010938,0.9318150393430573,0.8043370614676764,0.8258004785289205
cifar100,m8_analytic,F5,global,2,1024,205,1,6,trajectory,0.9955690967532536,0.9163245356793744,0.8043010752688172,50,5115,5135,0.9083985743871639,0.9237714840861995,0.7931584718658693,0.8150953122976283
cifar100,m8_analytic,F5,global,2,1024,205,2,0,trajectory,0.9986671215067722,0.9702645298320139,0.9210272253330759,50,5179,5071,0.9652687382579174,0.9747204748225937,0.9133457702326621,0.9282300802666871
cifar100,m8_analytic,F5,global,2,1024,205,2,1,trajectory,0.998205440268938,0.962927206024329,0.8968912917551651,50,5179,5071,0.9574172856114781,0.9679071144508518,0.8882876769584007,0.9050446051557915
cifar100,m8_analytic,F5,global,2,1024,205,2,2,trajectory,0.9977008464739872,0.9548175323421509,0.8708244834910215,50,5179,5071,0.9488023707353764,0.9603130849900768,0.8613842502606667,0.8798445802744979
cifar100,m8_analytic,F5,global,2,1024,205,2,3,trajectory,0.9971198325351738,0.9397567097895346,0.8659972967754392,50,5179,5071,0.9329282727009818,0.9460841311234015,0.8564166466866979,0.875163367029562
cifar100,m8_analytic,F5,global,2,1024,205,2,4,trajectory,0.9964584384649733,0.9293299864838772,0.8507433867541997,50,5179,5071,0.9220088853693048,0.9361626180234864,0.8407445507938873,0.8603451570264455
cifar100,m8_analytic,F5,global,2,1024,205,2,5,trajectory,0.9957222996302476,0.9221857501448156,0.8318208148291176,50,5179,5071,0.9145530611485486,0.9293384670791689,0.8213514663277095,0.8419147481279532
cifar100,m8_analytic,F5,global,2,1024,205,2,6,trajectory,0.9949712346886987,0.9106005020274184,0.8140567677157753,50,5179,5071,0.9025000176323177,0.9182346703689812,0.8031882972511307,0.8245700895968457
cifar100,m8_analytic,F5,global,2,1024,205,3,0,trajectory,0.9952312868158011,0.9116315685888604,0.8029915370989963,50,5081,5169,0.9034904146995779,0.919296107874083,0.7917840610726377,0.8138498221593218
cifar100,m8_analytic,F5,global,2,1024,205,3,1,trajectory,0.9943080730205113,0.902381420980122,0.7992521157252509,50,5081,5169,0.8938894742181182,0.9104077937889175,0.7879692842102901,0.8101900942411405
cifar100,m8_analytic,F5,global,2,1024,205,3,2,trajectory,0.9932953440013701,0.8913599685101358,0.7862625467427672,50,5081,5169,0.8824792036683363,0.899788236980899,0.7747293693594123,0.7974659276744891
cifar100,m8_analytic,F5,global,2,1024,205,3,3,trajectory,0.9922500224549567,0.8738437315489077,0.7650068884077937,50,5081,5169,0.8644007041365506,0.8828549176767446,0.7530998772215124,0.7766087060354236
cifar100,m8_analytic,F5,global,2,1024,205,3,4,trajectory,0.9911611045957786,0.8649872072426688,0.7419799252115725,50,5081,5169,0.8552825121556813,0.8742704584560635,0.7297138308940028,0.7539674395299896
cifar100,m8_analytic,F5,global,2,1024,205,3,5,trajectory,0.9900731005457764,0.8466837236764416,0.7248573115528439,50,5081,5169,0.8364798652879618,0.8564875521428261,0.7123526379456471,0.7371031733701
cifar100,m8_analytic,F5,global,2,1024,205,3,6,trajectory,0.9891582633345986,0.8360558945089549,0.7091123794528637,50,5081,5169,0.8255852865721481,0.8461388695459655,0.696408320579099,0.7215757909458973
cifar100,m8_analytic,F5,global,2,1024,205,pooled,0,trajectory,0.9988323881357968,0.970238386607274,0.9187429634343336,200,20429,20571,0.9678157527204995,0.9725259403118794,0.9149118731652609,0.922454385200828
cifar100,m8_analytic,F5,global,2,1024,205,pooled,1,trajectory,0.9984592153073275,0.9630916833912575,0.9017573057907876,200,20429,20571,0.9604150884939908,0.9656354294866749,0.8975939756481617,0.9058059019686069
cifar100,m8_analytic,F5,global,2,1024,205,pooled,2,trajectory,0.9980269578914807,0.955847080131186,0.8832541974643888,200,20429,20571,0.952939940373217,0.9586235814532028,0.878771695115807,0.8876273127354919
cifar100,m8_analytic,F5,global,2,1024,205,pooled,3,trajectory,0.9975375385763997,0.9441969748886387,0.8716040922218415,200,20429,20571,0.9409611035460145,0.9473056974920152,0.866939369524132,0.8761627839246631
cifar100,m8_analytic,F5,global,2,1024,205,pooled,4,trajectory,0.9970027742795601,0.9347006706153018,0.8510940329923149,200,20429,20571,0.931226116238509,0.9380508838386347,0.8461379509550597,0.8559499784622991
cifar100,m8_analytic,F5,global,2,1024,205,pooled,5,trajectory,0.9964326139602784,0.9266239169807626,0.8330804248861912,200,20429,20571,0.9229627299279304,0.9301631335471411,0.8278951016710052,0.8381707775651668
cifar100,m8_analytic,F5,global,2,1024,205,pooled,6,trajectory,0.9958774686932057,0.9186450633902785,0.8239757207890743,200,20429,20571,0.9148119311596725,0.9223585556562065,0.8186828826360674,0.8291761964988309
cifar100,m8_analytic,F5,global,2,1024,205,0,0,last_round,0.9999977152069428,1.0,0.999604273842501,50,5054,5196,0.9992703732612066,1.0,0.9985712397528104,0.9999520721330777
cifar100,m8_analytic,F5,global,2,1024,205,0,1,last_round,0.9997853436922804,0.9942619707162643,0.9667590027700831,50,5054,5196,0.9917695504716422,0.9961538837329007,0.9614405010322662,0.9715290226701216
cifar100,m8_analytic,F5,global,2,1024,205,0,2,last_round,0.9988046343523815,0.9717055797388208,0.9184804115552038,50,5054,5196,0.9667539509761867,0.9761017800479889,0.9105934459272569,0.9258799285269506
cifar100,m8_analytic,F5,global,2,1024,205,0,3,last_round,0.9964679003330619,0.9273842500989316,0.8541749109616146,50,5054,5196,0.9198810185045634,0.9343892055783776,0.8441414572958253,0.8637973835744314
cifar100,m8_analytic,F5,global,2,1024,205,0,4,last_round,0.9931198026669933,0.8842500989315394,0.7758211317768104,50,5054,5196,0.8751082624384781,0.8929454505816761,0.7640670209245893,0.78725583050887
cifar100,m8_analytic,F5,global,2,1024,205,0,5,last_round,0.9892834447246108,0.8432924416303917,0.7018203403244955,50,5054,5196,0.8329734850106667,0.8532131978778845,0.6889954714130246,0.7144117240004961
cifar100,m8_analytic,F5,global,2,1024,205,0,6,last_round,0.983726409130886,0.7851206964780372,0.5991294024535022,50,5054,5196,0.7735348149091663,0.7963763400252932,0.5854652217009347,0.6126789787106028
cifar100,m8_analytic,F5,global,2,1024,205,1,0,last_round,0.9991296195297829,0.9765395894428153,0.9474095796676442,50,5115,5135,0.9720117878011502,0.9805116225579711,0.9409346761269263,0.9533676592480915
cifar100,m8_analytic,F5,global,2,1024,205,1,1,last_round,0.996822755303768,0.9313782991202346,0.8420332355816227,50,5115,5135,0.9241029478997262,0.9381565346467164,0.8317460385651743,0.8519284690713343
