dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m0_fedavg,F1,full,0,4096,819,0,0,trajectory,0.6616867579575106,0.05456840469948539,0.011845810272842023,50,20598,20352,0.051505319269321295,0.057757954467497936,0.010413238425693767,0.013418519883139999
cub200,m0_fedavg,F1,full,0,4096,819,0,1,trajectory,0.6604317202019675,0.029760170890377708,0.003544033401301097,50,20598,20352,0.027481899012035703,0.03217240771210367,0.0027789542305177908,0.004454056696636983
cub200,m0_fedavg,F1,full,0,4096,819,0,2,trajectory,0.6536824473975003,0.02408000776774444,0.0033498397902709002,50,20598,20352,0.02202962494768976,0.02626617251965326,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,3,trajectory,0.6452269673133375,0.022429362073987765,0.0033983881930284496,50,20598,20352,0.020450537883174635,0.02454451095869748,0.002650139405983397,0.0042917360403357755
cub200,m0_fedavg,F1,full,0,4096,819,0,4,trajectory,0.6377054380813977,0.021215652005049036,0.0033498397902709002,50,20598,20352,0.019291258088197087,0.023276775320292126,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,5,trajectory,0.6316758371431616,0.02082726478298864,0.0033983881930284496,50,20598,20352,0.018920637195618574,0.022870752407477997,0.002650139405983397,0.0042917360403357755
cub200,m0_fedavg,F1,full,0,4096,819,0,6,trajectory,0.626993211066929,0.020972909991261286,0.0033983881930284496,50,20598,20352,0.019059599554237496,0.023023031407806056,0.002650139405983397,0.0042917360403357755
cub200,m0_fedavg,F1,full,0,4096,819,1,0,trajectory,0.6618368178442867,0.06689142968826346,0.016368611355418745,50,20466,20484,0.06350589141122827,0.07040061575574516,0.014674726039960407,0.018201808085822092
cub200,m0_fedavg,F1,full,0,4096,819,1,1,trajectory,0.662973983760875,0.04461057363432033,0.004935014169842666,50,20466,20484,0.041822609336089445,0.04752880075386297,0.0040213943281610185,0.005993304328016213
cub200,m0_fedavg,F1,full,0,4096,819,1,2,trajectory,0.6531713224993752,0.037623375354246064,0.004348675852633636,50,20466,20484,0.03505785604953331,0.04032128216717448,0.003493755739662335,0.005348734855560835
cub200,m0_fedavg,F1,full,0,4096,819,1,3,trajectory,0.6414491980479129,0.03566891429688263,0.004153229746897293,50,20466,20484,0.03316971478852497,0.03830110289881116,0.003318759427828365,0.005133008864264021
cub200,m0_fedavg,F1,full,0,4096,819,1,4,trajectory,0.631886317022705,0.035522329717580375,0.0038600605882927784,50,20466,20484,0.033028184941252606,0.03814950886114956,0.0030572016497761303,0.004808498934856168
cub200,m0_fedavg,F1,full,0,4096,819,1,5,trajectory,0.6256996878033749,0.03415420697742597,0.0037623375354246067,50,20466,20484,0.03170780898303343,0.03673406302132779,0.0029702842707167855,0.004700065142205545
cub200,m0_fedavg,F1,full,0,4096,819,1,6,trajectory,0.620346624202842,0.0320042998143262,0.004006645167595036,50,20466,20484,0.029635120866654662,0.03450760709925178,0.003187834113248773,0.004970897797816117
cub200,m0_fedavg,F1,full,0,4096,819,2,0,trajectory,0.6516568138696787,0.05234294667776526,0.009352200949909416,50,20423,20527,0.04932784502285832,0.055486265087715904,0.008077838552398658,0.010769006148493332
cub200,m0_fedavg,F1,full,0,4096,819,2,1,trajectory,0.6493347915010592,0.029966214562013416,0.003182686187141948,50,20423,20527,0.027670551062006898,0.032396933323792045,0.002457162828147171,0.004054821421120519
cub200,m0_fedavg,F1,full,0,4096,819,2,2,trajectory,0.6414618226468586,0.02551045390001469,0.003035792978504627,50,20423,20527,0.023391324092674,0.027766069308129818,0.0023282931129318504,0.0038900832636321867
cub200,m0_fedavg,F1,full,0,4096,819,2,3,trajectory,0.633208414193555,0.023894628605004162,0.003035792978504627,50,20423,20527,0.02184360380694932,0.02608266860360179,0.0023282931129318504,0.0038900832636321867
cub200,m0_fedavg,F1,full,0,4096,819,2,4,trajectory,0.6270642725663371,0.02374773539636684,0.003035792978504627,50,20423,20527,0.02170302304762361,0.02592951144033445,0.0023282931129318504,0.0038900832636321867
cub200,m0_fedavg,F1,full,0,4096,819,2,5,trajectory,0.6229403425200599,0.023404984576213095,0.003035792978504627,50,20423,20527,0.02137508314714092,0.025572063097866714,0.0023282931129318504,0.0038900832636321867
cub200,m0_fedavg,F1,full,0,4096,819,2,6,trajectory,0.6194540994575055,0.023404984576213095,0.0029868285756255203,50,20423,20527,0.02137508314714092,0.025572063097866714,0.0022854340854361345,0.003835075182890513
cub200,m0_fedavg,F1,full,0,4096,819,3,0,trajectory,0.6319731547913967,0.04610810547350977,0.011990057025880976,50,20517,20433,0.043278573712141846,0.049067124522860515,0.010545849686594522,0.013574902000857156
cub200,m0_fedavg,F1,full,0,4096,819,3,1,trajectory,0.6322057727529969,0.025296095920456205,0.0025344835989667106,50,20517,20433,0.02319060420775021,0.027537512940187556,0.0018934351712845891,0.0033223261593180718
cub200,m0_fedavg,F1,full,0,4096,819,3,2,trajectory,0.6293634464666122,0.020227128722522785,0.0021933031144904225,50,20517,20433,0.018344685599609882,0.022247180408351698,0.0016002464196268322,0.002933723734483905
cub200,m0_fedavg,F1,full,0,4096,819,3,3,trajectory,0.625117958159352,0.019301067407515717,0.0025344835989667106,50,20517,20433,0.017462484617548124,0.021277576458145993,0.0018934351712845891,0.0033223261593180718
cub200,m0_fedavg,F1,full,0,4096,819,3,4,trajectory,0.6205296649371778,0.018228785884875958,0.0028756640834429986,50,20517,20433,0.01644240327713138,0.02015346777466559,0.002189787544527253,0.0037078501885649986
cub200,m0_fedavg,F1,full,0,4096,819,3,5,trajectory,0.6155490586448275,0.017643905054345176,0.0026807038065994053,50,20517,20433,0.0158866795510078,0.01953963591957043,0.0020200919820681108,0.0034878932230481136
cub200,m0_fedavg,F1,full,0,4096,819,3,6,trajectory,0.6109350679349809,0.017400204708290685,0.0026807038065994053,50,20517,20433,0.01565527804302641,0.019283723195360133,0.0020200919820681108,0.0034878932230481136
cub200,m0_fedavg,F1,full,0,4096,819,pooled,0,trajectory,0.6520125423463288,0.05528998585434857,0.013267645480708258,200,82004,81796,0.05373540281196534,0.0568761222061574,0.012495685389590245,0.014074316592339691
cub200,m0_fedavg,F1,full,0,4096,819,pooled,1,trajectory,0.6513059650941719,0.03192527193795425,0.003512023803716892,200,82004,81796,0.0307325160486049,0.033151289948518334,0.003118679643303768,0.0039411084481208135
cub200,m0_fedavg,F1,full,0,4096,819,pooled,2,trajectory,0.6439850837097961,0.02682795961172626,0.0033656894785620214,200,82004,81796,0.02573271730333347,0.02795684591672216,0.00298084887884459,0.0037862958387157924
cub200,m0_fedavg,F1,full,0,4096,819,pooled,3,trajectory,0.6353315341449299,0.025693868591776012,0.003268133261792108,200,82004,81796,0.024621663726937033,0.02679980326053493,0.002889065862177573,0.0036829838199733318
cub200,m0_fedavg,F1,full,0,4096,819,pooled,4,trajectory,0.6279212583314072,0.024840251695039266,0.0032559387346958687,200,82004,81796,0.023785751599287686,0.02592854643077446,0.002877599070598118,0.00367006376489927
cub200,m0_fedavg,F1,full,0,4096,819,pooled,5,trajectory,0.6224095054693417,0.023974440271206283,0.0032559387346958687,200,82004,81796,0.022938235940289684,0.025044505245072513,0.002877599070598118,0.00367006376489927
cub200,m0_fedavg,F1,full,0,4096,819,pooled,6,trajectory,0.6178119068123495,0.02369396614799278,0.003243744207599629,200,82004,81796,0.0226637645747614,0.02475804980100335,0.0028661336565507928,0.003657142339802111
cub200,m0_fedavg,F1,full,0,4096,819,0,0,last_round,0.6616867579575106,0.05456840469948539,0.011845810272842023,50,20598,20352,0.051505319269321295,0.057757954467497936,0.010413238425693767,0.013418519883139999
cub200,m0_fedavg,F1,full,0,4096,819,0,1,last_round,0.5833690409316469,0.020972909991261286,0.0033498397902709002,50,20598,20352,0.019059599554237496,0.023023031407806056,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,2,last_round,0.5720895118045899,0.021167103602291484,0.0033498397902709002,50,20598,20352,0.01924492096414559,0.023226031937142143,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,3,last_round,0.5706011187277144,0.021021458394018838,0.0033498397902709002,50,20598,20352,0.0191059258254331,0.023073785607884777,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,4,last_round,0.571793455286005,0.02077871638023109,0.0033498397902709002,50,20598,20352,0.018874321925675116,0.022819987242907566,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,5,last_round,0.5657798486992082,0.0200990387416254,0.0033498397902709002,50,20598,20352,0.018226203827917,0.022108980261730592,0.002607281905947611,0.004237549989824762
cub200,m0_fedavg,F1,full,0,4096,819,0,6,last_round,0.5699408227603157,0.021118555199533935,0.003204194581998252,50,20598,20352,0.01919858653958176,0.023175285863409608,0.0024789642346695418,0.004074742255244406
cub200,m0_fedavg,F1,full,0,4096,819,1,0,last_round,0.6618368178442867,0.06689142968826346,0.016368611355418745,50,20466,20484,0.06350589141122827,0.07040061575574516,0.014674726039960407,0.018201808085822092
cub200,m0_fedavg,F1,full,0,4096,819,1,1,last_round,0.5707364888051765,0.03527802208540995,0.0047884295905404085,50,20466,20484,0.03279232769322029,0.03789682635157306,0.0038891373560943025,0.005832504135437129
cub200,m0_fedavg,F1,full,0,4096,819,1,2,last_round,0.567099775771297,0.032492915078667056,0.0035668914296882633,50,20466,20484,0.030105941080417056,0.03501386455596755,0.002796884195791317,0.004482770916182311
cub200,m0_fedavg,F1,full,0,4096,819,1,3,last_round,0.565914564118259,0.031466823023551256,0.003615752956122349,50,20466,20484,0.029117392030965306,0.033950550875536174,0.0028401780679443295,0.004537149558379042
cub200,m0_fedavg,F1,full,0,4096,819,1,4,last_round,0.5683000676122922,0.033567868660216944,0.004006645167595036,50,20466,20484,0.03114225771783582,0.03612711988604394,0.003187834113248773,0.004970897797816117
cub200,m0_fedavg,F1,full,0,4096,819,1,5,last_round,0.552201227509171,0.03000097723052868,0.004495260431935893,50,20466,20484,0.027706363782559904,0.032430349294035786,0.003625306946430511,0.005510230239732619
cub200,m0_fedavg,F1,full,0,4096,819,1,6,last_round,0.5538164058056538,0.029463500439753737,0.004348675852633636,50,20466,20484,0.027189352946551774,0.03187257670325308,0.003493755739662335,0.005348734855560835
