dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m2_target,F1,full,1,1024,205,0,0,trajectory,0.6568217208417195,0.06628750735438321,0.01941557168072171,50,5099,5151,0.0596107104737894,0.07346583875432586,0.015807323908936497,0.023587694093880025
cub200,m2_target,F1,full,1,1024,205,0,1,trajectory,0.7805255970609347,0.11649343008433026,0.025887428907628948,50,5099,5151,0.10781109273032247,0.1256174107573792,0.02170381141959941,0.030624977901368883
cub200,m2_target,F1,full,1,1024,205,0,2,trajectory,0.8129921364020163,0.15061776818984116,0.02745636399293979,50,5099,5151,0.14090440588982114,0.1607328800128541,0.023145289248661084,0.03231909803953293
cub200,m2_target,F1,full,1,1024,205,0,3,trajectory,0.8358101513922604,0.18238870366738577,0.04785252010198078,50,5099,5151,0.1718754185382622,0.19326685681649822,0.04215596580615822,0.05407351501885105
cub200,m2_target,F1,full,1,1024,205,0,4,trajectory,0.8450547914637108,0.20866836634634242,0.059031182584820555,50,5099,5151,0.19758596969687953,0.2200852416394679,0.05271810592219209,0.06585470559681159
cub200,m2_target,F1,full,1,1024,205,0,5,trajectory,0.8530206550182146,0.23200627574034124,0.07530888409492058,50,5099,5151,0.22047818482979303,0.2438419198312892,0.068212364350816,0.08289598921764345
cub200,m2_target,F1,full,1,1024,205,0,6,trajectory,0.8600464444077162,0.25554030202000394,0.09825455971759169,50,5099,5151,0.24361318340167495,0.2677478664232455,0.09021814984790753,0.1067541337560345
cub200,m2_target,F1,full,1,1024,205,1,0,trajectory,0.6484927498567417,0.06141208683747311,0.023274007432035986,50,5113,5137,0.05498544013825248,0.0683448411589308,0.01931746572897017,0.02778681954908067
cub200,m2_target,F1,full,1,1024,205,1,1,trajectory,0.7695894470769449,0.09798552708781537,0.010365734402503423,50,5113,5137,0.0899700534315768,0.10646320531786063,0.007774018032429155,0.013536959171075266
cub200,m2_target,F1,full,1,1024,205,1,2,trajectory,0.794107977691328,0.1251711324075885,0.02386074711519656,50,5113,5137,0.11621885834435496,0.13455367796077128,0.019853340360336123,0.028423541366898446
cub200,m2_target,F1,full,1,1024,205,1,3,trajectory,0.8077911461054149,0.15176999804420105,0.023274007432035986,50,5113,5137,0.14203839442533933,0.16190090695197962,0.01931746572897017,0.02778681954908067
cub200,m2_target,F1,full,1,1024,205,1,4,trajectory,0.8216851235277206,0.1597887737140622,0.03168394289067084,50,5113,5137,0.14984399461371536,0.17012355884781913,0.02705402142159039,0.0368580681774682
cub200,m2_target,F1,full,1,1024,205,1,5,trajectory,0.8329157193047407,0.17817328378642674,0.034030901623313126,50,5113,5137,0.1677727581828876,0.1889425424233735,0.02923100240841579,0.03937180569849914
cub200,m2_target,F1,full,1,1024,205,1,6,trajectory,0.8389825033091912,0.19245061607666733,0.03872481908859769,50,5113,5137,0.18172499256427174,0.20352848934232184,0.0336034250823647,0.044380965664876176
cub200,m2_target,F1,full,1,1024,205,2,0,trajectory,0.6349788553626855,0.06432062561094819,0.015835777126099706,50,5115,5135,0.05774999324293475,0.07139360702687741,0.012595260554976395,0.01964447229174133
cub200,m2_target,F1,full,1,1024,205,2,1,trajectory,0.8096282865086458,0.14115347018572824,0.034995112414467254,50,5115,5135,0.13172071763632157,0.15099770123851194,0.03012817387093672,0.04040154332278801
cub200,m2_target,F1,full,1,1024,205,2,2,trajectory,0.8404744241738934,0.18064516129032257,0.051417399804496576,50,5115,5135,0.17018865597400504,0.191467399854503,0.04552485122526002,0.05782824046478329
cub200,m2_target,F1,full,1,1024,205,2,3,trajectory,0.8544593340510042,0.20684261974584556,0.08758553274682307,50,5115,5135,0.19581452551072956,0.2182062426623278,0.07997768395161005,0.09566773466602647
cub200,m2_target,F1,full,1,1024,205,2,4,trajectory,0.8642772988546774,0.21955034213098729,0.09755620723362658,50,5115,5135,0.20827115951340908,0.23115043007352515,0.08955844990314192,0.10601649447643187
cub200,m2_target,F1,full,1,1024,205,2,5,trajectory,0.8715960560468523,0.24281524926686218,0.0873900293255132,50,5115,5135,0.23111617007563043,0.25480849878735057,0.07979011300938124,0.09546453141362751
cub200,m2_target,F1,full,1,1024,205,2,6,trajectory,0.8765262068814539,0.2608015640273705,0.09305962854349951,50,5115,5135,0.24881038658946902,0.2730662695384674,0.08523425381085321,0.1013528555754749
cub200,m2_target,F1,full,1,1024,205,3,0,trajectory,0.6423629073104234,0.0452339351582217,0.0102892642205397,50,5151,5099,0.039720808767653,0.05126945970776903,0.007716598616486365,0.013437253163147674
cub200,m2_target,F1,full,1,1024,205,3,1,trajectory,0.8026652935819522,0.15336827800427102,0.0244612696563774,50,5151,5099,0.14362917527359093,0.1635018814380736,0.0204168300278243,0.029056052824753403
cub200,m2_target,F1,full,1,1024,205,3,2,trajectory,0.8466584115583091,0.21005629974762183,0.024849543777907202,50,5151,5099,0.19900175222008273,0.22144034469617843,0.02077237054591503,0.029476490158223928
cub200,m2_target,F1,full,1,1024,205,3,3,trajectory,0.8705755720294754,0.24441855950300911,0.019996117258784703,50,5151,5099,0.23273318957803282,0.2563942053609432,0.01635006309944934,0.024199334722204213
cub200,m2_target,F1,full,1,1024,205,3,4,trajectory,0.8862588691872199,0.283440108716754,0.0526111434672879,50,5151,5099,0.2711613466790478,0.295964705209548,0.046672207567569485,0.0590632299812962
cub200,m2_target,F1,full,1,1024,205,3,5,trajectory,0.8956802086309019,0.31042516016307514,0.0741603572121918,50,5151,5099,0.29780352925992176,0.32326193532843855,0.06715036138982468,0.08165731746088249
cub200,m2_target,F1,full,1,1024,205,3,6,trajectory,0.9047705746544568,0.3405164045816346,0.0842554843719666,50,5151,5099,0.3275715583501367,0.3536422023335936,0.07681001241321708,0.0921759075920087
cub200,m2_target,F1,full,1,1024,205,pooled,0,trajectory,0.6459408985970135,0.05776931340951265,0.01381970895595273,200,20478,20522,0.05461240943824733,0.061052478263365136,0.01226566371351302,0.015513935827773792
cub200,m2_target,F1,full,1,1024,205,pooled,1,trajectory,0.7905464452694337,0.12833284500439496,0.019240160171891785,200,20478,20522,0.1237805443525117,0.13299094017706387,0.017402795999438937,0.021215736529751627
cub200,m2_target,F1,full,1,1024,205,pooled,2,trajectory,0.8238187167834835,0.1694989745092294,0.036185174333431,200,20478,20522,0.1643829861237029,0.17470896819930973,0.03366898908714099,0.03883411108677727
cub200,m2_target,F1,full,1,1024,205,pooled,3,trajectory,0.8429551861756338,0.1987498779177654,0.04600058599472605,200,20478,20522,0.19330286605193875,0.20428254322496361,0.043171604396192824,0.04895933515878149
cub200,m2_target,F1,full,1,1024,205,pooled,4,trajectory,0.8553260154141379,0.21896669596640297,0.05576716476218381,200,20478,20522,0.21331841553755357,0.2246948652391421,0.05266307233606758,0.05899811079663356
cub200,m2_target,F1,full,1,1024,205,pooled,5,trajectory,0.8642334926567767,0.24074616661783377,0.06924504346127551,200,20478,20522,0.2349031911296858,0.24666282608370105,0.06580486807600301,0.07280810412703916
cub200,m2_target,F1,full,1,1024,205,pooled,6,trajectory,0.8712448368411684,0.2621349741185663,0.072370348666862,200,20478,20522,0.2561210704774249,0.2682164723813618,0.06885810277064193,0.07600456570274608
cub200,m2_target,F1,full,1,1024,205,0,0,last_round,0.6568217208417195,0.06628750735438321,0.01941557168072171,50,5099,5151,0.0596107104737894,0.07346583875432586,0.015807323908936497,0.023587694093880025
cub200,m2_target,F1,full,1,1024,205,0,1,last_round,0.7620382586693772,0.10884487154343989,0.026083545793292803,50,5099,5151,0.10042407803245164,0.11771631118813802,0.021883772535795674,0.0308369642074031
cub200,m2_target,F1,full,1,1024,205,0,2,last_round,0.7592958965958776,0.12669150813885074,0.024122376936654245,50,5099,5151,0.11767920893572278,0.13613348713836787,0.020087223121289615,0.028714072625399743
cub200,m2_target,F1,full,1,1024,205,0,3,last_round,0.8109800251277853,0.19160619729358697,0.07923122180819768,50,5099,5151,0.1808845743989001,0.20268201931777277,0.07196202189134168,0.08698628205018827
cub200,m2_target,F1,full,1,1024,205,0,4,last_round,0.8272127236949899,0.2180819768582075,0.0853108452637772,50,5099,5151,0.20681346194487957,0.2296741036781696,0.07778446284460112,0.0933157987045255
cub200,m2_target,F1,full,1,1024,205,0,5,last_round,0.8443037144294474,0.23690919788193762,0.0990390272602471,50,5099,5151,0.22529397686992833,0.24882632141045358,0.09097319208827585,0.10756709694468372
cub200,m2_target,F1,full,1,1024,205,0,6,last_round,0.8589118143728358,0.2547558344773485,0.12590704059619534,50,5099,5151,0.242841254448435,0.2669517632681555,0.11691940774281936,0.1353252720681552
cub200,m2_target,F1,full,1,1024,205,1,0,last_round,0.6484927498567417,0.06141208683747311,0.023274007432035986,50,5113,5137,0.05498544013825248,0.0683448411589308,0.01931746572897017,0.02778681954908067
cub200,m2_target,F1,full,1,1024,205,1,1,last_round,0.742538124468385,0.07529825933893995,0.007432035986700567,50,5113,5137,0.06821173105297393,0.08287403124793381,0.005264563645743541,0.010186914600112437
cub200,m2_target,F1,full,1,1024,205,1,2,last_round,0.761172087425317,0.11265401916682966,0.024838646587130843,50,5113,5137,0.10411292358208037,0.12164004354588234,0.020747930619857496,0.029483295291555883
cub200,m2_target,F1,full,1,1024,205,1,3,last_round,0.7769934995669792,0.13768824564834736,0.04928613338548797,50,5113,5137,0.1283545015011297,0.14743766298521999,0.04351381346390382,0.05557963065009646
cub200,m2_target,F1,full,1,1024,205,1,4,last_round,0.80321552078182,0.1752395853706239,0.0500684529630354,50,5113,5137,0.16490887471838617,0.18594241976759945,0.04425124270568107,0.05640585477112183
