dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m3_fot,F1,full,1,1024,205,0,0,trajectory,0.6627227020709308,0.05779437782583055,0.010025555337133871,50,5087,5163,0.05153875101705495,0.0645632007833881,0.0074735387970797755,0.013160923390648456
cub200,m3_fot,F1,full,1,1024,205,0,1,trajectory,0.6725009624324474,0.028110870847257715,0.001965795164143896,50,5087,5163,0.023742856913398794,0.03303092443056711,0.0009430650777811084,0.0036121862091047434
cub200,m3_fot,F1,full,1,1024,205,0,2,trajectory,0.6778331675371868,0.028700609396500886,0.0017692156477295065,50,5087,5163,0.024286240121197403,0.033666178177914764,0.0008093071653233953,0.003355853869696185
cub200,m3_fot,F1,full,1,1024,205,0,3,trajectory,0.6823731149278937,0.027324552781600158,0.001965795164143896,50,5087,5163,0.023019173057433694,0.032183100474707675,0.0009430650777811084,0.0036121862091047434
cub200,m3_fot,F1,full,1,1024,205,0,4,trajectory,0.6810397780916907,0.02614507568311382,0.001965795164143896,50,5087,5163,0.02193550159114632,0.030909529026947685,0.0009430650777811084,0.0036121862091047434
cub200,m3_fot,F1,full,1,1024,205,0,5,trajectory,0.6787313489805755,0.029093768429329665,0.001965795164143896,50,5087,5163,0.024648782128137967,0.034089396898281894,0.0009430650777811084,0.0036121862091047434
cub200,m3_fot,F1,full,1,1024,205,0,6,trajectory,0.6799489768974711,0.029683506978572832,0.0017692156477295065,50,5087,5163,0.025193013728873094,0.03472381034339678,0.0008093071653233953,0.003355853869696185
cub200,m3_fot,F1,full,1,1024,205,1,0,trajectory,0.6963600371348997,0.05870646766169154,0.01572139303482587,50,5025,5225,0.052365268918596025,0.0655661088382877,0.012466013540577045,0.01955551604371053
cub200,m3_fot,F1,full,1,1024,205,1,1,trajectory,0.7014448142064795,0.07522388059701493,0.015920398009950248,50,5025,5225,0.0680802416690653,0.08286549497452032,0.012643537925052892,0.019775636697583653
cub200,m3_fot,F1,full,1,1024,205,1,2,trajectory,0.7079911447546954,0.07601990049751244,0.011144278606965175,50,5025,5225,0.06884047609693131,0.08369632521961759,0.008428944619680094,0.01444765742462745
cub200,m3_fot,F1,full,1,1024,205,1,3,trajectory,0.7220463805375039,0.07422885572139304,0.007164179104477612,50,5025,5225,0.06713028484425411,0.08182662215909153,0.00502260118923076,0.009904575141921071
cub200,m3_fot,F1,full,1,1024,205,1,4,trajectory,0.7342754171725107,0.07144278606965174,0.008159203980099502,50,5025,5225,0.06447245049715217,0.07891574098319114,0.0058613657018419425,0.01105276225596004
cub200,m3_fot,F1,full,1,1024,205,1,5,trajectory,0.7445352757742388,0.07263681592039802,0.009353233830845771,50,5025,5225,0.0656111473597462,0.08016363510036398,0.006880270293472728,0.01241861209484424
cub200,m3_fot,F1,full,1,1024,205,1,6,trajectory,0.7472794496417434,0.06587064676616916,0.007164179104477612,50,5025,5225,0.059166387884080004,0.07308440936342288,0.00502260118923076,0.009904575141921071
cub200,m3_fot,F1,full,1,1024,205,2,0,trajectory,0.7090044938270083,0.08132471095434059,0.023123652753282382,50,5103,5147,0.0739683905886293,0.08916399521450087,0.01917657012493425,0.027628339741736077
cub200,m3_fot,F1,full,1,1024,205,2,1,trajectory,0.7230876087815405,0.09445424260239076,0.0268469527728787,50,5103,5147,0.08656571999100657,0.1028100697896316,0.02258650737504836,0.03165949613720521
cub200,m3_fot,F1,full,1,1024,205,2,2,trajectory,0.7323433748175957,0.09915735841661767,0.02821869488536155,50,5103,5147,0.09109020844069353,0.10768623781007673,0.02384875433545453,0.03313876778520475
cub200,m3_fot,F1,full,1,1024,205,2,3,trajectory,0.7452478933960416,0.11894963746815598,0.0421320791691162,50,5103,5147,0.11018932724728024,0.1281483594102729,0.03678568858646491,0.048009830717689425
cub200,m3_fot,F1,full,1,1024,205,2,4,trajectory,0.7603993825885039,0.12522045855379188,0.04546345287086028,50,5103,5147,0.11625797593416204,0.13461400373283264,0.03991134724066598,0.05154262898861086
cub200,m3_fot,F1,full,1,1024,205,2,5,trajectory,0.7735538903065474,0.13972173231432491,0.047619047619047616,50,5103,5147,0.1303194902785135,0.14953809572005147,0.04193838345823764,0.05382403359759855
