dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m4_proto,F2,full,2,1024,205,0,0,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,0,1,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,0,2,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,0,3,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,0,4,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,0,5,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,0,6,trajectory,0.9996683437272124,0.9979436561793131,0.9816985399958873,50,4863,4391,0.9962215725284381,0.9990134765610629,0.9775261446829523,0.9852773045934228
cub200,m4_proto,F2,full,2,1024,205,1,0,trajectory,0.9993788280650654,0.9881931267130508,0.9449715370018975,50,4743,4165,0.984694863669382,0.9910692285211099,0.938097512785619,0.9512910649565569
cub200,m4_proto,F2,full,2,1024,205,1,1,trajectory,0.9993788280650654,0.9881931267130508,0.9449715370018975,50,4743,4165,0.984694863669382,0.9910692285211099,0.938097512785619,0.9512910649565569
cub200,m4_proto,F2,full,2,1024,205,1,2,trajectory,0.9993788280650654,0.9881931267130508,0.9449715370018975,50,4743,4165,0.984694863669382,0.9910692285211099,0.938097512785619,0.9512910649565569
cub200,m4_proto,F2,full,2,1024,205,1,3,trajectory,0.9993788280650654,0.9881931267130508,0.9449715370018975,50,4743,4165,0.984694863669382,0.9910692285211099,0.938097512785619,0.9512910649565569
