dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,0,trajectory,0.6447620380179496,0.047992164544564155,0.009794319294809012,50,5105,5145,0.04229067401352749,0.054217295740809156,0.007278025737045377,0.012892430039510617
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,1,trajectory,0.7002342831633843,0.07404505386875612,0.006464250734573947,50,5105,5145,0.06700942843182293,0.08157220806046186,0.004453748311517225,0.009066338456977125
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,2,trajectory,0.7456685027445986,0.10460333006856024,0.02644466209598433,50,5105,5145,0.09633801474694909,0.11332375771455945,0.0222176921790822,0.031224092724540502
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,3,trajectory,0.7931558933913568,0.12889324191968657,0.04113614103819784,50,5105,5145,0.11981759028651148,0.13839549041934585,0.035854030916691475,0.04695069510686318
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,4,trajectory,0.8257779630671354,0.20430950048971597,0.04760039177277179,50,5105,5145,0.19332274316737638,0.21563537004513014,0.041921905923173595,0.053803015587588175
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,5,trajectory,0.846781628560197,0.2495592556317336,0.07149853085210578,50,5105,5145,0.23773595540118608,0.261669547812197,0.0645792443636946,0.07891242519795295
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,6,trajectory,0.8636621616605226,0.2973555337904016,0.07110675808031341,50,5105,5145,0.28483754695690616,0.31010560786667674,0.0642055975879809,0.07850300097434763
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,0,trajectory,0.6701840499299759,0.06600078339208774,0.027614571092831962,50,5106,5144,0.05934234994618094,0.07316040732775643,0.023293707536690307,0.032486100980788364
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,1,trajectory,0.7248816535786581,0.09831570701135918,0.02448100274187231,50,5106,5144,0.09028241593632319,0.1068114501842502,0.020417888395382916,0.029099350440998147
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,2,trajectory,0.7659310791621969,0.12475518997258128,0.027418723070896985,50,5106,5144,0.11581003917469145,0.13413169279076395,0.02311349157802818,0.03227490137994142
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,3,trajectory,0.7918126008556396,0.1555033294163729,0.033685859772816296,50,5106,5144,0.14566466114891707,0.16573751652708896,0.028907383623567526,0.039006559051361446
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,4,trajectory,0.8082160529587671,0.18370544457500979,0.04406580493537015,50,5106,5144,0.17316896040114907,0.19460477100303156,0.03860048251027408,0.0500596771004004
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,5,trajectory,0.8272912847934824,0.2156286721504113,0.07559733646690169,50,5106,5144,0.20441545880835998,0.22716787863860602,0.06849269891877466,0.08319153353582337
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,6,trajectory,0.8401799806771407,0.22620446533490013,0.10164512338425381,50,5106,5144,0.2147901030668466,0.23793263684011076,0.09348816647577975,0.11026059520785018
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,0,trajectory,0.674503905192293,0.05668095052590573,0.014024152707440592,50,5134,5116,0.05051197315955114,0.06335975294536554,0.010988779205691765,0.01762891291984618
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,1,trajectory,0.7401771309210272,0.11530970003895598,0.03486560186988703,50,5134,5116,0.10669609402641125,0.12436329971697732,0.030016406472134105,0.040252442444813116
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,2,trajectory,0.7739492850405079,0.13809894818854695,0.05025321386832879,50,5134,5116,0.12877204924105676,0.1478393330291214,0.04443705720225591,0.056587181309195905
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,3,trajectory,0.7979700325262633,0.15114920140241528,0.05609661082976237,50,5134,5116,0.14145416137811534,0.16124262092491976,0.04995870410932514,0.06274506361010117
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,4,trajectory,0.81492825733973,0.17666536813400857,0.06096610829762369,50,5134,5116,0.16632162459798128,0.18737806322654058,0.054574883945290184,0.06786189623125642
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,5,trajectory,0.8277275734323264,0.19594857810673938,0.08414491624464356,50,5134,5116,0.18516880677204436,0.20707513274423864,0.07669195649814955,0.09207454388383032
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,6,trajectory,0.8410947818175782,0.21873782625633034,0.09602649006622517,50,5134,5116,0.2074949543880152,0.23030134058553178,0.08810121457632854,0.10441437316086204
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,0,trajectory,0.6704536457815466,0.049010186430905246,0.008264462809917356,50,5203,5047,0.043302383934046014,0.055230402160848506,0.005987304410920225,0.01111619888651989
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,1,trajectory,0.729399154387352,0.09744378243321161,0.03459542571593312,50,5203,5047,0.08951700024588598,0.10582534458023408,0.029796162650950295,0.03992547603997282
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,2,trajectory,0.7721058414539691,0.1447241975783202,0.059773207764751105,50,5203,5047,0.13526964605652628,0.15457914524984137,0.05348396232209704,0.06656170454201914
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,3,trajectory,0.8034322839077804,0.15913895829329233,0.08302902171823948,50,5203,5047,0.1492964685795805,0.16936540758752094,0.07567093300677273,0.09085871608499856
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,4,trajectory,0.8222708462421334,0.1989236978666154,0.0939842398616183,50,5203,5047,0.18815200724769654,0.21003417745152744,0.08618856084261847,0.10223872198806648
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,5,trajectory,0.8405182329729222,0.21775898520084566,0.12242936767249664,50,5203,5047,0.20660914248245044,0.22922630249607787,0.1136404272279726,0.13164423648783444
cub200,m5_hybrid_replay,F1,full,2,1024,205,3,6,trajectory,0.855049103866667,0.24966365558331732,0.12377474533922737,50,5203,5047,0.23795004793081453,0.26165870472074115,0.11494312355509959,0.13303075007835427
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,0,trajectory,0.665203934871781,0.055382518979949384,0.013383297644539615,200,20548,20452,0.05229390822894245,0.05859766267285658,0.011856949720569469,0.015049513848700081
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,1,trajectory,0.722589724798872,0.0943644150282266,0.02306793848549737,200,20548,20452,0.090400577483195,0.09844343700060557,0.021058720099138006,0.025213604333450986
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,2,trajectory,0.7625690825917104,0.12648432937512166,0.03961456102783726,200,20548,20452,0.1219682433920901,0.13110637721179302,0.036988602035166296,0.0423717692925242
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,3,trajectory,0.7945279990303623,0.15183959509441308,0.05187852832392447,200,20548,20452,0.14695800716046728,0.15681990079402006,0.048885352994084,0.05499927423280796
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,4,trajectory,0.8163824817257297,0.18016351956394783,0.059373175004866656,200,20548,20452,0.17492985770430794,0.1854878291250306,0.05618013447607357,0.06269157194121958
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,5,trajectory,0.8349912880902505,0.21043410550905198,0.08618843683083512,200,20548,20452,0.2048776947183902,0.2160725562425394,0.082385627002627,0.0901087917046906
cub200,m5_hybrid_replay,F1,full,2,1024,205,pooled,6,trajectory,0.84979144061744,0.23754136655635585,0.10059373175004867,200,20548,20452,0.2317355780086693,0.24342149701244922,0.09651341310172606,0.10478744056792434
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,0,last_round,0.6447620380179496,0.047992164544564155,0.009794319294809012,50,5105,5145,0.04229067401352749,0.054217295740809156,0.007278025737045377,0.012892430039510617
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,1,last_round,0.6775981549748765,0.06464250734573947,0.0056807051909892265,50,5105,5145,0.05804975553619855,0.0717382075142762,0.003807660386554542,0.008148327744082626
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,2,last_round,0.7291785240750841,0.10577864838393732,0.04936336924583742,50,5105,5145,0.09747117925876031,0.11453984344888923,0.043582203571322184,0.05566643976002497
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,3,last_round,0.7812175224084317,0.1435847208619001,0.04642507345739471,50,5105,5145,0.13407321183300677,0.15350568765696238,0.04081626157307373,0.052559518992729565
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,4,last_round,0.8207453010587192,0.20548481880509303,0.06953966699314397,50,5105,5145,0.1944738243721441,0.21683356929983938,0.06271163556265953,0.076864681350118
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,5,last_round,0.8516749047457237,0.2842311459353575,0.11439764936336924,50,5105,5145,0.2718864806906043,0.2968229633753542,0.10579070952346041,0.12344817098576982
cub200,m5_hybrid_replay,F1,full,2,1024,205,0,6,last_round,0.873594838803018,0.3006856023506366,0.13888344760039179,50,5105,5145,0.2881256245395619,0.3134738461009595,0.1295074528742993,0.14867437756281074
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,0,last_round,0.6701840499299759,0.06600078339208774,0.027614571092831962,50,5106,5144,0.05934234994618094,0.07316040732775643,0.023293707536690307,0.032486100980788364
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,1,last_round,0.7116162624521878,0.09126517822169997,0.01645123384253819,50,5106,5144,0.0835034463014411,0.0994977255064679,0.013142815217837885,0.02032775418586841
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,2,last_round,0.7430747697795842,0.12671367019193105,0.036036036036036036,50,5106,5144,0.1177067729951132,0.13614962828523303,0.03109270109797825,0.04151843033507818
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,3,last_round,0.7628579708926588,0.14042303172737955,0.060712886799843324,50,5106,5144,0.13100317380718718,0.15025594900080688,0.05431749877912758,0.06761594243617546
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,4,last_round,0.7934929951589293,0.18605562083822955,0.05483744614179397,50,5106,5144,0.17546548060981712,0.19700588616434603,0.04875096758883087,0.06143886314357499
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,5,last_round,0.8235115017309553,0.22757540148844496,0.0973364669016843,50,5106,5144,0.21613574241995992,0.23932729112080298,0.08934009055892626,0.1057964547431695
cub200,m5_hybrid_replay,F1,full,2,1024,205,1,6,last_round,0.8313429859300101,0.21856639247943596,0.1053662358010184,50,5106,5144,0.20729622292337066,0.23015916973788603,0.0970743199387077,0.11411227438892735
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,0,last_round,0.674503905192293,0.05668095052590573,0.014024152707440592,50,5134,5116,0.05051197315955114,0.06335975294536554,0.010988779205691765,0.01762891291984618
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,1,last_round,0.7392150720350585,0.11492014024152708,0.03506038176860148,50,5134,5116,0.10631960343246012,0.12396112561433331,0.03019758473997091,0.040460563503198634
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,2,last_round,0.7672240483578029,0.1275808336579665,0.05181145305804441,50,5134,5116,0.11857116629981261,0.13701619798988113,0.04590744758399575,0.05823132158932058
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,3,last_round,0.7731573730207149,0.1431632255551227,0.049863654070899883,50,5134,5116,0.13369027274868744,0.15304379676073254,0.04406970588944531,0.056175901266349276
cub200,m5_hybrid_replay,F1,full,2,1024,205,2,4,last_round,0.8033067580858024,0.1653681340085703,0.04966887417218543,50,5134,5116,0.15530079933481586,0.17581743414157094,0.043886067924691914,0.05597022375668903
