dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,0,trajectory,0.6828495482945104,0.0768446106766406,0.021664156992276678,50,20587,20363,0.07324198703254006,0.08056725819382975,0.01971895295996776,0.023746013811911725
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,1,trajectory,0.7119560708555275,0.0939913537669403,0.023024238597172973,50,20587,20363,0.09003837365159165,0.09805940661088093,0.021018786540107984,0.02516589207992427
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,2,trajectory,0.7261236559552874,0.10390051974547045,0.031087579540486715,50,20587,20363,0.09976426837333723,0.10814899631603186,0.02875894185181201,0.03354983804251304
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,3,trajectory,0.7285142659944812,0.10390051974547045,0.03788798756496818,50,20587,20363,0.09976426837333723,0.10814899631603186,0.03532109222150142,0.04058640698387637
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,4,trajectory,0.726581043877302,0.10249186379754213,0.04031670471656871,50,20587,20363,0.09838090908950502,0.1067154480141055,0.03767056917053665,0.04309362668310588
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,5,trajectory,0.723464514219202,0.10545489872249478,0.04410550347306553,50,20587,20363,0.1012910104590985,0.10973056621908595,0.04134096437258347,0.04699968706828031
imagenet_r,m0_fedavg,F1,full,4,4096,819,0,6,trajectory,0.7195037146276454,0.10530917569339875,0.04080244814688881,50,20587,20363,0.10114786620405877,0.10958230621776226,0.03814078988416157,0.043594745864336565
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,0,trajectory,0.6752807388407123,0.0714669795180134,0.01828225057437552,50,20457,20493,0.06797359013051288,0.07508273012414973,0.01649067132256437,0.02021251938071798
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,1,trajectory,0.6909390614284513,0.07762624040670675,0.007967932736960453,50,20457,20493,0.07399523033821392,0.0813778123687204,0.006795500285203364,0.009283245883592974
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,2,trajectory,0.6950480739233819,0.07317788532042821,0.0062081439116194945,50,20457,20493,0.06964554198314227,0.07683208940885813,0.00517800059576533,0.007382156525661156
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,3,trajectory,0.6940699674039951,0.06745857163807009,0.005083834384318326,50,20457,20493,0.06405877888645906,0.07098190034668146,0.004155693986586353,0.00615659907222266
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,4,trajectory,0.6915680334856508,0.06687197536295644,0.0029818643984944027,50,20457,20493,0.063486165690732,0.0703814931855406,0.0022816344014114955,0.003828703908132622
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,5,trajectory,0.6885081275187634,0.06652979420247349,0.002346385100454612,50,20457,20493,0.06315217619542426,0.07003122084108465,0.0017305304046700233,0.0031097765723902505
imagenet_r,m0_fedavg,F1,full,4,4096,819,1,6,trajectory,0.6860385294350352,0.06916947744048492,0.00239526812338075,50,20457,20493,0.06572932424551386,0.07273266478197594,0.0017725418429096371,0.0031654497086922423
imagenet_r,m0_fedavg,F1,full,4,4096,819,2,0,trajectory,0.6740224258155487,0.06345765384046903,0.01571660836576834,50,20297,20653,0.06014192363870422,0.06689908376543952,0.014050526591269324,0.017523412670171233
imagenet_r,m0_fedavg,F1,full,4,4096,819,2,1,trajectory,0.6916140612824363,0.07212888604227226,0.017490269497955364,50,20297,20653,0.06860670232678938,0.07577420462332303,0.015731574661668933,0.019389039103192864
imagenet_r,m0_fedavg,F1,full,4,4096,819,2,2,trajectory,0.6985213152210137,0.06986254126225551,0.020397103020150763,50,20297,20653,0.06639276566069648,0.07345612055209326,0.018496749609197727,0.02243651007972215
imagenet_r,m0_fedavg,F1,full,4,4096,819,2,3,trajectory,0.7003940832245951,0.06493570478395821,0.017884416416219146,50,20297,20653,0.061583608228532746,0.06841306267473068,0.016105820678067255,0.019802945814700573
imagenet_r,m0_fedavg,F1,full,4,4096,819,2,4,trajectory,0.6986295109642341,0.06439375277134551,0.01827856333448293,50,20297,20653,0.061054931373024444,0.06785799618453106,0.016480296391245357,0.020216623740851192
imagenet_r,m0_fedavg,F1,full,4,4096,819,2,5,trajectory,0.6951684375609809,0.06498497314874119,0.01744100113317239,50,20297,20653,0.061631673120972584,0.06846351990815805,0.015684810437499763,0.01933728430299326
