dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m1_glfc,F1,full,0,1024,205,0,0,trajectory,0.6674766435140267,0.06953773212169104,0.0225207427894113,50,5062,5188,0.06268150486779427,0.07689520337942912,0.01861188071279116,0.02699272003338556
imagenet_r,m1_glfc,F1,full,0,1024,205,0,1,trajectory,0.6611163439198199,0.07447649150533386,0.02390359541683129,50,5062,5188,0.0673921430569842,0.08205605431283033,0.019873252513631815,0.028494937242928824
imagenet_r,m1_glfc,F1,full,0,1024,205,0,2,trajectory,0.6678708303848013,0.07961280126432241,0.023310944290794153,50,5062,5188,0.072301057010027,0.08741352435763196,0.01933219232909039,0.027851596507295125
imagenet_r,m1_glfc,F1,full,0,1024,205,0,3,trajectory,0.6840794045889567,0.09383642828921375,0.026866851047016988,50,5062,5188,0.08594059381314768,0.1022041207913958,0.02258829349576793,0.031702010385070846
imagenet_r,m1_glfc,F1,full,0,1024,205,0,4,trajectory,0.701175127722334,0.10786250493875939,0.036744369814302645,50,5062,5188,0.09944613121541432,0.11673400936578784,0.03173162342208769,0.04229996365865944
imagenet_r,m1_glfc,F1,full,0,1024,205,0,5,trajectory,0.7160594518487334,0.11951797708415646,0.042868431450019756,50,5062,5188,0.11070405053549935,0.12877321851582196,0.037454686473019486,0.048816927401549505
imagenet_r,m1_glfc,F1,full,0,1024,205,0,6,trajectory,0.7289255102572358,0.13927301461872776,0.04583168708020545,50,5062,5188,0.12984635179259363,0.14911770207301395,0.04023552482968653,0.05195875942574579
imagenet_r,m1_glfc,F1,full,0,1024,205,1,0,trajectory,0.6333624573800939,0.04650714010034736,0.00887688151292937,50,5182,5068,0.040934062324803164,0.05259785692496181,0.006506114396293278,0.01182295045956394
imagenet_r,m1_glfc,F1,full,0,1024,205,1,1,trajectory,0.6668195977393667,0.063103049015824,0.009455808568120417,50,5182,5068,0.05663392777168594,0.07006943401495946,0.007003415418812172,0.012482021890563218
imagenet_r,m1_glfc,F1,full,0,1024,205,1,2,trajectory,0.7009599207626911,0.07969895793130066,0.019876495561559245,50,5182,5068,0.07246696604382633,0.08740841201785929,0.01625208194319451,0.024054877276853254
imagenet_r,m1_glfc,F1,full,0,1024,205,1,3,trajectory,0.7325990611055146,0.10575067541489773,0.042454650714010035,50,5182,5068,0.09750516705878065,0.11444315219835408,0.03712772943168235,0.048304333091069074
imagenet_r,m1_glfc,F1,full,0,1024,205,1,4,trajectory,0.7606451145166758,0.14280200694712467,0.05326128907757623,50,5182,5068,0.13338274738542513,0.15262549994081312,0.04730395209194252,0.059727875917018176
imagenet_r,m1_glfc,F1,full,0,1024,205,1,5,trajectory,0.7826148327173443,0.1767657275183327,0.07776920108066383,50,5182,5068,0.166467202890667,0.18742965213453935,0.07062047108329339,0.08539767633416462
imagenet_r,m1_glfc,F1,full,0,1024,205,1,6,trajectory,0.7989981561455064,0.19837900424546506,0.09436510999614049,50,5182,5068,0.1875971742125974,0.2095016231949757,0.08653930755044972,0.10265114370746789
imagenet_r,m1_glfc,F1,full,0,1024,205,2,0,trajectory,0.624567630964131,0.054188132035871014,0.018889524899828276,50,5241,5009,0.048213342425580216,0.060665257001368995,0.015378315110467201,0.022949931644312683
imagenet_r,m1_glfc,F1,full,0,1024,205,2,1,trajectory,0.6662386639366827,0.0723144438084335,0.021179164281625643,50,5241,5009,0.06544650570030638,0.07966308565213366,0.01745415103535325,0.025449802814900772
imagenet_r,m1_glfc,F1,full,0,1024,205,2,2,trajectory,0.7059478018749613,0.09940850982636901,0.03224575462697958,50,5241,5009,0.09143724020636677,0.10782897343829244,0.027629808146556682,0.03739169963699667
imagenet_r,m1_glfc,F1,full,0,1024,205,2,3,trajectory,0.7303657842519603,0.11925205113527952,0.04216752528143484,50,5241,5009,0.11059640890576215,0.1283341386062273,0.036887574988449384,0.04796464985130754
imagenet_r,m1_glfc,F1,full,0,1024,205,2,4,trajectory,0.7477457576933929,0.13718755962602558,0.05285250906315589,50,5241,5009,0.12798165605699133,0.14679948905941678,0.046950195309057904,0.059258781639099915
imagenet_r,m1_glfc,F1,full,0,1024,205,2,5,trajectory,0.7614838606288112,0.15741270749856898,0.05991223049036443,50,5241,5009,0.14765030494242254,0.16755822070170276,0.05363820159029323,0.0666816908106248
imagenet_r,m1_glfc,F1,full,0,1024,205,2,6,trajectory,0.7739525827370684,0.17019652738027094,0.07021560770845259,50,5241,5009,0.1601126067669615,0.18064911972813635,0.06344352635707129,0.07747086720036574
imagenet_r,m1_glfc,F1,full,0,1024,205,3,0,trajectory,0.673839673002814,0.08127835865062143,0.013612152298283685,50,5069,5181,0.07389988256402935,0.08914312044094538,0.010606087583508315,0.017195847841018196
