dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m2_target,F1,full,0,1024,205,0,0,trajectory,0.6792364234893151,0.08229228633749752,0.024985127900059488,50,5043,5207,0.07485190718411758,0.09022024878754656,0.020854953783638344,0.029676813346859263
imagenet_r,m2_target,F1,full,0,1024,205,0,1,trajectory,0.7656057654507323,0.13959944477493555,0.06305770374776919,50,5043,5207,0.13014569319401567,0.14947242083300472,0.056504454862115604,0.07012210523226489
imagenet_r,m2_target,F1,full,0,1024,205,0,2,trajectory,0.800913145603466,0.1848106285940908,0.10469958358120167,50,5043,5207,0.17418361818653438,0.1958037461805915,0.09638095257596531,0.11347884806033982
imagenet_r,m2_target,F1,full,0,1024,205,0,3,trajectory,0.8169059322018084,0.21673606979972238,0.09894903827087051,50,5043,5207,0.20543177017748446,0.22836916473750588,0.09084269123725464,0.10752289893668826
imagenet_r,m2_target,F1,full,0,1024,205,0,4,trajectory,0.828173806664643,0.24588538568312512,0.10390640491770771,50,5043,5207,0.23405131150273467,0.2580142762192586,0.09561656822027516,0.11265782284824313
imagenet_r,m2_target,F1,full,0,1024,205,0,5,trajectory,0.8369109963893767,0.25976601229426927,0.12373587150505651,50,5043,5207,0.24770607111842677,0.2721046114981425,0.11476841538563225,0.13314131291603803
imagenet_r,m2_target,F1,full,0,1024,205,0,6,trajectory,0.842709373099811,0.2688875669244497,0.1124330755502677,50,5043,5207,0.2566878367582484,0.28135534321672284,0.10384140567945503,0.12147615678641113
imagenet_r,m2_target,F1,full,0,1024,205,1,0,trajectory,0.7404016975917884,0.10570987654320987,0.03838734567901234,50,5184,5066,0.09746738042090333,0.1143992147842311,0.033322188791305274,0.043980285820954514
imagenet_r,m2_target,F1,full,0,1024,205,1,1,trajectory,0.8075053963606322,0.2013888888888889,0.07310956790123457,50,5184,5066,0.19054595844827021,0.2125690547113516,0.06616872812935971,0.08053549557511666
imagenet_r,m2_target,F1,full,0,1024,205,1,2,trajectory,0.8366046960979271,0.24266975308641975,0.12017746913580248,50,5184,5066,0.23105088292050682,0.25457902306806557,0.11144501778072334,0.12934001834791994
imagenet_r,m2_target,F1,full,0,1024,205,1,3,trajectory,0.8511702243350733,0.27642746913580246,0.14641203703703703,50,5184,5066,0.2642852389018041,0.28882189086668675,0.1368932605461597,0.15633075211780706
imagenet_r,m2_target,F1,full,0,1024,205,1,4,trajectory,0.85960354188904,0.2980324074074074,0.16589506172839505,50,5184,5066,0.2856014508850258,0.31069113269557297,0.15586272504941637,0.17630505651757394
imagenet_r,m2_target,F1,full,0,1024,205,1,5,trajectory,0.8656063267340245,0.3121141975308642,0.17631172839506173,50,5184,5066,0.2995130636138444,0.3249271919868144,0.16602591022950988,0.18696332224398993
imagenet_r,m2_target,F1,full,0,1024,205,1,6,trajectory,0.8702883511719378,0.3117283950617284,0.19888117283950618,50,5184,5066,0.2991317404897389,0.32453734591943606,0.1880908019405875,0.21001162956875877
imagenet_r,m2_target,F1,full,0,1024,205,2,0,trajectory,0.7129423201735535,0.10929281122150789,0.049483732709916226,50,5133,5117,0.10088389948536038,0.11814883846446404,0.04371099423473443,0.055775348977329865
