dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m3_fot,F1,full,2,1024,205,0,0,trajectory,0.6828248098947911,0.07902973395931143,0.0297339593114241,50,5112,5138,0.07177832024859782,0.08676600394687575,0.025250166847205022,0.03476476773522844
imagenet_r,m3_fot,F1,full,2,1024,205,0,1,trajectory,0.7208420443947365,0.09057120500782473,0.03560250391236307,50,5112,5138,0.08284140809379945,0.09877208470649902,0.030691905487862745,0.04105210083660487
imagenet_r,m3_fot,F1,full,2,1024,205,0,2,trajectory,0.7307786699001152,0.09370109546165885,0.02992957746478873,50,5112,5138,0.08584852971228009,0.10202102951745719,0.025430849750624252,0.03497504775331792
imagenet_r,m3_fot,F1,full,2,1024,205,0,3,trajectory,0.7306516970426861,0.08685446009389672,0.027582159624413145,50,5112,5138,0.07927415269319893,0.09491027184935617,0.02326630965079457,0.03244806727743089
imagenet_r,m3_fot,F1,full,2,1024,205,0,4,trajectory,0.730135505738031,0.08763693270735524,0.02679968701095462,50,5112,5138,0.0800248095672503,0.09572362833229221,0.02254665959951215,0.03160389534333862
imagenet_r,m3_fot,F1,full,2,1024,205,0,5,trajectory,0.729833283686375,0.09076682316118936,0.02543035993740219,50,5112,5138,0.08302927132631897,0.09897522539459144,0.021289699411915504,0.030124192103197573
imagenet_r,m3_fot,F1,full,2,1024,205,0,6,trajectory,0.7286719103601323,0.09154929577464789,0.02464788732394366,50,5112,5138,0.08378083456784204,0.0997876781497646,0.020572901635302402,0.029277197904874132
imagenet_r,m3_fot,F1,full,2,1024,205,1,0,trajectory,0.6874421796413241,0.0750675414897723,0.033577769201080666,50,5182,5068,0.06803760648366668,0.08258042550162556,0.028840868252705085,0.03884898934198646
imagenet_r,m3_fot,F1,full,2,1024,205,1,1,trajectory,0.7206390617513053,0.0932072558857584,0.03608645310690853,50,5182,5068,0.0854260247589796,0.10145007195040744,0.031174796925556435,0.04152910395291803
imagenet_r,m3_fot,F1,full,2,1024,205,1,2,trajectory,0.735284766313604,0.10787340795059823,0.026051717483597067,50,5182,5068,0.09955314477375235,0.11663817541852982,0.021886884191199996,0.03076125322824538
imagenet_r,m3_fot,F1,full,2,1024,205,1,3,trajectory,0.7392250800156086,0.11482053261289077,0.024893863373214975,50,5182,5068,0.10626266566705404,0.12381485548926482,0.020824665323143105,0.02950943533692696
imagenet_r,m3_fot,F1,full,2,1024,205,1,4,trajectory,0.7407537688136062,0.1188730219992281,0.024700887688151294,50,5182,5068,0.11018129007888919,0.12799652530962344,0.020647859463715078,0.029300570880234283
imagenet_r,m3_fot,F1,full,2,1024,205,1,5,trajectory,0.7416562766445808,0.12427634118101119,0.027016595908915475,50,5182,5068,0.11541122947378697,0.13356698877216017,0.022773800868121617,0.03180271859706455
imagenet_r,m3_fot,F1,full,2,1024,205,1,6,trajectory,0.741611040828903,0.1254341952913933,0.02431493631802393,50,5182,5068,0.11653266178166788,0.13475992996367503,0.020294452209417686,0.028882639749539737
imagenet_r,m3_fot,F1,full,2,1024,205,2,0,trajectory,0.6875525757005368,0.08950318963850763,0.02397061666344481,50,5173,5077,0.08186055377939715,0.09761256479285002,0.01997608433432668,0.028513840894275763
imagenet_r,m3_fot,F1,full,2,1024,205,2,1,trajectory,0.7255426684233879,0.08041755267736324,0.002513048521167601,50,5173,5077,0.07314869555429428,0.08816385885047652,0.0013387499100542845,0.004293555546917635
imagenet_r,m3_fot,F1,full,2,1024,205,2,2,trajectory,0.7314845673934381,0.06379277015271602,0.0013531799729364006,50,5173,5077,0.05728411157442035,0.07079873214729857,0.0005442161423075124,0.0027860679803176328
imagenet_r,m3_fot,F1,full,2,1024,205,2,3,trajectory,0.7325785265313552,0.06437270442683163,0.0013531799729364006,50,5173,5077,0.057835590538618024,0.07140642177139417,0.0005442161423075124,0.0027860679803176328
imagenet_r,m3_fot,F1,full,2,1024,205,2,4,trajectory,0.7294789566026323,0.057800115986854826,0.0011598685482312006,50,5173,5077,0.05159507817905416,0.06450973107831344,0.0004257664890608766,0.0025228232657379655
imagenet_r,m3_fot,F1,full,2,1024,205,2,5,trajectory,0.7245175505413044,0.04697467620336362,0.0009665571235260004,50,5173,5077,0.041369272483291385,0.053098041699256956,0.00031391058579284607,0.002254168385233683
imagenet_r,m3_fot,F1,full,2,1024,205,2,6,trajectory,0.7210310531558443,0.051227527546878024,0.0009665571235260004,50,5173,5077,0.04537782135928035,0.057589892281742,0.00031391058579284607,0.002254168385233683
imagenet_r,m3_fot,F1,full,2,1024,205,3,0,trajectory,0.7007855036945614,0.09051210797935688,0.04922588328701866,50,5038,5212,0.08272915228860564,0.09877319112953468,0.043415486240112114,0.05556537365527113
imagenet_r,m3_fot,F1,full,2,1024,205,3,1,trajectory,0.7080427431489977,0.09507741167129813,0.028384279475982533,50,5038,5212,0.08711489981637603,0.10351255398437462,0.02397428172410793,0.03335136369781076
imagenet_r,m3_fot,F1,full,2,1024,205,3,2,trajectory,0.7081650294294445,0.08296943231441048,0.02203255260023819,50,5038,5212,0.07549670181011121,0.09092941227397405,0.01815876439658777,0.026472941010489352
imagenet_r,m3_fot,F1,full,2,1024,205,3,3,trajectory,0.7075478854946459,0.07284636760619294,0.021238586740770147,50,5038,5212,0.06581993106646969,0.08037239364333136,0.017437378177327236,0.025607650110940246
imagenet_r,m3_fot,F1,full,2,1024,205,3,4,trajectory,0.7057130962017905,0.06748709805478365,0.020444620881302104,50,5038,5212,0.06071282725584823,0.07476754879936916,0.016717447208843907,0.024740923032959553
imagenet_r,m3_fot,F1,full,2,1024,205,3,5,trajectory,0.7047200295406484,0.06629614926558158,0.02143707820563716,50,5038,5212,0.05957957497981887,0.0735203745440504,0.017617591407641842,0.025824104440362778
imagenet_r,m3_fot,F1,full,2,1024,205,3,6,trajectory,0.7045322014699031,0.0649067090115125,0.021238586740770147,50,5038,5212,0.058258252370668014,0.072064536153066,0.017437378177327236,0.025607650110940246
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,0,trajectory,0.6896215805842701,0.08163862472567666,0.03018775908315045,200,20505,20495,0.07792597504717853,0.08547038670220089,0.027888229387425023,0.032621730471179604
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,1,trajectory,0.7186654561966364,0.09051450865642527,0.014874420872957815,200,20505,20495,0.08662124722405122,0.09452431006181591,0.013262240042941794,0.016626196323257746
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,2,trajectory,0.7262348391573372,0.08441843452816386,0.008436966593513777,200,20505,20495,0.08064789294558986,0.08830728176998368,0.0072307633372740016,0.00978547532033398
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,3,trajectory,0.7272977255977231,0.08168739331870276,0.006730065837600586,200,20505,20495,0.07797371706347245,0.08552016771167271,0.0056569900654246585,0.00794635750664045
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,4,trajectory,0.7262480693782314,0.08115093879541575,0.006291148500365764,200,20505,20495,0.07744857674323613,0.08497255476620597,0.005255022796262813,0.007470751027615156
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,5,trajectory,0.7247749723245076,0.07807851743477201,0.006193611314313582,200,20505,20495,0.07444190026796679,0.08183528149846205,0.005165873484718986,0.007364885877614796
imagenet_r,m3_fot,F1,full,2,1024,205,pooled,6,trajectory,0.7234723999686139,0.07998049256278957,0.006291148500365764,200,20505,20495,0.07630298453346776,0.08377759453382877,0.005255022796262813,0.007470751027615156
imagenet_r,m3_fot,F1,full,2,1024,205,0,0,last_round,0.6828248098947911,0.07902973395931143,0.0297339593114241,50,5112,5138,0.07177832024859782,0.08676600394687575,0.025250166847205022,0.03476476773522844
imagenet_r,m3_fot,F1,full,2,1024,205,0,1,last_round,0.6499892482354009,0.06944444444444445,0.03051643192488263,50,5112,5138,0.06262545778616688,0.07675984301896188,0.025973214912521254,0.03560557424139043
imagenet_r,m3_fot,F1,full,2,1024,205,0,2,last_round,0.6615374962460199,0.06279342723004695,0.02269170579029734,50,5112,5138,0.056296676209760116,0.06979469241275471,0.01878596176854006,0.027154715089118067
imagenet_r,m3_fot,F1,full,2,1024,205,0,3,last_round,0.6618131815415654,0.056533646322378714,0.01584507042253521,50,5112,5138,0.05035958431317844,0.06321993097086476,0.012602663571155429,0.019655978394559636
imagenet_r,m3_fot,F1,full,2,1024,205,0,4,last_round,0.6731531331494873,0.06025039123630673,0.01564945226917058,50,5112,5138,0.053882303582393716,0.0671261137266627,0.012428029897975848,0.019439728172350106
imagenet_r,m3_fot,F1,full,2,1024,205,0,5,last_round,0.6773889248296318,0.07570422535211267,0.015062597809076683,50,5112,5138,0.068598908027882,0.08329839414185286,0.011904964373530058,0.018790156723973026
imagenet_r,m3_fot,F1,full,2,1024,205,0,6,last_round,0.6829204488206868,0.07746478873239436,0.023082942097026604,50,5112,5138,0.07028163131960759,0.08513468082690306,0.019142743921771423,0.027579810385847957
imagenet_r,m3_fot,F1,full,2,1024,205,1,0,last_round,0.6874421796413241,0.0750675414897723,0.033577769201080666,50,5182,5068,0.06803760648366668,0.08258042550162556,0.028840868252705085,0.03884898934198646
imagenet_r,m3_fot,F1,full,2,1024,205,1,1,last_round,0.638155207282083,0.07333076032419915,0.018911617136240833,50,5182,5068,0.06637861982445357,0.08076791431040908,0.015379355090775353,0.022999392813962582
imagenet_r,m3_fot,F1,full,2,1024,205,1,2,last_round,0.6414684261622026,0.07005017367811656,0.01756078734079506,50,5182,5068,0.06324817377325595,0.07734109810737351,0.014161806223932885,0.021517507389884713
imagenet_r,m3_fot,F1,full,2,1024,205,1,3,last_round,0.6568627301657702,0.06619065997684291,0.018139714395986106,50,5182,5068,0.05957096461907298,0.07330390235693021,0.014682974747073004,0.022153229796185895
imagenet_r,m3_fot,F1,full,2,1024,205,1,4,last_round,0.6661806608815593,0.08548822848321111,0.01563103049015824,50,5182,5068,0.07801394813926915,0.09343314582975806,0.01243216332773458,0.01939096721780648
imagenet_r,m3_fot,F1,full,2,1024,205,1,5,last_round,0.6791609411121066,0.09552296410652258,0.00887688151292937,50,5182,5068,0.08765295566781932,0.10385185112431579,0.006506114396293278,0.01182295045956394
imagenet_r,m3_fot,F1,full,2,1024,205,1,6,last_round,0.6691438352721779,0.09185642609031262,0.020262446931686606,50,5182,5068,0.08412766474045519,0.10004835294876899,0.016601836193653335,0.024476416676440564
imagenet_r,m3_fot,F1,full,2,1024,205,2,0,last_round,0.6875525757005368,0.08950318963850763,0.02397061666344481,50,5173,5077,0.08186055377939715,0.09761256479285002,0.01997608433432668,0.028513840894275763
imagenet_r,m3_fot,F1,full,2,1024,205,2,1,last_round,0.633338830226383,0.03537599072105162,0.0011598685482312006,50,5173,5077,0.030509044231160277,0.04077580441181849,0.0004257664890608766,0.0025228232657379655
imagenet_r,m3_fot,F1,full,2,1024,205,2,2,last_round,0.6294483854498066,0.038275662091629616,0.0009665571235260004,50,5173,5077,0.033212684017892666,0.04386770380603191,0.00031391058579284607,0.002254168385233683
imagenet_r,m3_fot,F1,full,2,1024,205,2,3,last_round,0.6418919755045449,0.03808235066692441,0.0011598685482312006,50,5173,5077,0.03303217851964516,0.04366183811884684,0.0004257664890608766,0.0025228232657379655
imagenet_r,m3_fot,F1,full,2,1024,205,2,4,last_round,0.6528340798941611,0.036535859269282815,0.0009665571235260004,50,5173,5077,0.031589465812863496,0.04201359089285485,0.00031391058579284607,0.002254168385233683
imagenet_r,m3_fot,F1,full,2,1024,205,2,5,last_round,0.6520776637501403,0.03363618789870482,0.0009665571235260004,50,5173,5077,0.028891163693885037,0.038916394010126545,0.00031391058579284607,0.002254168385233683
