dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m4_proto,F2,full,0,1024,205,0,0,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,0,1,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,0,2,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,0,3,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,0,4,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,0,5,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,0,6,trajectory,0.9717842064718262,0.6947963359968817,0.5474566361333073,50,5131,5072,0.6819906527060984,0.7073800729776257,0.5337162115523437,0.561143030514097
imagenet_r,m4_proto,F2,full,0,1024,205,1,0,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
imagenet_r,m4_proto,F2,full,0,1024,205,1,1,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
imagenet_r,m4_proto,F2,full,0,1024,205,1,2,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
imagenet_r,m4_proto,F2,full,0,1024,205,1,3,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
imagenet_r,m4_proto,F2,full,0,1024,205,1,4,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
imagenet_r,m4_proto,F2,full,0,1024,205,1,5,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
imagenet_r,m4_proto,F2,full,0,1024,205,1,6,trajectory,0.9825055074058847,0.765501918804282,0.6328014542516663,50,4951,5068,0.7534446511343047,0.7772453491553118,0.6191980768352647,0.6462480647565038
