dataset,method,family,view,seed,n_shadows,n_eval_shadows,task_k,elapsed,ablation,auc,tpr1,tpr01,n_targets,n_pos,n_neg,cp_lo,cp_hi,tpr01_cp_lo,tpr01_cp_hi
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,0,trajectory,0.6642193546947592,0.07561400116031715,0.03016824598723651,50,5171,5079,0.06855248085591209,0.08315885624580534,0.025676210090809438,0.03520037775924619
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,1,trajectory,0.723943933006058,0.12454070779346355,0.06652485012570103,50,5171,5079,0.11565795295237638,0.13384960432868465,0.05988222391497739,0.07366168043690766
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,2,trajectory,0.759447947340167,0.19261264745697157,0.08025526977373816,50,5171,5079,0.18194334149539015,0.2036300454957426,0.07299195498215628,0.08799641189583961
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,3,trajectory,0.7783962150678342,0.21059756333397794,0.12067298394894604,50,5171,5079,0.19955348436059936,0.22196924226895973,0.11191368939009845,0.1298628916736299
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,4,trajectory,0.7908766494225886,0.2396054921678592,0.1458131889383098,50,5171,5079,0.22802434966828566,0.2514812488410456,0.13629927794618912,0.1557287381623436
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,5,trajectory,0.798198291020442,0.2583639528137691,0.16650551150647844,50,5171,5079,0.24647543616271597,0.2705257865189706,0.15644543463252347,0.1769435029038382
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,0,6,trajectory,0.8032304822634325,0.2736414619996132,0.19067878553471282,50,5171,5079,0.2615238402224216,0.2860150712830617,0.18005185332516727,0.2016560155416427
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,1,0,trajectory,0.7030194396646651,0.08704214257581724,0.03977944072469476,50,5078,5172,0.0794293066680679,0.09513346666186832,0.0345715804485008,0.04552438891486299
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,1,1,trajectory,0.7744576714620824,0.15242221346987003,0.08704214257581724,50,5078,5172,0.14263974948629463,0.1626059897991622,0.0794293066680679,0.09513346666186832
imagenet_r,m5_hybrid_replay,F1,full,0,1024,205,1,2,trajectory,0.8198299490058719,0.23099645529736115,0.09570697124852304,50,5078,5172,0.21946293491542435,0.2428399763118102,0.08775112129770625,0.10413094988019443
