dataset,partition,method,seed,n_clients,task_k,task_T,elapsed,acc,acc_train
camelyon17,natural,m0_fedavg,0,5,0,0,0,0.8666666666666667,0.9312977099236641
camelyon17,natural,m0_fedavg,0,5,0,1,1,0.8833333333333333,0.9217557251908397
camelyon17,natural,m0_fedavg,0,5,0,2,2,0.8833333333333333,0.9122137404580153
camelyon17,natural,m0_fedavg,0,5,0,3,3,0.8833333333333333,0.9236641221374046
camelyon17,natural,m0_fedavg,0,5,0,4,4,0.9,0.9217557251908397
camelyon17,natural,m0_fedavg,0,5,1,1,0,0.9411764705882353,0.92
camelyon17,natural,m0_fedavg,0,5,1,2,1,0.8529411764705882,0.8733333333333333
camelyon17,natural,m0_fedavg,0,5,1,3,2,0.9411764705882353,0.9166666666666666
camelyon17,natural,m0_fedavg,0,5,1,4,3,0.9705882352941176,0.9166666666666666
camelyon17,natural,m0_fedavg,0,5,2,2,0,0.94,0.9489247311827957
camelyon17,natural,m0_fedavg,0,5,2,3,1,0.92,0.9543010752688172
camelyon17,natural,m0_fedavg,0,5,2,4,2,0.91,0.9422043010752689
camelyon17,natural,m0_fedavg,0,5,3,3,0,0.9154929577464789,0.9392070484581497
camelyon17,natural,m0_fedavg,0,5,3,4,1,0.9295774647887324,0.9233480176211454
camelyon17,natural,m0_fedavg,0,5,4,4,0,0.8963414634146342,0.9065637065637066
camelyon17,natural,m0_fedavg,1,5,0,0,0,0.8166666666666667,0.8396946564885496
camelyon17,natural,m0_fedavg,1,5,0,1,1,0.8833333333333333,0.9141221374045801
camelyon17,natural,m0_fedavg,1,5,0,2,2,0.8833333333333333,0.9198473282442748
camelyon17,natural,m0_fedavg,1,5,0,3,3,0.9,0.9179389312977099
camelyon17,natural,m0_fedavg,1,5,0,4,4,0.9,0.933206106870229
camelyon17,natural,m0_fedavg,1,5,1,1,0,0.9705882352941176,0.9233333333333333
camelyon17,natural,m0_fedavg,1,5,1,2,1,0.8823529411764706,0.8766666666666667
camelyon17,natural,m0_fedavg,1,5,1,3,2,0.8823529411764706,0.8866666666666667
camelyon17,natural,m0_fedavg,1,5,1,4,3,0.9705882352941176,0.9333333333333333
camelyon17,natural,m0_fedavg,1,5,2,2,0,0.94,0.9475806451612904
camelyon17,natural,m0_fedavg,1,5,2,3,1,0.94,0.9516129032258065
camelyon17,natural,m0_fedavg,1,5,2,4,2,0.91,0.9354838709677419
camelyon17,natural,m0_fedavg,1,5,3,3,0,0.9154929577464789,0.9409691629955947
camelyon17,natural,m0_fedavg,1,5,3,4,1,0.9295774647887324,0.918942731277533
camelyon17,natural,m0_fedavg,1,5,4,4,0,0.8658536585365854,0.8795366795366796
camelyon17,natural,m0_fedavg,2,5,0,0,0,0.8833333333333333,0.9427480916030534
camelyon17,natural,m0_fedavg,2,5,0,1,1,0.8833333333333333,0.9236641221374046
camelyon17,natural,m0_fedavg,2,5,0,2,2,0.8833333333333333,0.9217557251908397
camelyon17,natural,m0_fedavg,2,5,0,3,3,0.8666666666666667,0.9351145038167938
camelyon17,natural,m0_fedavg,2,5,0,4,4,0.8833333333333333,0.8931297709923665
camelyon17,natural,m0_fedavg,2,5,1,1,0,0.9705882352941176,0.9166666666666666
camelyon17,natural,m0_fedavg,2,5,1,2,1,0.9117647058823529,0.8833333333333333
camelyon17,natural,m0_fedavg,2,5,1,3,2,0.9705882352941176,0.9166666666666666
camelyon17,natural,m0_fedavg,2,5,1,4,3,0.9411764705882353,0.9166666666666666
camelyon17,natural,m0_fedavg,2,5,2,2,0,0.92,0.9543010752688172
camelyon17,natural,m0_fedavg,2,5,2,3,1,0.9,0.9381720430107527
camelyon17,natural,m0_fedavg,2,5,2,4,2,0.88,0.9126344086021505
camelyon17,natural,m0_fedavg,2,5,3,3,0,0.9225352112676056,0.9145374449339208
camelyon17,natural,m0_fedavg,2,5,3,4,1,0.8943661971830986,0.8801762114537445
camelyon17,natural,m0_fedavg,2,5,4,4,0,0.8597560975609756,0.8787644787644787
camelyon17,dirichlet,m0_fedavg,0,5,0,0,0,0.8833333333333333,0.9103053435114504
camelyon17,dirichlet,m0_fedavg,0,5,0,1,1,0.9,0.9293893129770993
camelyon17,dirichlet,m0_fedavg,0,5,0,2,2,0.9,0.9122137404580153
camelyon17,dirichlet,m0_fedavg,0,5,0,3,3,0.9,0.9236641221374046
camelyon17,dirichlet,m0_fedavg,0,5,0,4,4,0.9,0.9255725190839694
camelyon17,dirichlet,m0_fedavg,0,5,1,1,0,0.9705882352941176,0.9
camelyon17,dirichlet,m0_fedavg,0,5,1,2,1,0.8823529411764706,0.8866666666666667
camelyon17,dirichlet,m0_fedavg,0,5,1,3,2,0.9705882352941176,0.9133333333333333
camelyon17,dirichlet,m0_fedavg,0,5,1,4,3,0.9411764705882353,0.8966666666666666
camelyon17,dirichlet,m0_fedavg,0,5,2,2,0,0.92,0.9610215053763441
camelyon17,dirichlet,m0_fedavg,0,5,2,3,1,0.92,0.9489247311827957
camelyon17,dirichlet,m0_fedavg,0,5,2,4,2,0.92,0.9435483870967742
camelyon17,dirichlet,m0_fedavg,0,5,3,3,0,0.9084507042253521,0.93215859030837
camelyon17,dirichlet,m0_fedavg,0,5,3,4,1,0.9154929577464789,0.9145374449339208
camelyon17,dirichlet,m0_fedavg,0,5,4,4,0,0.9512195121951219,0.962934362934363
camelyon17,dirichlet,m0_fedavg,1,5,0,0,0,0.9166666666666666,0.9122137404580153
camelyon17,dirichlet,m0_fedavg,1,5,0,1,1,0.9,0.9217557251908397
camelyon17,dirichlet,m0_fedavg,1,5,0,2,2,0.9,0.9274809160305344
camelyon17,dirichlet,m0_fedavg,1,5,0,3,3,0.9166666666666666,0.9370229007633588
camelyon17,dirichlet,m0_fedavg,1,5,0,4,4,0.9,0.9312977099236641
camelyon17,dirichlet,m0_fedavg,1,5,1,1,0,0.9411764705882353,0.8966666666666666
camelyon17,dirichlet,m0_fedavg,1,5,1,2,1,0.9411764705882353,0.89
camelyon17,dirichlet,m0_fedavg,1,5,1,3,2,0.9705882352941176,0.9166666666666666
camelyon17,dirichlet,m0_fedavg,1,5,1,4,3,0.9705882352941176,0.92
camelyon17,dirichlet,m0_fedavg,1,5,2,2,0,0.92,0.9556451612903226
camelyon17,dirichlet,m0_fedavg,1,5,2,3,1,0.92,0.9475806451612904
camelyon17,dirichlet,m0_fedavg,1,5,2,4,2,0.91,0.9395161290322581
camelyon17,dirichlet,m0_fedavg,1,5,3,3,0,0.9366197183098591,0.9436123348017621
camelyon17,dirichlet,m0_fedavg,1,5,3,4,1,0.9154929577464789,0.9303964757709251
camelyon17,dirichlet,m0_fedavg,1,5,4,4,0,0.9512195121951219,0.9613899613899614
camelyon17,dirichlet,m0_fedavg,2,5,0,0,0,0.9166666666666666,0.9236641221374046
camelyon17,dirichlet,m0_fedavg,2,5,0,1,1,0.8833333333333333,0.9198473282442748
camelyon17,dirichlet,m0_fedavg,2,5,0,2,2,0.9,0.9083969465648855
camelyon17,dirichlet,m0_fedavg,2,5,0,3,3,0.9,0.9236641221374046
camelyon17,dirichlet,m0_fedavg,2,5,0,4,4,0.8833333333333333,0.916030534351145
camelyon17,dirichlet,m0_fedavg,2,5,1,1,0,0.9411764705882353,0.9266666666666666
camelyon17,dirichlet,m0_fedavg,2,5,1,2,1,0.8529411764705882,0.86
camelyon17,dirichlet,m0_fedavg,2,5,1,3,2,0.9411764705882353,0.9
camelyon17,dirichlet,m0_fedavg,2,5,1,4,3,0.9117647058823529,0.9
camelyon17,dirichlet,m0_fedavg,2,5,2,2,0,0.93,0.9529569892473119
camelyon17,dirichlet,m0_fedavg,2,5,2,3,1,0.93,0.9596774193548387
camelyon17,dirichlet,m0_fedavg,2,5,2,4,2,0.88,0.9126344086021505
camelyon17,dirichlet,m0_fedavg,2,5,3,3,0,0.9154929577464789,0.9409691629955947
camelyon17,dirichlet,m0_fedavg,2,5,3,4,1,0.8943661971830986,0.879295154185022
camelyon17,dirichlet,m0_fedavg,2,5,4,4,0,0.8719512195121951,0.8795366795366796
