dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m1_glfc,0,0,0,0,0.954,0.948
cifar100,m1_glfc,0,0,1,1,0.904,0.894
cifar100,m1_glfc,0,0,2,2,0.879,0.876
cifar100,m1_glfc,0,0,3,3,0.891,0.888
cifar100,m1_glfc,0,0,4,4,0.869,0.8685
cifar100,m1_glfc,0,0,5,5,0.877,0.86975
cifar100,m1_glfc,0,0,6,6,0.86,0.86
cifar100,m1_glfc,0,0,7,7,0.851,0.8565
cifar100,m1_glfc,0,0,8,8,0.838,0.83375
cifar100,m1_glfc,0,0,9,9,0.826,0.8245
cifar100,m1_glfc,0,1,1,0,0.898,0.9015
cifar100,m1_glfc,0,1,2,1,0.894,0.89325
cifar100,m1_glfc,0,1,3,2,0.907,0.90525
cifar100,m1_glfc,0,1,4,3,0.907,0.90575
cifar100,m1_glfc,0,1,5,4,0.908,0.908
cifar100,m1_glfc,0,1,6,5,0.888,0.89
cifar100,m1_glfc,0,1,7,6,0.875,0.87825
cifar100,m1_glfc,0,1,8,7,0.851,0.86125
cifar100,m1_glfc,0,1,9,8,0.851,0.85625
cifar100,m1_glfc,0,2,2,0,0.891,0.87825
cifar100,m1_glfc,0,2,3,1,0.899,0.88475
cifar100,m1_glfc,0,2,4,2,0.91,0.8995
cifar100,m1_glfc,0,2,5,3,0.915,0.9055
cifar100,m1_glfc,0,2,6,4,0.897,0.88775
cifar100,m1_glfc,0,2,7,5,0.901,0.888
cifar100,m1_glfc,0,2,8,6,0.899,0.8895
cifar100,m1_glfc,0,2,9,7,0.891,0.88575
cifar100,m1_glfc,0,3,3,0,0.813,0.82125
cifar100,m1_glfc,0,3,4,1,0.828,0.8545
cifar100,m1_glfc,0,3,5,2,0.849,0.8715
cifar100,m1_glfc,0,3,6,3,0.863,0.88125
cifar100,m1_glfc,0,3,7,4,0.873,0.888
cifar100,m1_glfc,0,3,8,5,0.879,0.89025
cifar100,m1_glfc,0,3,9,6,0.876,0.88975
cifar100,m1_glfc,0,4,4,0,0.847,0.867
cifar100,m1_glfc,0,4,5,1,0.855,0.86575
cifar100,m1_glfc,0,4,6,2,0.859,0.86825
cifar100,m1_glfc,0,4,7,3,0.87,0.8805
cifar100,m1_glfc,0,4,8,4,0.879,0.88475
cifar100,m1_glfc,0,4,9,5,0.879,0.88975
cifar100,m1_glfc,0,5,5,0,0.778,0.7815
cifar100,m1_glfc,0,5,6,1,0.784,0.78375
cifar100,m1_glfc,0,5,7,2,0.809,0.80975
cifar100,m1_glfc,0,5,8,3,0.835,0.83725
cifar100,m1_glfc,0,5,9,4,0.84,0.84475
cifar100,m1_glfc,0,6,6,0,0.733,0.7435
cifar100,m1_glfc,0,6,7,1,0.757,0.76625
cifar100,m1_glfc,0,6,8,2,0.778,0.798
cifar100,m1_glfc,0,6,9,3,0.789,0.81225
cifar100,m1_glfc,0,7,7,0,0.841,0.827
cifar100,m1_glfc,0,7,8,1,0.829,0.827
cifar100,m1_glfc,0,7,9,2,0.844,0.84325
cifar100,m1_glfc,0,8,8,0,0.785,0.78175
cifar100,m1_glfc,0,8,9,1,0.797,0.80775
cifar100,m1_glfc,0,9,9,0,0.839,0.8595
cifar100,m1_glfc,1,0,0,0,0.968,0.965
cifar100,m1_glfc,1,0,1,1,0.941,0.939
cifar100,m1_glfc,1,0,2,2,0.937,0.9295
cifar100,m1_glfc,1,0,3,3,0.938,0.932
cifar100,m1_glfc,1,0,4,4,0.944,0.9355
cifar100,m1_glfc,1,0,5,5,0.927,0.92475
cifar100,m1_glfc,1,0,6,6,0.921,0.91625
cifar100,m1_glfc,1,0,7,7,0.909,0.90725
cifar100,m1_glfc,1,0,8,8,0.889,0.89875
cifar100,m1_glfc,1,0,9,9,0.889,0.898
cifar100,m1_glfc,1,1,1,0,0.897,0.90825
cifar100,m1_glfc,1,1,2,1,0.893,0.89075
cifar100,m1_glfc,1,1,3,2,0.889,0.88975
cifar100,m1_glfc,1,1,4,3,0.903,0.902
cifar100,m1_glfc,1,1,5,4,0.893,0.89875
cifar100,m1_glfc,1,1,6,5,0.896,0.90175
cifar100,m1_glfc,1,1,7,6,0.893,0.90475
cifar100,m1_glfc,1,1,8,7,0.898,0.904
cifar100,m1_glfc,1,1,9,8,0.89,0.89625
cifar100,m1_glfc,1,2,2,0,0.822,0.83725
cifar100,m1_glfc,1,2,3,1,0.816,0.82375
cifar100,m1_glfc,1,2,4,2,0.809,0.8235
cifar100,m1_glfc,1,2,5,3,0.814,0.82425
cifar100,m1_glfc,1,2,6,4,0.824,0.8385
cifar100,m1_glfc,1,2,7,5,0.818,0.831
cifar100,m1_glfc,1,2,8,6,0.817,0.82625
cifar100,m1_glfc,1,2,9,7,0.801,0.81825
cifar100,m1_glfc,1,3,3,0,0.874,0.8695
cifar100,m1_glfc,1,3,4,1,0.878,0.87325
cifar100,m1_glfc,1,3,5,2,0.875,0.879
cifar100,m1_glfc,1,3,6,3,0.878,0.8795
cifar100,m1_glfc,1,3,7,4,0.88,0.88025
cifar100,m1_glfc,1,3,8,5,0.89,0.888
cifar100,m1_glfc,1,3,9,6,0.882,0.8785
cifar100,m1_glfc,1,4,4,0,0.858,0.84775
cifar100,m1_glfc,1,4,5,1,0.87,0.8675
cifar100,m1_glfc,1,4,6,2,0.856,0.8505
cifar100,m1_glfc,1,4,7,3,0.872,0.85975
cifar100,m1_glfc,1,4,8,4,0.874,0.858
cifar100,m1_glfc,1,4,9,5,0.869,0.85925
cifar100,m1_glfc,1,5,5,0,0.8,0.79475
cifar100,m1_glfc,1,5,6,1,0.803,0.80625
cifar100,m1_glfc,1,5,7,2,0.805,0.804
cifar100,m1_glfc,1,5,8,3,0.798,0.80075
cifar100,m1_glfc,1,5,9,4,0.801,0.80275
cifar100,m1_glfc,1,6,6,0,0.829,0.81775
cifar100,m1_glfc,1,6,7,1,0.849,0.83125
cifar100,m1_glfc,1,6,8,2,0.852,0.84125
cifar100,m1_glfc,1,6,9,3,0.859,0.85275
cifar100,m1_glfc,1,7,7,0,0.832,0.83575
cifar100,m1_glfc,1,7,8,1,0.849,0.852
cifar100,m1_glfc,1,7,9,2,0.856,0.862
cifar100,m1_glfc,1,8,8,0,0.75,0.7825
cifar100,m1_glfc,1,8,9,1,0.803,0.81475
cifar100,m1_glfc,1,9,9,0,0.766,0.77825
cifar100,m1_glfc,2,0,0,0,0.952,0.95
cifar100,m1_glfc,2,0,1,1,0.914,0.91025
cifar100,m1_glfc,2,0,2,2,0.904,0.90925
cifar100,m1_glfc,2,0,3,3,0.899,0.90075
cifar100,m1_glfc,2,0,4,4,0.891,0.89025
cifar100,m1_glfc,2,0,5,5,0.888,0.887
cifar100,m1_glfc,2,0,6,6,0.889,0.89
cifar100,m1_glfc,2,0,7,7,0.891,0.888
cifar100,m1_glfc,2,0,8,8,0.894,0.8925
cifar100,m1_glfc,2,0,9,9,0.872,0.8805
cifar100,m1_glfc,2,1,1,0,0.848,0.85225
cifar100,m1_glfc,2,1,2,1,0.871,0.868
cifar100,m1_glfc,2,1,3,2,0.886,0.888
cifar100,m1_glfc,2,1,4,3,0.879,0.891
cifar100,m1_glfc,2,1,5,4,0.886,0.8965
cifar100,m1_glfc,2,1,6,5,0.888,0.898
cifar100,m1_glfc,2,1,7,6,0.892,0.908
cifar100,m1_glfc,2,1,8,7,0.888,0.89825
cifar100,m1_glfc,2,1,9,8,0.887,0.898
cifar100,m1_glfc,2,2,2,0,0.78,0.774
