dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m2_target,0,0,0,0,0.954,0.948
cifar100,m2_target,0,0,1,1,0.902,0.89575
cifar100,m2_target,0,0,2,2,0.871,0.862
cifar100,m2_target,0,0,3,3,0.877,0.87175
cifar100,m2_target,0,0,4,4,0.854,0.8455
cifar100,m2_target,0,0,5,5,0.869,0.85975
cifar100,m2_target,0,0,6,6,0.851,0.8385
cifar100,m2_target,0,0,7,7,0.808,0.8135
cifar100,m2_target,0,0,8,8,0.79,0.788
cifar100,m2_target,0,0,9,9,0.827,0.81
cifar100,m2_target,0,1,1,0,0.904,0.912
cifar100,m2_target,0,1,2,1,0.897,0.91425
cifar100,m2_target,0,1,3,2,0.903,0.90475
cifar100,m2_target,0,1,4,3,0.885,0.89
cifar100,m2_target,0,1,5,4,0.885,0.88725
cifar100,m2_target,0,1,6,5,0.834,0.84325
cifar100,m2_target,0,1,7,6,0.795,0.803
cifar100,m2_target,0,1,8,7,0.808,0.803
cifar100,m2_target,0,1,9,8,0.807,0.813
cifar100,m2_target,0,2,2,0,0.907,0.9045
cifar100,m2_target,0,2,3,1,0.924,0.9125
cifar100,m2_target,0,2,4,2,0.908,0.89425
cifar100,m2_target,0,2,5,3,0.916,0.90575
cifar100,m2_target,0,2,6,4,0.89,0.8635
cifar100,m2_target,0,2,7,5,0.909,0.89275
cifar100,m2_target,0,2,8,6,0.877,0.85825
cifar100,m2_target,0,2,9,7,0.867,0.85275
cifar100,m2_target,0,3,3,0,0.861,0.868
cifar100,m2_target,0,3,4,1,0.888,0.91025
cifar100,m2_target,0,3,5,2,0.883,0.904
cifar100,m2_target,0,3,6,3,0.879,0.89625
cifar100,m2_target,0,3,7,4,0.876,0.89175
cifar100,m2_target,0,3,8,5,0.878,0.89275
cifar100,m2_target,0,3,9,6,0.863,0.88775
cifar100,m2_target,0,4,4,0,0.888,0.9025
cifar100,m2_target,0,4,5,1,0.86,0.871
cifar100,m2_target,0,4,6,2,0.861,0.8825
cifar100,m2_target,0,4,7,3,0.883,0.89175
cifar100,m2_target,0,4,8,4,0.868,0.87675
cifar100,m2_target,0,4,9,5,0.858,0.867
cifar100,m2_target,0,5,5,0,0.839,0.84275
cifar100,m2_target,0,5,6,1,0.866,0.85425
cifar100,m2_target,0,5,7,2,0.862,0.86375
cifar100,m2_target,0,5,8,3,0.858,0.868
cifar100,m2_target,0,5,9,4,0.848,0.85425
cifar100,m2_target,0,6,6,0,0.783,0.7925
cifar100,m2_target,0,6,7,1,0.767,0.788
cifar100,m2_target,0,6,8,2,0.745,0.77775
cifar100,m2_target,0,6,9,3,0.769,0.8045
cifar100,m2_target,0,7,7,0,0.863,0.87
cifar100,m2_target,0,7,8,1,0.869,0.863
cifar100,m2_target,0,7,9,2,0.846,0.83925
cifar100,m2_target,0,8,8,0,0.809,0.81725
cifar100,m2_target,0,8,9,1,0.792,0.8015
cifar100,m2_target,0,9,9,0,0.856,0.884
cifar100,m2_target,1,0,0,0,0.968,0.965
cifar100,m2_target,1,0,1,1,0.953,0.94125
cifar100,m2_target,1,0,2,2,0.944,0.93425
cifar100,m2_target,1,0,3,3,0.948,0.93875
cifar100,m2_target,1,0,4,4,0.946,0.933
cifar100,m2_target,1,0,5,5,0.902,0.89825
cifar100,m2_target,1,0,6,6,0.887,0.881
cifar100,m2_target,1,0,7,7,0.89,0.8825
cifar100,m2_target,1,0,8,8,0.882,0.88975
cifar100,m2_target,1,0,9,9,0.879,0.88175
cifar100,m2_target,1,1,1,0,0.912,0.91475
cifar100,m2_target,1,1,2,1,0.911,0.90525
cifar100,m2_target,1,1,3,2,0.893,0.894
cifar100,m2_target,1,1,4,3,0.89,0.9
cifar100,m2_target,1,1,5,4,0.891,0.8865
cifar100,m2_target,1,1,6,5,0.875,0.87375
cifar100,m2_target,1,1,7,6,0.889,0.8895
cifar100,m2_target,1,1,8,7,0.899,0.891
cifar100,m2_target,1,1,9,8,0.879,0.86675
cifar100,m2_target,1,2,2,0,0.839,0.86625
cifar100,m2_target,1,2,3,1,0.823,0.8505
cifar100,m2_target,1,2,4,2,0.809,0.826
cifar100,m2_target,1,2,5,3,0.82,0.83275
cifar100,m2_target,1,2,6,4,0.824,0.82875
cifar100,m2_target,1,2,7,5,0.802,0.816
cifar100,m2_target,1,2,8,6,0.793,0.806
cifar100,m2_target,1,2,9,7,0.751,0.77375
cifar100,m2_target,1,3,3,0,0.878,0.88125
cifar100,m2_target,1,3,4,1,0.87,0.8815
cifar100,m2_target,1,3,5,2,0.863,0.8725
cifar100,m2_target,1,3,6,3,0.868,0.8825
cifar100,m2_target,1,3,7,4,0.868,0.87225
cifar100,m2_target,1,3,8,5,0.862,0.865
cifar100,m2_target,1,3,9,6,0.858,0.86875
cifar100,m2_target,1,4,4,0,0.89,0.881
cifar100,m2_target,1,4,5,1,0.89,0.88925
cifar100,m2_target,1,4,6,2,0.876,0.878
cifar100,m2_target,1,4,7,3,0.842,0.8455
cifar100,m2_target,1,4,8,4,0.855,0.8575
cifar100,m2_target,1,4,9,5,0.833,0.834
cifar100,m2_target,1,5,5,0,0.862,0.85175
cifar100,m2_target,1,5,6,1,0.851,0.844
cifar100,m2_target,1,5,7,2,0.855,0.8495
cifar100,m2_target,1,5,8,3,0.821,0.818
cifar100,m2_target,1,5,9,4,0.813,0.8125
cifar100,m2_target,1,6,6,0,0.843,0.838
cifar100,m2_target,1,6,7,1,0.863,0.845
cifar100,m2_target,1,6,8,2,0.868,0.8565
cifar100,m2_target,1,6,9,3,0.845,0.84275
cifar100,m2_target,1,7,7,0,0.858,0.858
cifar100,m2_target,1,7,8,1,0.846,0.86075
cifar100,m2_target,1,7,9,2,0.855,0.86725
cifar100,m2_target,1,8,8,0,0.765,0.79475
cifar100,m2_target,1,8,9,1,0.831,0.83775
cifar100,m2_target,1,9,9,0,0.811,0.82175
cifar100,m2_target,2,0,0,0,0.952,0.95
cifar100,m2_target,2,0,1,1,0.937,0.9405
cifar100,m2_target,2,0,2,2,0.934,0.93825
cifar100,m2_target,2,0,3,3,0.905,0.9105
cifar100,m2_target,2,0,4,4,0.879,0.88925
cifar100,m2_target,2,0,5,5,0.89,0.894
cifar100,m2_target,2,0,6,6,0.888,0.888
cifar100,m2_target,2,0,7,7,0.887,0.8885
cifar100,m2_target,2,0,8,8,0.885,0.8875
cifar100,m2_target,2,0,9,9,0.841,0.83925
cifar100,m2_target,2,1,1,0,0.889,0.89425
cifar100,m2_target,2,1,2,1,0.899,0.90175
cifar100,m2_target,2,1,3,2,0.879,0.893
cifar100,m2_target,2,1,4,3,0.897,0.90625
cifar100,m2_target,2,1,5,4,0.889,0.905
cifar100,m2_target,2,1,6,5,0.876,0.89175
cifar100,m2_target,2,1,7,6,0.89,0.8945
cifar100,m2_target,2,1,8,7,0.877,0.89025
cifar100,m2_target,2,1,9,8,0.875,0.886
cifar100,m2_target,2,2,2,0,0.83,0.82875
cifar100,m2_target,2,2,3,1,0.869,0.886
cifar100,m2_target,2,2,4,2,0.798,0.8115
cifar100,m2_target,2,2,5,3,0.809,0.82775
cifar100,m2_target,2,2,6,4,0.794,0.81
cifar100,m2_target,2,2,7,5,0.811,0.8255
cifar100,m2_target,2,2,8,6,0.791,0.80625
cifar100,m2_target,2,2,9,7,0.786,0.79575
cifar100,m2_target,2,3,3,0,0.858,0.85525
cifar100,m2_target,2,3,4,1,0.864,0.849
cifar100,m2_target,2,3,5,2,0.849,0.84775
cifar100,m2_target,2,3,6,3,0.82,0.80875
cifar100,m2_target,2,3,7,4,0.803,0.8015
cifar100,m2_target,2,3,8,5,0.817,0.81025
cifar100,m2_target,2,3,9,6,0.795,0.80125
cifar100,m2_target,2,4,4,0,0.889,0.8875
cifar100,m2_target,2,4,5,1,0.789,0.7925
cifar100,m2_target,2,4,6,2,0.825,0.81525
cifar100,m2_target,2,4,7,3,0.832,0.817
cifar100,m2_target,2,4,8,4,0.843,0.8295
cifar100,m2_target,2,4,9,5,0.844,0.838
cifar100,m2_target,2,5,5,0,0.862,0.88575
cifar100,m2_target,2,5,6,1,0.836,0.86175
cifar100,m2_target,2,5,7,2,0.837,0.8535
cifar100,m2_target,2,5,8,3,0.823,0.83875
cifar100,m2_target,2,5,9,4,0.831,0.84
cifar100,m2_target,2,6,6,0,0.864,0.87175
cifar100,m2_target,2,6,7,1,0.874,0.87825
