dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m3_fot,0,0,0,0,0.954,0.948
cifar100,m3_fot,0,0,1,1,0.828,0.84
cifar100,m3_fot,0,0,2,2,0.717,0.72925
cifar100,m3_fot,0,0,3,3,0.709,0.716
cifar100,m3_fot,0,0,4,4,0.662,0.65325
cifar100,m3_fot,0,0,5,5,0.704,0.70375
cifar100,m3_fot,0,0,6,6,0.69,0.682
cifar100,m3_fot,0,0,7,7,0.647,0.63275
cifar100,m3_fot,0,0,8,8,0.604,0.59725
cifar100,m3_fot,0,0,9,9,0.633,0.62675
cifar100,m3_fot,0,1,1,0,0.883,0.8955
cifar100,m3_fot,0,1,2,1,0.857,0.85725
cifar100,m3_fot,0,1,3,2,0.786,0.79175
cifar100,m3_fot,0,1,4,3,0.799,0.81075
cifar100,m3_fot,0,1,5,4,0.794,0.79675
cifar100,m3_fot,0,1,6,5,0.757,0.7665
cifar100,m3_fot,0,1,7,6,0.713,0.72375
cifar100,m3_fot,0,1,8,7,0.685,0.70125
cifar100,m3_fot,0,1,9,8,0.695,0.7075
cifar100,m3_fot,0,2,2,0,0.929,0.912
cifar100,m3_fot,0,2,3,1,0.759,0.75625
cifar100,m3_fot,0,2,4,2,0.796,0.79325
cifar100,m3_fot,0,2,5,3,0.799,0.80025
cifar100,m3_fot,0,2,6,4,0.789,0.7835
cifar100,m3_fot,0,2,7,5,0.806,0.80825
cifar100,m3_fot,0,2,8,6,0.784,0.781
cifar100,m3_fot,0,2,9,7,0.78,0.7815
cifar100,m3_fot,0,3,3,0,0.903,0.92825
cifar100,m3_fot,0,3,4,1,0.754,0.7685
cifar100,m3_fot,0,3,5,2,0.732,0.75025
cifar100,m3_fot,0,3,6,3,0.747,0.75575
cifar100,m3_fot,0,3,7,4,0.749,0.76
cifar100,m3_fot,0,3,8,5,0.765,0.77325
cifar100,m3_fot,0,3,9,6,0.778,0.78425
cifar100,m3_fot,0,4,4,0,0.931,0.93575
cifar100,m3_fot,0,4,5,1,0.719,0.73325
cifar100,m3_fot,0,4,6,2,0.741,0.7465
cifar100,m3_fot,0,4,7,3,0.734,0.747
cifar100,m3_fot,0,4,8,4,0.714,0.71875
cifar100,m3_fot,0,4,9,5,0.712,0.72125
cifar100,m3_fot,0,5,5,0,0.91,0.9085
cifar100,m3_fot,0,5,6,1,0.8,0.80225
cifar100,m3_fot,0,5,7,2,0.831,0.81725
cifar100,m3_fot,0,5,8,3,0.839,0.8305
cifar100,m3_fot,0,5,9,4,0.862,0.8485
cifar100,m3_fot,0,6,6,0,0.815,0.846
cifar100,m3_fot,0,6,7,1,0.672,0.681
cifar100,m3_fot,0,6,8,2,0.644,0.66125
cifar100,m3_fot,0,6,9,3,0.672,0.68975
cifar100,m3_fot,0,7,7,0,0.933,0.92475
cifar100,m3_fot,0,7,8,1,0.812,0.80725
cifar100,m3_fot,0,7,9,2,0.803,0.80325
cifar100,m3_fot,0,8,8,0,0.843,0.852
cifar100,m3_fot,0,8,9,1,0.744,0.75425
cifar100,m3_fot,0,9,9,0,0.923,0.9435
cifar100,m3_fot,1,0,0,0,0.968,0.965
cifar100,m3_fot,1,0,1,1,0.848,0.85625
cifar100,m3_fot,1,0,2,2,0.821,0.835
cifar100,m3_fot,1,0,3,3,0.853,0.85
cifar100,m3_fot,1,0,4,4,0.86,0.855
cifar100,m3_fot,1,0,5,5,0.757,0.75
cifar100,m3_fot,1,0,6,6,0.762,0.759
cifar100,m3_fot,1,0,7,7,0.764,0.7605
