dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cifar100,m4_proto,0,0,0,0,0.938,0.92575
cifar100,m4_proto,0,0,1,1,0.874,0.85975
cifar100,m4_proto,0,0,2,2,0.857,0.83725
cifar100,m4_proto,0,0,3,3,0.845,0.8305
cifar100,m4_proto,0,0,4,4,0.82,0.80025
cifar100,m4_proto,0,0,5,5,0.816,0.789
cifar100,m4_proto,0,0,6,6,0.785,0.7685
cifar100,m4_proto,0,0,7,7,0.757,0.743
cifar100,m4_proto,0,0,8,8,0.743,0.7255
cifar100,m4_proto,0,0,9,9,0.739,0.72325
cifar100,m4_proto,0,1,1,0,0.886,0.897
cifar100,m4_proto,0,1,2,1,0.868,0.88125
cifar100,m4_proto,0,1,3,2,0.858,0.8725
cifar100,m4_proto,0,1,4,3,0.846,0.86
cifar100,m4_proto,0,1,5,4,0.837,0.85075
cifar100,m4_proto,0,1,6,5,0.813,0.82675
cifar100,m4_proto,0,1,7,6,0.786,0.7965
cifar100,m4_proto,0,1,8,7,0.776,0.78575
cifar100,m4_proto,0,1,9,8,0.762,0.7715
cifar100,m4_proto,0,2,2,0,0.86,0.85325
cifar100,m4_proto,0,2,3,1,0.848,0.8425
cifar100,m4_proto,0,2,4,2,0.833,0.8345
cifar100,m4_proto,0,2,5,3,0.829,0.82925
cifar100,m4_proto,0,2,6,4,0.801,0.79825
cifar100,m4_proto,0,2,7,5,0.799,0.79625
cifar100,m4_proto,0,2,8,6,0.783,0.77925
cifar100,m4_proto,0,2,9,7,0.774,0.772
cifar100,m4_proto,0,3,3,0,0.823,0.84675
cifar100,m4_proto,0,3,4,1,0.819,0.84025
cifar100,m4_proto,0,3,5,2,0.81,0.83125
cifar100,m4_proto,0,3,6,3,0.803,0.819
cifar100,m4_proto,0,3,7,4,0.798,0.815
cifar100,m4_proto,0,3,8,5,0.795,0.8095
cifar100,m4_proto,0,3,9,6,0.791,0.80525
cifar100,m4_proto,0,4,4,0,0.823,0.8445
cifar100,m4_proto,0,4,5,1,0.798,0.81425
cifar100,m4_proto,0,4,6,2,0.779,0.79925
cifar100,m4_proto,0,4,7,3,0.77,0.79275
cifar100,m4_proto,0,4,8,4,0.763,0.78925
cifar100,m4_proto,0,4,9,5,0.761,0.786
cifar100,m4_proto,0,5,5,0,0.821,0.8185
cifar100,m4_proto,0,5,6,1,0.797,0.79025
cifar100,m4_proto,0,5,7,2,0.791,0.78475
cifar100,m4_proto,0,5,8,3,0.788,0.7825
cifar100,m4_proto,0,5,9,4,0.786,0.78025
cifar100,m4_proto,0,6,6,0,0.777,0.78225
cifar100,m4_proto,0,6,7,1,0.765,0.77425
cifar100,m4_proto,0,6,8,2,0.758,0.7695
cifar100,m4_proto,0,6,9,3,0.756,0.7685
cifar100,m4_proto,0,7,7,0,0.806,0.8115
cifar100,m4_proto,0,7,8,1,0.799,0.80575
cifar100,m4_proto,0,7,9,2,0.794,0.7995
cifar100,m4_proto,0,8,8,0,0.709,0.72525
cifar100,m4_proto,0,8,9,1,0.704,0.7235
cifar100,m4_proto,0,9,9,0,0.829,0.85825
cifar100,m4_proto,1,0,0,0,0.947,0.93925
cifar100,m4_proto,1,0,1,1,0.93,0.912
cifar100,m4_proto,1,0,2,2,0.889,0.87625
cifar100,m4_proto,1,0,3,3,0.88,0.87
cifar100,m4_proto,1,0,4,4,0.875,0.86375
cifar100,m4_proto,1,0,5,5,0.834,0.8285
cifar100,m4_proto,1,0,6,6,0.827,0.82125
cifar100,m4_proto,1,0,7,7,0.821,0.81675
cifar100,m4_proto,1,0,8,8,0.791,0.79975
cifar100,m4_proto,1,0,9,9,0.783,0.79675
cifar100,m4_proto,1,1,1,0,0.878,0.8665
cifar100,m4_proto,1,1,2,1,0.858,0.838
cifar100,m4_proto,1,1,3,2,0.843,0.82575
cifar100,m4_proto,1,1,4,3,0.841,0.82075
cifar100,m4_proto,1,1,5,4,0.828,0.79975
cifar100,m4_proto,1,1,6,5,0.813,0.7875
cifar100,m4_proto,1,1,7,6,0.803,0.78425
cifar100,m4_proto,1,1,8,7,0.798,0.7785
cifar100,m4_proto,1,1,9,8,0.78,0.7625
cifar100,m4_proto,1,2,2,0,0.779,0.80925
cifar100,m4_proto,1,2,3,1,0.753,0.77775
cifar100,m4_proto,1,2,4,2,0.734,0.75825
cifar100,m4_proto,1,2,5,3,0.728,0.74975
cifar100,m4_proto,1,2,6,4,0.718,0.74075
cifar100,m4_proto,1,2,7,5,0.699,0.72875
cifar100,m4_proto,1,2,8,6,0.695,0.722
cifar100,m4_proto,1,2,9,7,0.682,0.7135
cifar100,m4_proto,1,3,3,0,0.821,0.8435
cifar100,m4_proto,1,3,4,1,0.807,0.82625
cifar100,m4_proto,1,3,5,2,0.794,0.815
cifar100,m4_proto,1,3,6,3,0.79,0.81
cifar100,m4_proto,1,3,7,4,0.787,0.8055
cifar100,m4_proto,1,3,8,5,0.784,0.799
cifar100,m4_proto,1,3,9,6,0.782,0.79575
cifar100,m4_proto,1,4,4,0,0.853,0.844
cifar100,m4_proto,1,4,5,1,0.842,0.837
cifar100,m4_proto,1,4,6,2,0.828,0.82325
cifar100,m4_proto,1,4,7,3,0.807,0.80925
cifar100,m4_proto,1,4,8,4,0.8,0.8
cifar100,m4_proto,1,4,9,5,0.787,0.78225
cifar100,m4_proto,1,5,5,0,0.83,0.8225
cifar100,m4_proto,1,5,6,1,0.809,0.801
cifar100,m4_proto,1,5,7,2,0.805,0.795
cifar100,m4_proto,1,5,8,3,0.786,0.78125
cifar100,m4_proto,1,5,9,4,0.763,0.7625
cifar100,m4_proto,1,6,6,0,0.8,0.7965
cifar100,m4_proto,1,6,7,1,0.791,0.78975
cifar100,m4_proto,1,6,8,2,0.786,0.7865
cifar100,m4_proto,1,6,9,3,0.78,0.78025
cifar100,m4_proto,1,7,7,0,0.83,0.843
cifar100,m4_proto,1,7,8,1,0.82,0.832
cifar100,m4_proto,1,7,9,2,0.813,0.827
cifar100,m4_proto,1,8,8,0,0.749,0.764
cifar100,m4_proto,1,8,9,1,0.735,0.756
cifar100,m4_proto,1,9,9,0,0.791,0.8115
cifar100,m4_proto,2,0,0,0,0.938,0.93625
cifar100,m4_proto,2,0,1,1,0.899,0.896
cifar100,m4_proto,2,0,2,2,0.876,0.87625
cifar100,m4_proto,2,0,3,3,0.83,0.82875
cifar100,m4_proto,2,0,4,4,0.817,0.8115
cifar100,m4_proto,2,0,5,5,0.809,0.80375
cifar100,m4_proto,2,0,6,6,0.805,0.798
cifar100,m4_proto,2,0,7,7,0.8,0.79025
cifar100,m4_proto,2,0,8,8,0.795,0.78575
cifar100,m4_proto,2,0,9,9,0.775,0.7695
cifar100,m4_proto,2,1,1,0,0.894,0.89875
cifar100,m4_proto,2,1,2,1,0.863,0.86175
cifar100,m4_proto,2,1,3,2,0.84,0.8445
cifar100,m4_proto,2,1,4,3,0.822,0.83625
cifar100,m4_proto,2,1,5,4,0.819,0.82825
cifar100,m4_proto,2,1,6,5,0.814,0.826
cifar100,m4_proto,2,1,7,6,0.8,0.816
cifar100,m4_proto,2,1,8,7,0.797,0.81125
cifar100,m4_proto,2,1,9,8,0.792,0.8055
cifar100,m4_proto,2,2,2,0,0.806,0.82025
cifar100,m4_proto,2,2,3,1,0.792,0.8065
cifar100,m4_proto,2,2,4,2,0.732,0.758
cifar100,m4_proto,2,2,5,3,0.714,0.741
cifar100,m4_proto,2,2,6,4,0.704,0.7345
cifar100,m4_proto,2,2,7,5,0.699,0.728
cifar100,m4_proto,2,2,8,6,0.69,0.721
cifar100,m4_proto,2,2,9,7,0.681,0.7065
cifar100,m4_proto,2,3,3,0,0.834,0.82175
cifar100,m4_proto,2,3,4,1,0.809,0.798
cifar100,m4_proto,2,3,5,2,0.8,0.79
cifar100,m4_proto,2,3,6,3,0.776,0.76525
cifar100,m4_proto,2,3,7,4,0.764,0.75425
cifar100,m4_proto,2,3,8,5,0.759,0.74625
cifar100,m4_proto,2,3,9,6,0.737,0.731
cifar100,m4_proto,2,4,4,0,0.822,0.817
cifar100,m4_proto,2,4,5,1,0.773,0.77475
cifar100,m4_proto,2,4,6,2,0.769,0.772
cifar100,m4_proto,2,4,7,3,0.76,0.76475
cifar100,m4_proto,2,4,8,4,0.756,0.76175
cifar100,m4_proto,2,4,9,5,0.754,0.75525
cifar100,m4_proto,2,5,5,0,0.799,0.82575
cifar100,m4_proto,2,5,6,1,0.789,0.81625
cifar100,m4_proto,2,5,7,2,0.788,0.81
cifar100,m4_proto,2,5,8,3,0.779,0.80075
cifar100,m4_proto,2,5,9,4,0.765,0.78775
