dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m0_fedavg,0,0,0,0,0.821917808219178,0.85
cub200,m0_fedavg,0,0,1,1,0.6095890410958904,0.702
cub200,m0_fedavg,0,0,2,2,0.4520547945205479,0.538
cub200,m0_fedavg,0,0,3,3,0.4143835616438356,0.49
cub200,m0_fedavg,0,0,4,4,0.3835616438356164,0.446
cub200,m0_fedavg,0,0,5,5,0.3938356164383562,0.444
cub200,m0_fedavg,0,0,6,6,0.3595890410958904,0.448
cub200,m0_fedavg,0,0,7,7,0.4058219178082192,0.494
cub200,m0_fedavg,0,0,8,8,0.4178082191780822,0.478
cub200,m0_fedavg,0,0,9,9,0.3407534246575342,0.426
cub200,m0_fedavg,0,1,1,0,0.7718120805369127,0.8393574297188755
cub200,m0_fedavg,0,1,2,1,0.5973154362416108,0.6526104417670683
cub200,m0_fedavg,0,1,3,2,0.5234899328859061,0.5903614457831325
cub200,m0_fedavg,0,1,4,3,0.4429530201342282,0.5
cub200,m0_fedavg,0,1,5,4,0.3573825503355705,0.4397590361445783
cub200,m0_fedavg,0,1,6,5,0.14597315436241612,0.19477911646586346
cub200,m0_fedavg,0,1,7,6,0.24161073825503357,0.28714859437751006
cub200,m0_fedavg,0,1,8,7,0.24161073825503357,0.2891566265060241
cub200,m0_fedavg,0,1,9,8,0.2684563758389262,0.3293172690763052
cub200,m0_fedavg,0,2,2,0,0.7585034013605442,0.814
cub200,m0_fedavg,0,2,3,1,0.6241496598639455,0.656
cub200,m0_fedavg,0,2,4,2,0.5697278911564626,0.64
cub200,m0_fedavg,0,2,5,3,0.44047619047619047,0.466
cub200,m0_fedavg,0,2,6,4,0.3333333333333333,0.366
cub200,m0_fedavg,0,2,7,5,0.2891156462585034,0.322
cub200,m0_fedavg,0,2,8,6,0.3435374149659864,0.356
cub200,m0_fedavg,0,2,9,7,0.22959183673469388,0.274
cub200,m0_fedavg,0,3,3,0,0.851027397260274,0.888
cub200,m0_fedavg,0,3,4,1,0.3595890410958904,0.376
cub200,m0_fedavg,0,3,5,2,0.2226027397260274,0.236
cub200,m0_fedavg,0,3,6,3,0.2106164383561644,0.244
cub200,m0_fedavg,0,3,7,4,0.24315068493150685,0.28
cub200,m0_fedavg,0,3,8,5,0.2671232876712329,0.3
cub200,m0_fedavg,0,3,9,6,0.1695205479452055,0.198
cub200,m0_fedavg,0,4,4,0,0.8534031413612565,0.892
cub200,m0_fedavg,0,4,5,1,0.4607329842931937,0.488
