dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m1_glfc,0,0,0,0,0.821917808219178,0.85
cub200,m1_glfc,0,0,1,1,0.7551369863013698,0.826
cub200,m1_glfc,0,0,2,2,0.8818493150684932,0.94
cub200,m1_glfc,0,0,3,3,0.910958904109589,0.964
cub200,m1_glfc,0,0,4,4,0.9297945205479452,0.968
cub200,m1_glfc,0,0,5,5,0.9366438356164384,0.97
cub200,m1_glfc,0,0,6,6,0.9195205479452054,0.97
cub200,m1_glfc,0,0,7,7,0.9246575342465754,0.97
cub200,m1_glfc,0,0,8,8,0.922945205479452,0.972
cub200,m1_glfc,0,0,9,9,0.916095890410959,0.97
cub200,m1_glfc,0,1,1,0,0.5067114093959731,0.5803212851405622
cub200,m1_glfc,0,1,2,1,0.6325503355704698,0.7068273092369478
cub200,m1_glfc,0,1,3,2,0.7533557046979866,0.8273092369477911
cub200,m1_glfc,0,1,4,3,0.8422818791946308,0.927710843373494
cub200,m1_glfc,0,1,5,4,0.8859060402684564,0.9578313253012049
cub200,m1_glfc,0,1,6,5,0.8859060402684564,0.9698795180722891
cub200,m1_glfc,0,1,7,6,0.8825503355704698,0.9678714859437751
cub200,m1_glfc,0,1,8,7,0.8976510067114094,0.9618473895582329
cub200,m1_glfc,0,1,9,8,0.8942953020134228,0.9598393574297188
cub200,m1_glfc,0,2,2,0,0.4574829931972789,0.522
cub200,m1_glfc,0,2,3,1,0.7261904761904762,0.798
cub200,m1_glfc,0,2,4,2,0.826530612244898,0.88
cub200,m1_glfc,0,2,5,3,0.8452380952380952,0.916
cub200,m1_glfc,0,2,6,4,0.8894557823129252,0.95
cub200,m1_glfc,0,2,7,5,0.9064625850340136,0.962
cub200,m1_glfc,0,2,8,6,0.8758503401360545,0.95
cub200,m1_glfc,0,2,9,7,0.8809523809523809,0.956
cub200,m1_glfc,0,3,3,0,0.4246575342465753,0.492
cub200,m1_glfc,0,3,4,1,0.6147260273972602,0.69
cub200,m1_glfc,0,3,5,2,0.714041095890411,0.79
cub200,m1_glfc,0,3,6,3,0.7654109589041096,0.864
cub200,m1_glfc,0,3,7,4,0.791095890410959,0.882
cub200,m1_glfc,0,3,8,5,0.8287671232876712,0.926
cub200,m1_glfc,0,3,9,6,0.8424657534246576,0.948
cub200,m1_glfc,0,4,4,0,0.537521815008726,0.568
cub200,m1_glfc,0,4,5,1,0.6474694589877836,0.69
cub200,m1_glfc,0,4,6,2,0.743455497382199,0.798
cub200,m1_glfc,0,4,7,3,0.8027923211169284,0.858
cub200,m1_glfc,0,4,8,4,0.8603839441535777,0.914
cub200,m1_glfc,0,4,9,5,0.8691099476439791,0.916
cub200,m1_glfc,0,5,5,0,0.12100840336134454,0.19238476953907815
cub200,m1_glfc,0,5,6,1,0.33277310924369746,0.5070140280561122
cub200,m1_glfc,0,5,7,2,0.6134453781512605,0.7334669338677354
cub200,m1_glfc,0,5,8,3,0.7210084033613445,0.8056112224448898
cub200,m1_glfc,0,5,9,4,0.7764705882352941,0.8677354709418837
cub200,m1_glfc,0,6,6,0,0.16753926701570682,0.20440881763527055
cub200,m1_glfc,0,6,7,1,0.3787085514834206,0.4468937875751503
cub200,m1_glfc,0,6,8,2,0.5968586387434555,0.7274549098196392
cub200,m1_glfc,0,6,9,3,0.7068062827225131,0.8276553106212425
cub200,m1_glfc,0,7,7,0,0.23049645390070922,0.27
cub200,m1_glfc,0,7,8,1,0.41312056737588654,0.472
cub200,m1_glfc,0,7,9,2,0.5372340425531915,0.614
cub200,m1_glfc,0,8,8,0,0.302158273381295,0.358
cub200,m1_glfc,0,8,9,1,0.48381294964028776,0.56
cub200,m1_glfc,0,9,9,0,0.09982788296041308,0.13654618473895583
cub200,m1_glfc,1,0,0,0,0.9081455805892548,0.9458917835671342
cub200,m1_glfc,1,0,1,1,0.8162911611785095,0.8657314629258517
cub200,m1_glfc,1,0,2,2,0.925476603119584,0.9639278557114228
cub200,m1_glfc,1,0,3,3,0.9428076256499134,0.9719438877755511
cub200,m1_glfc,1,0,4,4,0.9480069324090121,0.9739478957915831
cub200,m1_glfc,1,0,5,5,0.9324090121317158,0.969939879759519
cub200,m1_glfc,1,0,6,6,0.9272097053726169,0.9719438877755511
cub200,m1_glfc,1,0,7,7,0.9358752166377816,0.969939879759519
cub200,m1_glfc,1,0,8,8,0.92894280762565,0.969939879759519
cub200,m1_glfc,1,0,9,9,0.925476603119584,0.9719438877755511
cub200,m1_glfc,1,1,1,0,0.8072916666666666,0.89
cub200,m1_glfc,1,1,2,1,0.8871527777777778,0.928
cub200,m1_glfc,1,1,3,2,0.90625,0.944
cub200,m1_glfc,1,1,4,3,0.9288194444444444,0.968
cub200,m1_glfc,1,1,5,4,0.9236111111111112,0.97
cub200,m1_glfc,1,1,6,5,0.9253472222222222,0.97
cub200,m1_glfc,1,1,7,6,0.921875,0.964
cub200,m1_glfc,1,1,8,7,0.9184027777777778,0.966
cub200,m1_glfc,1,1,9,8,0.9184027777777778,0.972
cub200,m1_glfc,1,2,2,0,0.43672014260249553,0.5020080321285141
cub200,m1_glfc,1,2,3,1,0.6327985739750446,0.7409638554216867
cub200,m1_glfc,1,2,4,2,0.7272727272727273,0.8232931726907631
cub200,m1_glfc,1,2,5,3,0.7771836007130125,0.8654618473895582
cub200,m1_glfc,1,2,6,4,0.803921568627451,0.8815261044176707
cub200,m1_glfc,1,2,7,5,0.82174688057041,0.8975903614457831
cub200,m1_glfc,1,2,8,6,0.8431372549019608,0.9096385542168675
cub200,m1_glfc,1,2,9,7,0.8342245989304813,0.9036144578313253
cub200,m1_glfc,1,3,3,0,0.34991119005328597,0.3667334669338677
cub200,m1_glfc,1,3,4,1,0.6163410301953819,0.7094188376753507
cub200,m1_glfc,1,3,5,2,0.7655417406749556,0.843687374749499
cub200,m1_glfc,1,3,6,3,0.8365896980461812,0.9238476953907816
cub200,m1_glfc,1,3,7,4,0.8650088809946714,0.9398797595190381
cub200,m1_glfc,1,3,8,5,0.8898756660746003,0.9519038076152304
cub200,m1_glfc,1,3,9,6,0.8916518650088809,0.9539078156312625
cub200,m1_glfc,1,4,4,0,0.20973154362416108,0.22
cub200,m1_glfc,1,4,5,1,0.4513422818791946,0.58
cub200,m1_glfc,1,4,6,2,0.6174496644295302,0.744
cub200,m1_glfc,1,4,7,3,0.7281879194630873,0.852
cub200,m1_glfc,1,4,8,4,0.7885906040268457,0.902
cub200,m1_glfc,1,4,9,5,0.8322147651006712,0.918
cub200,m1_glfc,1,5,5,0,0.21299638989169675,0.248
cub200,m1_glfc,1,5,6,1,0.4548736462093863,0.542
cub200,m1_glfc,1,5,7,2,0.644404332129964,0.74
cub200,m1_glfc,1,5,8,3,0.7346570397111913,0.798
cub200,m1_glfc,1,5,9,4,0.759927797833935,0.814
cub200,m1_glfc,1,6,6,0,0.14020270270270271,0.176
cub200,m1_glfc,1,6,7,1,0.2989864864864865,0.382
cub200,m1_glfc,1,6,8,2,0.49324324324324326,0.63
cub200,m1_glfc,1,6,9,3,0.6537162162162162,0.762
cub200,m1_glfc,1,7,7,0,0.08644067796610169,0.1523046092184369
cub200,m1_glfc,1,7,8,1,0.2542372881355932,0.36472945891783565
cub200,m1_glfc,1,7,9,2,0.5220338983050847,0.6793587174348698
cub200,m1_glfc,1,8,8,0,0.253781512605042,0.27655310621242485
cub200,m1_glfc,1,8,9,1,0.4470588235294118,0.533066132264529
cub200,m1_glfc,1,9,9,0,0.188135593220339,0.25
cub200,m1_glfc,2,0,0,0,0.930976430976431,0.938
cub200,m1_glfc,2,0,1,1,0.9225589225589226,0.942
cub200,m1_glfc,2,0,2,2,0.9595959595959596,0.958
cub200,m1_glfc,2,0,3,3,0.9545454545454546,0.96
cub200,m1_glfc,2,0,4,4,0.9579124579124579,0.96
cub200,m1_glfc,2,0,5,5,0.9478114478114478,0.964
cub200,m1_glfc,2,0,6,6,0.9208754208754208,0.956
cub200,m1_glfc,2,0,7,7,0.9023569023569024,0.95
cub200,m1_glfc,2,0,8,8,0.8838383838383839,0.95
cub200,m1_glfc,2,0,9,9,0.8888888888888888,0.95
cub200,m1_glfc,2,1,1,0,0.7470686767169179,0.81
cub200,m1_glfc,2,1,2,1,0.916247906197655,0.956
cub200,m1_glfc,2,1,3,2,0.9447236180904522,0.98
cub200,m1_glfc,2,1,4,3,0.948073701842546,0.982
cub200,m1_glfc,2,1,5,4,0.9564489112227805,0.986
cub200,m1_glfc,2,1,6,5,0.9597989949748744,0.984
cub200,m1_glfc,2,1,7,6,0.9564489112227805,0.982
cub200,m1_glfc,2,1,8,7,0.949748743718593,0.982
cub200,m1_glfc,2,1,9,8,0.9430485762144054,0.984
cub200,m1_glfc,2,2,2,0,0.5934256055363322,0.606
cub200,m1_glfc,2,2,3,1,0.6885813148788927,0.764
cub200,m1_glfc,2,2,4,2,0.7768166089965398,0.882
cub200,m1_glfc,2,2,5,3,0.8235294117647058,0.928
cub200,m1_glfc,2,2,6,4,0.8615916955017301,0.946
cub200,m1_glfc,2,2,7,5,0.8719723183391004,0.952
cub200,m1_glfc,2,2,8,6,0.8806228373702422,0.952
cub200,m1_glfc,2,2,9,7,0.8737024221453287,0.956
cub200,m1_glfc,2,3,3,0,0.3617391304347826,0.448692152917505
cub200,m1_glfc,2,3,4,1,0.5339130434782609,0.635814889336016
cub200,m1_glfc,2,3,5,2,0.6695652173913044,0.7927565392354124
cub200,m1_glfc,2,3,6,3,0.7878260869565218,0.8792756539235412
cub200,m1_glfc,2,3,7,4,0.8121739130434783,0.9094567404426559
cub200,m1_glfc,2,3,8,5,0.808695652173913,0.9235412474849095
cub200,m1_glfc,2,3,9,6,0.8017391304347826,0.9235412474849095
cub200,m1_glfc,2,4,4,0,0.28547008547008546,0.358
cub200,m1_glfc,2,4,5,1,0.5982905982905983,0.664
cub200,m1_glfc,2,4,6,2,0.7076923076923077,0.806
cub200,m1_glfc,2,4,7,3,0.7811965811965812,0.882
cub200,m1_glfc,2,4,8,4,0.8427350427350427,0.912
cub200,m1_glfc,2,4,9,5,0.852991452991453,0.926
cub200,m1_glfc,2,5,5,0,0.3188405797101449,0.36
cub200,m1_glfc,2,5,6,1,0.5307971014492754,0.608
cub200,m1_glfc,2,5,7,2,0.677536231884058,0.75
cub200,m1_glfc,2,5,8,3,0.7536231884057971,0.826
cub200,m1_glfc,2,5,9,4,0.802536231884058,0.864
cub200,m1_glfc,2,6,6,0,0.30153321976149916,0.352
cub200,m1_glfc,2,6,7,1,0.47018739352640543,0.536
cub200,m1_glfc,2,6,8,2,0.645655877342419,0.728
cub200,m1_glfc,2,6,9,3,0.7495741056218058,0.834
cub200,m1_glfc,2,7,7,0,0.11917098445595854,0.17034068136272545
cub200,m1_glfc,2,7,8,1,0.31951640759930916,0.40480961923847697
cub200,m1_glfc,2,7,9,2,0.5440414507772021,0.6613226452905812
cub200,m1_glfc,2,8,8,0,0.17314487632508835,0.24248496993987975
cub200,m1_glfc,2,8,9,1,0.38869257950530034,0.4849699398797595
cub200,m1_glfc,2,9,9,0,0.0981067125645439,0.11422845691382766
cub200,m1_glfc,3,0,0,0,0.8342342342342343,0.892
cub200,m1_glfc,3,0,1,1,0.7783783783783784,0.828
cub200,m1_glfc,3,0,2,2,0.9225225225225225,0.962
cub200,m1_glfc,3,0,3,3,0.9423423423423424,0.972
