dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m2_target,0,0,0,0,0.886986301369863,0.912
cub200,m2_target,0,0,1,1,0.9794520547945206,0.98
cub200,m2_target,0,0,2,2,0.9691780821917808,0.972
cub200,m2_target,0,0,3,3,0.9571917808219178,0.972
cub200,m2_target,0,0,4,4,0.934931506849315,0.976
cub200,m2_target,0,0,5,5,0.9143835616438356,0.968
cub200,m2_target,0,0,6,6,0.9075342465753424,0.956
cub200,m2_target,0,0,7,7,0.910958904109589,0.954
cub200,m2_target,0,0,8,8,0.8921232876712328,0.95
cub200,m2_target,0,0,9,9,0.8921232876712328,0.954
cub200,m2_target,0,1,1,0,0.5083892617449665,0.5803212851405622
cub200,m2_target,0,1,2,1,0.9278523489932886,0.963855421686747
cub200,m2_target,0,1,3,2,0.9144295302013423,0.9457831325301205
cub200,m2_target,0,1,4,3,0.8959731543624161,0.9457831325301205
cub200,m2_target,0,1,5,4,0.8959731543624161,0.9477911646586346
cub200,m2_target,0,1,6,5,0.8875838926174496,0.9437751004016064
cub200,m2_target,0,1,7,6,0.8859060402684564,0.9417670682730924
cub200,m2_target,0,1,8,7,0.860738255033557,0.9337349397590361
cub200,m2_target,0,1,9,8,0.8624161073825504,0.9357429718875502
cub200,m2_target,0,2,2,0,0.3945578231292517,0.452
cub200,m2_target,0,2,3,1,0.9200680272108843,0.958
cub200,m2_target,0,2,4,2,0.9149659863945578,0.958
cub200,m2_target,0,2,5,3,0.8962585034013606,0.95
cub200,m2_target,0,2,6,4,0.9081632653061225,0.962
cub200,m2_target,0,2,7,5,0.8809523809523809,0.938
cub200,m2_target,0,2,8,6,0.8622448979591837,0.932
cub200,m2_target,0,2,9,7,0.8554421768707483,0.934
cub200,m2_target,0,3,3,0,0.375,0.458
cub200,m2_target,0,3,4,1,0.898972602739726,0.946
cub200,m2_target,0,3,5,2,0.916095890410959,0.956
cub200,m2_target,0,3,6,3,0.9178082191780822,0.95
cub200,m2_target,0,3,7,4,0.9126712328767124,0.958
cub200,m2_target,0,3,8,5,0.928082191780822,0.956
cub200,m2_target,0,3,9,6,0.9143835616438356,0.946
cub200,m2_target,0,4,4,0,0.3106457242582897,0.378
cub200,m2_target,0,4,5,1,0.8638743455497382,0.92
cub200,m2_target,0,4,6,2,0.8883071553228621,0.916
cub200,m2_target,0,4,7,3,0.8848167539267016,0.904
cub200,m2_target,0,4,8,4,0.8830715532286213,0.922
