dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m4_proto,0,0,0,0,0.9828767123287672,0.986
cub200,m4_proto,0,0,1,1,0.9657534246575342,0.974
cub200,m4_proto,0,0,2,2,0.940068493150685,0.964
cub200,m4_proto,0,0,3,3,0.9178082191780822,0.954
cub200,m4_proto,0,0,4,4,0.910958904109589,0.95
cub200,m4_proto,0,0,5,5,0.898972602739726,0.94
cub200,m4_proto,0,0,6,6,0.8955479452054794,0.936
cub200,m4_proto,0,0,7,7,0.8784246575342466,0.934
cub200,m4_proto,0,0,8,8,0.8767123287671232,0.934
cub200,m4_proto,0,0,9,9,0.875,0.932
cub200,m4_proto,0,1,1,0,0.9328859060402684,0.9658634538152611
cub200,m4_proto,0,1,2,1,0.9161073825503355,0.9497991967871486
cub200,m4_proto,0,1,3,2,0.9077181208053692,0.9477911646586346
cub200,m4_proto,0,1,4,3,0.9010067114093959,0.9457831325301205
cub200,m4_proto,0,1,5,4,0.8875838926174496,0.9357429718875502
cub200,m4_proto,0,1,6,5,0.8758389261744967,0.9337349397590361
cub200,m4_proto,0,1,7,6,0.8540268456375839,0.929718875502008
cub200,m4_proto,0,1,8,7,0.8489932885906041,0.9236947791164659
cub200,m4_proto,0,1,9,8,0.8406040268456376,0.9176706827309237
cub200,m4_proto,0,2,2,0,0.9285714285714286,0.962
cub200,m4_proto,0,2,3,1,0.9115646258503401,0.952
cub200,m4_proto,0,2,4,2,0.8945578231292517,0.944
cub200,m4_proto,0,2,5,3,0.8877551020408163,0.934
cub200,m4_proto,0,2,6,4,0.8605442176870748,0.926
cub200,m4_proto,0,2,7,5,0.8452380952380952,0.924
cub200,m4_proto,0,2,8,6,0.8401360544217688,0.92
cub200,m4_proto,0,2,9,7,0.8163265306122449,0.916
cub200,m4_proto,0,3,3,0,0.9366438356164384,0.956
cub200,m4_proto,0,3,4,1,0.9178082191780822,0.946
cub200,m4_proto,0,3,5,2,0.9143835616438356,0.946
cub200,m4_proto,0,3,6,3,0.9126712328767124,0.942
cub200,m4_proto,0,3,7,4,0.910958904109589,0.94
cub200,m4_proto,0,3,8,5,0.910958904109589,0.94
cub200,m4_proto,0,3,9,6,0.9023972602739726,0.934
cub200,m4_proto,0,4,4,0,0.900523560209424,0.942
cub200,m4_proto,0,4,5,1,0.8848167539267016,0.924
cub200,m4_proto,0,4,6,2,0.8795811518324608,0.912
cub200,m4_proto,0,4,7,3,0.8778359511343804,0.912
cub200,m4_proto,0,4,8,4,0.8708551483420593,0.91
cub200,m4_proto,0,4,9,5,0.8621291448516579,0.906
cub200,m4_proto,0,5,5,0,0.892436974789916,0.9318637274549099
cub200,m4_proto,0,5,6,1,0.8739495798319328,0.9218436873747495
cub200,m4_proto,0,5,7,2,0.8739495798319328,0.9198396793587175
cub200,m4_proto,0,5,8,3,0.8554621848739495,0.9138276553106213
cub200,m4_proto,0,5,9,4,0.8504201680672269,0.9138276553106213
cub200,m4_proto,0,6,6,0,0.837696335078534,0.9278557114228457
cub200,m4_proto,0,6,7,1,0.8307155322862129,0.9198396793587175
cub200,m4_proto,0,6,8,2,0.8289703315881326,0.9178356713426854
cub200,m4_proto,0,6,9,3,0.8254799301919721,0.9178356713426854
cub200,m4_proto,0,7,7,0,0.8812056737588653,0.93
cub200,m4_proto,0,7,8,1,0.875886524822695,0.918
cub200,m4_proto,0,7,9,2,0.8528368794326241,0.902
cub200,m4_proto,0,8,8,0,0.9064748201438849,0.958
cub200,m4_proto,0,8,9,1,0.9010791366906474,0.952
cub200,m4_proto,0,9,9,0,0.8450946643717728,0.9116465863453815
cub200,m4_proto,1,0,0,0,0.9705372616984402,0.9819639278557114
cub200,m4_proto,1,0,1,1,0.9618717504332756,0.9799599198396793
cub200,m4_proto,1,0,2,2,0.9376083188908145,0.9719438877755511
cub200,m4_proto,1,0,3,3,0.9116117850953206,0.9579158316633266
cub200,m4_proto,1,0,4,4,0.901213171577123,0.9519038076152304
cub200,m4_proto,1,0,5,5,0.8908145580589255,0.9458917835671342
cub200,m4_proto,1,0,6,6,0.878682842287695,0.9378757515030061
cub200,m4_proto,1,0,7,7,0.8682842287694974,0.935871743486974
cub200,m4_proto,1,0,8,8,0.8613518197573656,0.9318637274549099
cub200,m4_proto,1,0,9,9,0.8578856152512998,0.9318637274549099
cub200,m4_proto,1,1,1,0,0.9496527777777778,0.98
cub200,m4_proto,1,1,2,1,0.9357638888888888,0.968
cub200,m4_proto,1,1,3,2,0.9236111111111112,0.968
cub200,m4_proto,1,1,4,3,0.9027777777777778,0.958
cub200,m4_proto,1,1,5,4,0.875,0.95
cub200,m4_proto,1,1,6,5,0.8680555555555556,0.944
cub200,m4_proto,1,1,7,6,0.8680555555555556,0.944
cub200,m4_proto,1,1,8,7,0.8489583333333334,0.934
cub200,m4_proto,1,1,9,8,0.8263888888888888,0.924
cub200,m4_proto,1,2,2,0,0.8894830659536542,0.9317269076305221
