dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m5_hybrid_replay,0,0,0,0,0.886986301369863,0.912
cub200,m5_hybrid_replay,0,0,1,1,0.8784246575342466,0.896
cub200,m5_hybrid_replay,0,0,2,2,0.940068493150685,0.978
cub200,m5_hybrid_replay,0,0,3,3,0.916095890410959,0.978
cub200,m5_hybrid_replay,0,0,4,4,0.9263698630136986,0.982
cub200,m5_hybrid_replay,0,0,5,5,0.910958904109589,0.974
cub200,m5_hybrid_replay,0,0,6,6,0.910958904109589,0.96
cub200,m5_hybrid_replay,0,0,7,7,0.9178082191780822,0.978
cub200,m5_hybrid_replay,0,0,8,8,0.9143835616438356,0.976
cub200,m5_hybrid_replay,0,0,9,9,0.9023972602739726,0.974
cub200,m5_hybrid_replay,0,1,1,0,0.7181208053691275,0.7630522088353414
cub200,m5_hybrid_replay,0,1,2,1,0.8489932885906041,0.9096385542168675
cub200,m5_hybrid_replay,0,1,3,2,0.8993288590604027,0.9457831325301205
cub200,m5_hybrid_replay,0,1,4,3,0.8859060402684564,0.9477911646586346
cub200,m5_hybrid_replay,0,1,5,4,0.8909395973154363,0.9538152610441767
cub200,m5_hybrid_replay,0,1,6,5,0.8875838926174496,0.9518072289156626
cub200,m5_hybrid_replay,0,1,7,6,0.8506711409395973,0.929718875502008
cub200,m5_hybrid_replay,0,1,8,7,0.8557046979865772,0.9497991967871486
cub200,m5_hybrid_replay,0,1,9,8,0.8456375838926175,0.9457831325301205
cub200,m5_hybrid_replay,0,2,2,0,0.54421768707483,0.636
cub200,m5_hybrid_replay,0,2,3,1,0.8741496598639455,0.916
cub200,m5_hybrid_replay,0,2,4,2,0.8928571428571429,0.944
cub200,m5_hybrid_replay,0,2,5,3,0.8435374149659864,0.928
cub200,m5_hybrid_replay,0,2,6,4,0.8248299319727891,0.888
cub200,m5_hybrid_replay,0,2,7,5,0.8520408163265306,0.928
cub200,m5_hybrid_replay,0,2,8,6,0.8707482993197279,0.932
cub200,m5_hybrid_replay,0,2,9,7,0.8248299319727891,0.93
cub200,m5_hybrid_replay,0,3,3,0,0.547945205479452,0.632
cub200,m5_hybrid_replay,0,3,4,1,0.8476027397260274,0.906
cub200,m5_hybrid_replay,0,3,5,2,0.8698630136986302,0.942
cub200,m5_hybrid_replay,0,3,6,3,0.8407534246575342,0.928
cub200,m5_hybrid_replay,0,3,7,4,0.8287671232876712,0.914
cub200,m5_hybrid_replay,0,3,8,5,0.8681506849315068,0.96
cub200,m5_hybrid_replay,0,3,9,6,0.8578767123287672,0.95
cub200,m5_hybrid_replay,0,4,4,0,0.5410122164048866,0.614
cub200,m5_hybrid_replay,0,4,5,1,0.7993019197207679,0.886
cub200,m5_hybrid_replay,0,4,6,2,0.8778359511343804,0.928
cub200,m5_hybrid_replay,0,4,7,3,0.8830715532286213,0.932
cub200,m5_hybrid_replay,0,4,8,4,0.8830715532286213,0.93
cub200,m5_hybrid_replay,0,4,9,5,0.8848167539267016,0.946
cub200,m5_hybrid_replay,0,5,5,0,0.41680672268907565,0.5190380761523046
cub200,m5_hybrid_replay,0,5,6,1,0.8084033613445378,0.8717434869739479
cub200,m5_hybrid_replay,0,5,7,2,0.8369747899159664,0.9018036072144289
cub200,m5_hybrid_replay,0,5,8,3,0.8521008403361344,0.9158316633266533
cub200,m5_hybrid_replay,0,5,9,4,0.8336134453781513,0.9158316633266533
cub200,m5_hybrid_replay,0,6,6,0,0.32111692844677137,0.40080160320641284
cub200,m5_hybrid_replay,0,6,7,1,0.7102966841186736,0.8476953907815631
cub200,m5_hybrid_replay,0,6,8,2,0.7504363001745201,0.8577154308617234
cub200,m5_hybrid_replay,0,6,9,3,0.8045375218150087,0.9078156312625251
cub200,m5_hybrid_replay,0,7,7,0,0.3776595744680851,0.426
cub200,m5_hybrid_replay,0,7,8,1,0.7464539007092199,0.838
cub200,m5_hybrid_replay,0,7,9,2,0.8102836879432624,0.894
cub200,m5_hybrid_replay,0,8,8,0,0.4568345323741007,0.532
cub200,m5_hybrid_replay,0,8,9,1,0.7464028776978417,0.85
cub200,m5_hybrid_replay,0,9,9,0,0.31153184165232356,0.3614457831325301
cub200,m5_hybrid_replay,1,0,0,0,0.8942807625649913,0.9418837675350702
cub200,m5_hybrid_replay,1,0,1,1,0.9133448873483535,0.935871743486974
cub200,m5_hybrid_replay,1,0,2,2,0.9532062391681109,0.9739478957915831
cub200,m5_hybrid_replay,1,0,3,3,0.9220103986135182,0.969939879759519
cub200,m5_hybrid_replay,1,0,4,4,0.9272097053726169,0.9679358717434869
cub200,m5_hybrid_replay,1,0,5,5,0.9237435008665511,0.9659318637274549
cub200,m5_hybrid_replay,1,0,6,6,0.9272097053726169,0.9659318637274549
cub200,m5_hybrid_replay,1,0,7,7,0.9202772963604853,0.9779559118236473
cub200,m5_hybrid_replay,1,0,8,8,0.901213171577123,0.9739478957915831
cub200,m5_hybrid_replay,1,0,9,9,0.8977469670710572,0.9759519038076152
cub200,m5_hybrid_replay,1,1,1,0,0.8125,0.9
cub200,m5_hybrid_replay,1,1,2,1,0.8715277777777778,0.918
cub200,m5_hybrid_replay,1,1,3,2,0.8802083333333334,0.946
cub200,m5_hybrid_replay,1,1,4,3,0.8958333333333334,0.956
cub200,m5_hybrid_replay,1,1,5,4,0.8767361111111112,0.972
cub200,m5_hybrid_replay,1,1,6,5,0.8802083333333334,0.958
cub200,m5_hybrid_replay,1,1,7,6,0.8854166666666666,0.96
cub200,m5_hybrid_replay,1,1,8,7,0.8940972222222222,0.98
cub200,m5_hybrid_replay,1,1,9,8,0.8663194444444444,0.97
cub200,m5_hybrid_replay,1,2,2,0,0.5418894830659536,0.6626506024096386
cub200,m5_hybrid_replay,1,2,3,1,0.8324420677361853,0.8975903614457831
cub200,m5_hybrid_replay,1,2,4,2,0.8431372549019608,0.9036144578313253
cub200,m5_hybrid_replay,1,2,5,3,0.8770053475935828,0.9437751004016064
cub200,m5_hybrid_replay,1,2,6,4,0.8859180035650623,0.9417670682730924
cub200,m5_hybrid_replay,1,2,7,5,0.8324420677361853,0.929718875502008
cub200,m5_hybrid_replay,1,2,8,6,0.8253119429590018,0.929718875502008
cub200,m5_hybrid_replay,1,2,9,7,0.8431372549019608,0.9497991967871486
cub200,m5_hybrid_replay,1,3,3,0,0.5115452930728241,0.6212424849699398
cub200,m5_hybrid_replay,1,3,4,1,0.8383658969804618,0.9078156312625251
cub200,m5_hybrid_replay,1,3,5,2,0.9023090586145648,0.9438877755511023
cub200,m5_hybrid_replay,1,3,6,3,0.866785079928952,0.9278557114228457
cub200,m5_hybrid_replay,1,3,7,4,0.8969804618117229,0.9438877755511023
cub200,m5_hybrid_replay,1,3,8,5,0.9147424511545293,0.9579158316633266
cub200,m5_hybrid_replay,1,3,9,6,0.8987566607460036,0.9599198396793587
cub200,m5_hybrid_replay,1,4,4,0,0.348993288590604,0.426
cub200,m5_hybrid_replay,1,4,5,1,0.7600671140939598,0.862
cub200,m5_hybrid_replay,1,4,6,2,0.8137583892617449,0.91
cub200,m5_hybrid_replay,1,4,7,3,0.8506711409395973,0.928
cub200,m5_hybrid_replay,1,4,8,4,0.8825503355704698,0.96
cub200,m5_hybrid_replay,1,4,9,5,0.8422818791946308,0.948
cub200,m5_hybrid_replay,1,5,5,0,0.41155234657039713,0.488
cub200,m5_hybrid_replay,1,5,6,1,0.7490974729241877,0.82
cub200,m5_hybrid_replay,1,5,7,2,0.8122743682310469,0.89
cub200,m5_hybrid_replay,1,5,8,3,0.8537906137184116,0.928
cub200,m5_hybrid_replay,1,5,9,4,0.8790613718411552,0.94
cub200,m5_hybrid_replay,1,6,6,0,0.3108108108108108,0.372
cub200,m5_hybrid_replay,1,6,7,1,0.6131756756756757,0.736
cub200,m5_hybrid_replay,1,6,8,2,0.7364864864864865,0.854
cub200,m5_hybrid_replay,1,6,9,3,0.7989864864864865,0.904
cub200,m5_hybrid_replay,1,7,7,0,0.18135593220338983,0.28256513026052105
cub200,m5_hybrid_replay,1,7,8,1,0.6220338983050847,0.7434869739478958
cub200,m5_hybrid_replay,1,7,9,2,0.7898305084745763,0.8997995991983968
cub200,m5_hybrid_replay,1,8,8,0,0.40336134453781514,0.4529058116232465
cub200,m5_hybrid_replay,1,8,9,1,0.7327731092436974,0.8296593186372746
cub200,m5_hybrid_replay,1,9,9,0,0.39322033898305087,0.506
cub200,m5_hybrid_replay,2,0,0,0,0.9225589225589226,0.926
cub200,m5_hybrid_replay,2,0,1,1,0.8754208754208754,0.882
cub200,m5_hybrid_replay,2,0,2,2,0.9545454545454546,0.952
cub200,m5_hybrid_replay,2,0,3,3,0.8552188552188552,0.884
cub200,m5_hybrid_replay,2,0,4,4,0.9242424242424242,0.956
cub200,m5_hybrid_replay,2,0,5,5,0.9057239057239057,0.946
cub200,m5_hybrid_replay,2,0,6,6,0.9175084175084175,0.962
cub200,m5_hybrid_replay,2,0,7,7,0.8552188552188552,0.926
