dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
cub200,m8_analytic,0,0,0,0,0.9794520547945206,1.0
cub200,m8_analytic,0,0,1,1,0.9571917808219178,1.0
cub200,m8_analytic,0,0,2,2,0.9554794520547946,1.0
cub200,m8_analytic,0,0,3,3,0.9417808219178082,0.998
cub200,m8_analytic,0,0,4,4,0.9332191780821918,0.996
cub200,m8_analytic,0,0,5,5,0.9212328767123288,0.986
cub200,m8_analytic,0,0,6,6,0.9195205479452054,0.982
cub200,m8_analytic,0,0,7,7,0.9075342465753424,0.978
cub200,m8_analytic,0,0,8,8,0.9006849315068494,0.974
cub200,m8_analytic,0,0,9,9,0.9006849315068494,0.97
cub200,m8_analytic,0,1,1,0,0.924496644295302,1.0
cub200,m8_analytic,0,1,2,1,0.9295302013422819,0.9979919678714859
cub200,m8_analytic,0,1,3,2,0.9278523489932886,0.9959839357429718
cub200,m8_analytic,0,1,4,3,0.9228187919463087,0.9879518072289156
cub200,m8_analytic,0,1,5,4,0.9043624161073825,0.9879518072289156
cub200,m8_analytic,0,1,6,5,0.8959731543624161,0.9839357429718876
cub200,m8_analytic,0,1,7,6,0.8573825503355704,0.9779116465863453
cub200,m8_analytic,0,1,8,7,0.8590604026845637,0.9759036144578314
cub200,m8_analytic,0,1,9,8,0.8489932885906041,0.9738955823293173
cub200,m8_analytic,0,2,2,0,0.9404761904761905,1.0
cub200,m8_analytic,0,2,3,1,0.9404761904761905,0.996
cub200,m8_analytic,0,2,4,2,0.9166666666666666,0.992
cub200,m8_analytic,0,2,5,3,0.9132653061224489,0.99
cub200,m8_analytic,0,2,6,4,0.891156462585034,0.986
cub200,m8_analytic,0,2,7,5,0.8792517006802721,0.976
cub200,m8_analytic,0,2,8,6,0.8775510204081632,0.976
cub200,m8_analytic,0,2,9,7,0.8537414965986394,0.974
cub200,m8_analytic,0,3,3,0,0.9554794520547946,0.994
cub200,m8_analytic,0,3,4,1,0.934931506849315,0.994
cub200,m8_analytic,0,3,5,2,0.9366438356164384,0.992
cub200,m8_analytic,0,3,6,3,0.9246575342465754,0.988
cub200,m8_analytic,0,3,7,4,0.9212328767123288,0.976
cub200,m8_analytic,0,3,8,5,0.9126712328767124,0.976
cub200,m8_analytic,0,3,9,6,0.9092465753424658,0.972
cub200,m8_analytic,0,4,4,0,0.9022687609075044,0.99
cub200,m8_analytic,0,4,5,1,0.8900523560209425,0.986
cub200,m8_analytic,0,4,6,2,0.8883071553228621,0.982
cub200,m8_analytic,0,4,7,3,0.881326352530541,0.974
cub200,m8_analytic,0,4,8,4,0.8638743455497382,0.972
cub200,m8_analytic,0,4,9,5,0.8603839441535777,0.968
cub200,m8_analytic,0,5,5,0,0.9058823529411765,0.9819639278557114
cub200,m8_analytic,0,5,6,1,0.8823529411764706,0.9759519038076152
cub200,m8_analytic,0,5,7,2,0.8823529411764706,0.9719438877755511
cub200,m8_analytic,0,5,8,3,0.8672268907563025,0.9659318637274549
cub200,m8_analytic,0,5,9,4,0.8605042016806723,0.9599198396793587
cub200,m8_analytic,0,6,6,0,0.8464223385689355,0.9859719438877755
cub200,m8_analytic,0,6,7,1,0.8464223385689355,0.9839679358717435
cub200,m8_analytic,0,6,8,2,0.8411867364746946,0.9839679358717435
cub200,m8_analytic,0,6,9,3,0.8429319371727748,0.9859719438877755
cub200,m8_analytic,0,7,7,0,0.8847517730496454,0.994
cub200,m8_analytic,0,7,8,1,0.8882978723404256,0.984
cub200,m8_analytic,0,7,9,2,0.8705673758865248,0.976
cub200,m8_analytic,0,8,8,0,0.9262589928057554,0.992
cub200,m8_analytic,0,8,9,1,0.9172661870503597,0.99
cub200,m8_analytic,0,9,9,0,0.8502581755593803,0.9678714859437751
cub200,m8_analytic,1,0,0,0,0.9584055459272097,1.0
cub200,m8_analytic,1,0,1,1,0.9445407279029463,1.0
cub200,m8_analytic,1,0,2,2,0.9428076256499134,0.9979959919839679
cub200,m8_analytic,1,0,3,3,0.9358752166377816,0.9979959919839679
cub200,m8_analytic,1,0,4,4,0.9185441941074524,0.9979959919839679
cub200,m8_analytic,1,0,5,5,0.9150779896013865,0.9959919839679359
cub200,m8_analytic,1,0,6,6,0.8977469670710572,0.9959919839679359
cub200,m8_analytic,1,0,7,7,0.8942807625649913,0.9919839679358717
cub200,m8_analytic,1,0,8,8,0.8890814558058926,0.9919839679358717
