dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m0_fedavg,0,0,0,0,0.7344827586206897,0.7876949740034662
imagenet_r,m0_fedavg,0,0,1,1,0.1793103448275862,0.20580589254766032
imagenet_r,m0_fedavg,0,0,2,2,0.1793103448275862,0.19584055459272098
imagenet_r,m0_fedavg,0,0,3,3,0.13793103448275862,0.16594454072790293
imagenet_r,m0_fedavg,0,0,4,4,0.13448275862068965,0.14168110918544194
imagenet_r,m0_fedavg,0,0,5,5,0.1103448275862069,0.13518197573656845
imagenet_r,m0_fedavg,0,0,6,6,0.15172413793103448,0.16984402079722705
imagenet_r,m0_fedavg,0,0,7,7,0.13793103448275862,0.1477469670710572
imagenet_r,m0_fedavg,0,0,8,8,0.10689655172413794,0.12261698440207973
imagenet_r,m0_fedavg,0,0,9,9,0.15172413793103448,0.17807625649913345
imagenet_r,m0_fedavg,0,1,1,0,0.6610169491525424,0.7450232952138924
imagenet_r,m0_fedavg,0,1,2,1,0.21694915254237288,0.23761118170266837
imagenet_r,m0_fedavg,0,1,3,2,0.1152542372881356,0.1397712833545108
imagenet_r,m0_fedavg,0,1,4,3,0.15593220338983052,0.17662007623888182
imagenet_r,m0_fedavg,0,1,5,4,0.1288135593220339,0.1592545531554426
imagenet_r,m0_fedavg,0,1,6,5,0.14915254237288136,0.18170266836086404
imagenet_r,m0_fedavg,0,1,7,6,0.14915254237288136,0.18297331639135958
imagenet_r,m0_fedavg,0,1,8,7,0.13559322033898305,0.16560779330792036
imagenet_r,m0_fedavg,0,1,9,8,0.12542372881355932,0.14866581956797967
imagenet_r,m0_fedavg,0,2,2,0,0.6866197183098591,0.7601572739187418
imagenet_r,m0_fedavg,0,2,3,1,0.2535211267605634,0.2595019659239843
imagenet_r,m0_fedavg,0,2,4,2,0.22535211267605634,0.21319353429445173
imagenet_r,m0_fedavg,0,2,5,3,0.2112676056338028,0.2166885102664919
imagenet_r,m0_fedavg,0,2,6,4,0.2112676056338028,0.17562254259501967
imagenet_r,m0_fedavg,0,2,7,5,0.15845070422535212,0.16601135867190914
imagenet_r,m0_fedavg,0,2,8,6,0.19718309859154928,0.17737003058103976
imagenet_r,m0_fedavg,0,2,9,7,0.1443661971830986,0.1511577107907383
imagenet_r,m0_fedavg,0,3,3,0,0.7593220338983051,0.8071729957805908
imagenet_r,m0_fedavg,0,3,4,1,0.30847457627118646,0.33544303797468356
imagenet_r,m0_fedavg,0,3,5,2,0.22372881355932203,0.25738396624472576
imagenet_r,m0_fedavg,0,3,6,3,0.2677966101694915,0.27974683544303797
imagenet_r,m0_fedavg,0,3,7,4,0.30847457627118646,0.30759493670886073
imagenet_r,m0_fedavg,0,3,8,5,0.26440677966101694,0.2687763713080169
imagenet_r,m0_fedavg,0,3,9,6,0.22033898305084745,0.24050632911392406
imagenet_r,m0_fedavg,0,4,4,0,0.7156862745098039,0.7918885702580909
imagenet_r,m0_fedavg,0,4,5,1,0.23202614379084968,0.2548136009832036
imagenet_r,m0_fedavg,0,4,6,2,0.23202614379084968,0.25686194182712
imagenet_r,m0_fedavg,0,4,7,3,0.1895424836601307,0.22122081114297418
imagenet_r,m0_fedavg,0,4,8,4,0.13725490196078433,0.15444489963129865
imagenet_r,m0_fedavg,0,4,9,5,0.13071895424836602,0.16509627201966406
imagenet_r,m0_fedavg,0,5,5,0,0.7767295597484277,0.7947306331104994
imagenet_r,m0_fedavg,0,5,6,1,0.34276729559748426,0.3539127015336217
imagenet_r,m0_fedavg,0,5,7,2,0.3584905660377358,0.35823830121903266
imagenet_r,m0_fedavg,0,5,8,3,0.3490566037735849,0.3460479748328746
imagenet_r,m0_fedavg,0,5,9,4,0.3050314465408805,0.321274085725521
imagenet_r,m0_fedavg,0,6,6,0,0.7721088435374149,0.7937660119555935
imagenet_r,m0_fedavg,0,6,7,1,0.3843537414965986,0.37147736976942786
imagenet_r,m0_fedavg,0,6,8,2,0.3401360544217687,0.3471391972672929
imagenet_r,m0_fedavg,0,6,9,3,0.30952380952380953,0.3116994022203245
imagenet_r,m0_fedavg,0,7,7,0,0.7455197132616488,0.782942238267148
imagenet_r,m0_fedavg,0,7,8,1,0.26523297491039427,0.28203971119133575
imagenet_r,m0_fedavg,0,7,9,2,0.2114695340501792,0.2134476534296029
imagenet_r,m0_fedavg,0,8,8,0,0.6695906432748538,0.7345814977973568
imagenet_r,m0_fedavg,0,8,9,1,0.2631578947368421,0.2852422907488987
imagenet_r,m0_fedavg,0,9,9,0,0.6701030927835051,0.7413941480206541
imagenet_r,m0_fedavg,1,0,0,0,0.7370242214532872,0.7608131487889274
imagenet_r,m0_fedavg,1,0,1,1,0.314878892733564,0.3044982698961938
imagenet_r,m0_fedavg,1,0,2,2,0.21107266435986158,0.2054498269896194
imagenet_r,m0_fedavg,1,0,3,3,0.21453287197231835,0.2166955017301038
imagenet_r,m0_fedavg,1,0,4,4,0.17301038062283736,0.17387543252595156
imagenet_r,m0_fedavg,1,0,5,5,0.2422145328719723,0.24091695501730104
imagenet_r,m0_fedavg,1,0,6,6,0.1903114186851211,0.185121107266436
imagenet_r,m0_fedavg,1,0,7,7,0.21107266435986158,0.1976643598615917
imagenet_r,m0_fedavg,1,0,8,8,0.17647058823529413,0.16868512110726644
imagenet_r,m0_fedavg,1,0,9,9,0.11072664359861592,0.111159169550173
imagenet_r,m0_fedavg,1,1,1,0,0.699724517906336,0.7473174108688128
imagenet_r,m0_fedavg,1,1,2,1,0.20385674931129477,0.23329871928002768
imagenet_r,m0_fedavg,1,1,3,2,0.10192837465564739,0.12668743509865005
imagenet_r,m0_fedavg,1,1,4,3,0.15702479338842976,0.17133956386292834
imagenet_r,m0_fedavg,1,1,5,4,0.14325068870523416,0.16580131533402562
imagenet_r,m0_fedavg,1,1,6,5,0.1763085399449036,0.19730010384215993
imagenet_r,m0_fedavg,1,1,7,6,0.18457300275482094,0.20768431983385255
imagenet_r,m0_fedavg,1,1,8,7,0.09090909090909091,0.11076497057805469
imagenet_r,m0_fedavg,1,1,9,8,0.11294765840220386,0.11318795430944964
imagenet_r,m0_fedavg,1,2,2,0,0.7094339622641509,0.7792578496669839
imagenet_r,m0_fedavg,1,2,3,1,0.2528301886792453,0.2721217887725975
imagenet_r,m0_fedavg,1,2,4,2,0.2,0.23120837297811608
imagenet_r,m0_fedavg,1,2,5,3,0.2037735849056604,0.22216936251189343
imagenet_r,m0_fedavg,1,2,6,4,0.18490566037735848,0.2017126546146527
imagenet_r,m0_fedavg,1,2,7,5,0.22641509433962265,0.25451950523311134
imagenet_r,m0_fedavg,1,2,8,6,0.09056603773584905,0.12131303520456709
imagenet_r,m0_fedavg,1,2,9,7,0.09433962264150944,0.1241674595623216
imagenet_r,m0_fedavg,1,3,3,0,0.6816816816816816,0.7442034405385191
imagenet_r,m0_fedavg,1,3,4,1,0.3033033033033033,0.3548990276738968
imagenet_r,m0_fedavg,1,3,5,2,0.3183183183183183,0.35041136873597606
imagenet_r,m0_fedavg,1,3,6,3,0.24624624624624625,0.28608825729244575
imagenet_r,m0_fedavg,1,3,7,4,0.3213213213213213,0.35976065818997754
imagenet_r,m0_fedavg,1,3,8,5,0.19519519519519518,0.23635003739715782
imagenet_r,m0_fedavg,1,3,9,6,0.1921921921921922,0.20905011219147346
imagenet_r,m0_fedavg,1,4,4,0,0.7076271186440678,0.7818277865821447
imagenet_r,m0_fedavg,1,4,5,1,0.23728813559322035,0.27258320126782887
imagenet_r,m0_fedavg,1,4,6,2,0.211864406779661,0.22768092974115162
imagenet_r,m0_fedavg,1,4,7,3,0.21610169491525424,0.27363972530375064
imagenet_r,m0_fedavg,1,4,8,4,0.1864406779661017,0.184891706286318
imagenet_r,m0_fedavg,1,4,9,5,0.1483050847457627,0.1473851030110935
imagenet_r,m0_fedavg,1,5,5,0,0.7275541795665634,0.7835330498647082
imagenet_r,m0_fedavg,1,5,6,1,0.25696594427244585,0.30575956706609975
imagenet_r,m0_fedavg,1,5,7,2,0.2848297213622291,0.3281793583301121
imagenet_r,m0_fedavg,1,5,8,3,0.15789473684210525,0.17356010823347506
imagenet_r,m0_fedavg,1,5,9,4,0.10526315789473684,0.12253575570158484
imagenet_r,m0_fedavg,1,6,6,0,0.7391304347826086,0.8110925771476231
imagenet_r,m0_fedavg,1,6,7,1,0.3745819397993311,0.38990825688073394
imagenet_r,m0_fedavg,1,6,8,2,0.2809364548494983,0.2939949958298582
imagenet_r,m0_fedavg,1,6,9,3,0.20735785953177258,0.2481234361968307
imagenet_r,m0_fedavg,1,7,7,0,0.7613636363636364,0.8000951927653498
imagenet_r,m0_fedavg,1,7,8,1,0.3977272727272727,0.410280818657782
imagenet_r,m0_fedavg,1,7,9,2,0.30303030303030304,0.3193717277486911
imagenet_r,m0_fedavg,1,8,8,0,0.7350157728706624,0.7631267272009475
imagenet_r,m0_fedavg,1,8,9,1,0.24605678233438485,0.23963679431504145
imagenet_r,m0_fedavg,1,9,9,0,0.7180327868852459,0.7319884726224783
imagenet_r,m0_fedavg,2,0,0,0,0.7335640138408305,0.7842287694974004
imagenet_r,m0_fedavg,2,0,1,1,0.23183391003460208,0.27339688041594457
imagenet_r,m0_fedavg,2,0,2,2,0.22837370242214533,0.2807625649913345
imagenet_r,m0_fedavg,2,0,3,3,0.1695501730103806,0.21923743500866552
imagenet_r,m0_fedavg,2,0,4,4,0.16262975778546712,0.225736568457539
imagenet_r,m0_fedavg,2,0,5,5,0.15916955017301038,0.19020797227036396
imagenet_r,m0_fedavg,2,0,6,6,0.17647058823529413,0.19844020797227035
imagenet_r,m0_fedavg,2,0,7,7,0.15570934256055363,0.20320623916811092
imagenet_r,m0_fedavg,2,0,8,8,0.1903114186851211,0.21317157712305027
imagenet_r,m0_fedavg,2,0,9,9,0.20069204152249134,0.2339688041594454
imagenet_r,m0_fedavg,2,1,1,0,0.7093425605536332,0.7600867678958785
imagenet_r,m0_fedavg,2,1,2,1,0.2422145328719723,0.24425162689804772
imagenet_r,m0_fedavg,2,1,3,2,0.2422145328719723,0.23557483731019524
imagenet_r,m0_fedavg,2,1,4,3,0.2698961937716263,0.24945770065075923
imagenet_r,m0_fedavg,2,1,5,4,0.19377162629757785,0.1809110629067245
imagenet_r,m0_fedavg,2,1,6,5,0.23183391003460208,0.2160520607375271
imagenet_r,m0_fedavg,2,1,7,6,0.1972318339100346,0.20563991323210412
imagenet_r,m0_fedavg,2,1,8,7,0.15570934256055363,0.1505422993492408
imagenet_r,m0_fedavg,2,1,9,8,0.18339100346020762,0.172234273318872
imagenet_r,m0_fedavg,2,2,2,0,0.7641196013289037,0.8099208003334722
imagenet_r,m0_fedavg,2,2,3,1,0.19269102990033224,0.20300125052105045
imagenet_r,m0_fedavg,2,2,4,2,0.22259136212624583,0.24426844518549395
imagenet_r,m0_fedavg,2,2,5,3,0.10631229235880399,0.14172571904960402
imagenet_r,m0_fedavg,2,2,6,4,0.1893687707641196,0.19674864526886202
imagenet_r,m0_fedavg,2,2,7,5,0.12292358803986711,0.1567319716548562
imagenet_r,m0_fedavg,2,2,8,6,0.16611295681063123,0.18215923301375572
imagenet_r,m0_fedavg,2,2,9,7,0.1760797342192691,0.18674447686536055
imagenet_r,m0_fedavg,2,3,3,0,0.6862068965517242,0.77351164797239
imagenet_r,m0_fedavg,2,3,4,1,0.23448275862068965,0.23684210526315788
imagenet_r,m0_fedavg,2,3,5,2,0.16206896551724137,0.17558239861949956
imagenet_r,m0_fedavg,2,3,6,3,0.11724137931034483,0.1622088006902502
imagenet_r,m0_fedavg,2,3,7,4,0.15517241379310345,0.18636755823986195
imagenet_r,m0_fedavg,2,3,8,5,0.1793103448275862,0.1902502157031924
imagenet_r,m0_fedavg,2,3,9,6,0.21379310344827587,0.21225194132873165
imagenet_r,m0_fedavg,2,4,4,0,0.7361111111111112,0.7699346405228759
imagenet_r,m0_fedavg,2,4,5,1,0.22916666666666666,0.24444444444444444
imagenet_r,m0_fedavg,2,4,6,2,0.2013888888888889,0.20958605664488017
imagenet_r,m0_fedavg,2,4,7,3,0.2326388888888889,0.23790849673202613
imagenet_r,m0_fedavg,2,4,8,4,0.2326388888888889,0.21263616557734205
imagenet_r,m0_fedavg,2,4,9,5,0.22569444444444445,0.22091503267973855
imagenet_r,m0_fedavg,2,5,5,0,0.7275862068965517,0.7585166019836136
imagenet_r,m0_fedavg,2,5,6,1,0.25862068965517243,0.28029322984044847
imagenet_r,m0_fedavg,2,5,7,2,0.2482758620689655,0.24967658473479948
imagenet_r,m0_fedavg,2,5,8,3,0.20344827586206896,0.25528244933160843
