dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m1_glfc,0,0,0,0,0.7344827586206897,0.7876949740034662
imagenet_r,m1_glfc,0,0,1,1,0.6172413793103448,0.6802426343154246
imagenet_r,m1_glfc,0,0,2,2,0.6862068965517242,0.7309358752166378
imagenet_r,m1_glfc,0,0,3,3,0.7068965517241379,0.7677642980935875
imagenet_r,m1_glfc,0,0,4,4,0.7206896551724138,0.7881282495667244
imagenet_r,m1_glfc,0,0,5,5,0.7068965517241379,0.7963604852686309
imagenet_r,m1_glfc,0,0,6,6,0.6862068965517242,0.7941941074523396
imagenet_r,m1_glfc,0,0,7,7,0.6896551724137931,0.7924610051993067
imagenet_r,m1_glfc,0,0,8,8,0.6862068965517242,0.7894280762564991
imagenet_r,m1_glfc,0,0,9,9,0.6724137931034483,0.7902946273830156
imagenet_r,m1_glfc,0,1,1,0,0.6169491525423729,0.6518424396442185
imagenet_r,m1_glfc,0,1,2,1,0.6067796610169491,0.675137653536637
imagenet_r,m1_glfc,0,1,3,2,0.6101694915254238,0.7022448115205422
imagenet_r,m1_glfc,0,1,4,3,0.6203389830508474,0.7276577721304532
imagenet_r,m1_glfc,0,1,5,4,0.6169491525423729,0.7399407030919102
imagenet_r,m1_glfc,0,1,6,5,0.6135593220338983,0.7484116899618806
imagenet_r,m1_glfc,0,1,7,6,0.6203389830508474,0.7590004235493435
imagenet_r,m1_glfc,0,1,8,7,0.6237288135593221,0.761118170266836
imagenet_r,m1_glfc,0,1,9,8,0.6271186440677966,0.759423972892842
imagenet_r,m1_glfc,0,2,2,0,0.4859154929577465,0.5329838357361293
imagenet_r,m1_glfc,0,2,3,1,0.573943661971831,0.616863259065094
imagenet_r,m1_glfc,0,2,4,2,0.6302816901408451,0.6885102664919178
imagenet_r,m1_glfc,0,2,5,3,0.6725352112676056,0.7260812581913499
imagenet_r,m1_glfc,0,2,6,4,0.6690140845070423,0.7418086500655308
imagenet_r,m1_glfc,0,2,7,5,0.6654929577464789,0.7487986020096112
imagenet_r,m1_glfc,0,2,8,6,0.6795774647887324,0.7522935779816514
imagenet_r,m1_glfc,0,2,9,7,0.6725352112676056,0.7483617300131061
imagenet_r,m1_glfc,0,3,3,0,0.4440677966101695,0.5101265822784811
imagenet_r,m1_glfc,0,3,4,1,0.559322033898305,0.6316455696202532
imagenet_r,m1_glfc,0,3,5,2,0.6305084745762712,0.6991561181434599
imagenet_r,m1_glfc,0,3,6,3,0.6610169491525424,0.7375527426160338
imagenet_r,m1_glfc,0,3,7,4,0.6813559322033899,0.7573839662447257
imagenet_r,m1_glfc,0,3,8,5,0.6915254237288135,0.7649789029535865
imagenet_r,m1_glfc,0,3,9,6,0.6779661016949152,0.7683544303797468
imagenet_r,m1_glfc,0,4,4,0,0.39215686274509803,0.4362965997541991
imagenet_r,m1_glfc,0,4,5,1,0.4542483660130719,0.5473166734944694
imagenet_r,m1_glfc,0,4,6,2,0.5032679738562091,0.6190086030315445
imagenet_r,m1_glfc,0,4,7,3,0.5359477124183006,0.6583367472347399
imagenet_r,m1_glfc,0,4,8,4,0.5130718954248366,0.6718557968045883
imagenet_r,m1_glfc,0,4,9,5,0.5359477124183006,0.6788201556739042
imagenet_r,m1_glfc,0,5,5,0,0.5786163522012578,0.5694062131340936
imagenet_r,m1_glfc,0,5,6,1,0.6383647798742138,0.6504128981517893
imagenet_r,m1_glfc,0,5,7,2,0.6918238993710691,0.7113645300825796
imagenet_r,m1_glfc,0,5,8,3,0.7012578616352201,0.7377113645300826
imagenet_r,m1_glfc,0,5,9,4,0.7138364779874213,0.7597325992921746
imagenet_r,m1_glfc,0,6,6,0,0.5238095238095238,0.5388556789069172
imagenet_r,m1_glfc,0,6,7,1,0.5952380952380952,0.6345004269854825
imagenet_r,m1_glfc,0,6,8,2,0.6462585034013606,0.6848847139197267
imagenet_r,m1_glfc,0,6,9,3,0.6700680272108843,0.7113578138343296
imagenet_r,m1_glfc,0,7,7,0,0.41935483870967744,0.4305054151624549
imagenet_r,m1_glfc,0,7,8,1,0.5053763440860215,0.5455776173285198
imagenet_r,m1_glfc,0,7,9,2,0.5448028673835126,0.6236462093862816
imagenet_r,m1_glfc,0,8,8,0,0.35964912280701755,0.4100587371512482
imagenet_r,m1_glfc,0,8,9,1,0.4502923976608187,0.4853157121879589
imagenet_r,m1_glfc,0,9,9,0,0.38831615120274915,0.43717728055077454
imagenet_r,m1_glfc,1,0,0,0,0.7370242214532872,0.7608131487889274
imagenet_r,m1_glfc,1,0,1,1,0.6851211072664359,0.7002595155709342
imagenet_r,m1_glfc,1,0,2,2,0.7093425605536332,0.754757785467128
imagenet_r,m1_glfc,1,0,3,3,0.7301038062283737,0.7954152249134948
imagenet_r,m1_glfc,1,0,4,4,0.740484429065744,0.8062283737024222
imagenet_r,m1_glfc,1,0,5,5,0.7439446366782007,0.8114186851211073
imagenet_r,m1_glfc,1,0,6,6,0.7335640138408305,0.8109861591695502
imagenet_r,m1_glfc,1,0,7,7,0.71280276816609,0.8118512110726643
imagenet_r,m1_glfc,1,0,8,8,0.7058823529411765,0.8079584775086506
imagenet_r,m1_glfc,1,0,9,9,0.698961937716263,0.8066608996539792
imagenet_r,m1_glfc,1,1,1,0,0.5922865013774105,0.6040152301834545
imagenet_r,m1_glfc,1,1,2,1,0.6005509641873278,0.6285912080304603
imagenet_r,m1_glfc,1,1,3,2,0.6391184573002755,0.7106265143648322
imagenet_r,m1_glfc,1,1,4,3,0.628099173553719,0.7303565247490481
imagenet_r,m1_glfc,1,1,5,4,0.6418732782369146,0.7320872274143302
imagenet_r,m1_glfc,1,1,6,5,0.6556473829201102,0.7386638975424022
imagenet_r,m1_glfc,1,1,7,6,0.6528925619834711,0.7386638975424022
imagenet_r,m1_glfc,1,1,8,7,0.6391184573002755,0.7296642436829353
imagenet_r,m1_glfc,1,1,9,8,0.6446280991735537,0.7348563516787816
imagenet_r,m1_glfc,1,2,2,0,0.49056603773584906,0.5485252140818269
imagenet_r,m1_glfc,1,2,3,1,0.6,0.6669838249286394
imagenet_r,m1_glfc,1,2,4,2,0.6264150943396226,0.7169362511893435
imagenet_r,m1_glfc,1,2,5,3,0.6679245283018868,0.7411988582302569
imagenet_r,m1_glfc,1,2,6,4,0.6641509433962264,0.7607040913415795
imagenet_r,m1_glfc,1,2,7,5,0.6792452830188679,0.7645099904852521
imagenet_r,m1_glfc,1,2,8,6,0.6641509433962264,0.7607040913415795
imagenet_r,m1_glfc,1,2,9,7,0.6679245283018868,0.7702188392007612
imagenet_r,m1_glfc,1,3,3,0,0.4924924924924925,0.5572176514584891
imagenet_r,m1_glfc,1,3,4,1,0.5675675675675675,0.637247569184742
imagenet_r,m1_glfc,1,3,5,2,0.5915915915915916,0.6705310396409873
imagenet_r,m1_glfc,1,3,6,3,0.6186186186186187,0.7083021690351533
imagenet_r,m1_glfc,1,3,7,4,0.6276276276276276,0.7292445774121167
imagenet_r,m1_glfc,1,3,8,5,0.6336336336336337,0.7236350037397158
imagenet_r,m1_glfc,1,3,9,6,0.6306306306306306,0.7296185489902768
imagenet_r,m1_glfc,1,4,4,0,0.4194915254237288,0.5192815636555732
imagenet_r,m1_glfc,1,4,5,1,0.5254237288135594,0.6212361331220285
imagenet_r,m1_glfc,1,4,6,2,0.6059322033898306,0.6835710512414157
imagenet_r,m1_glfc,1,4,7,3,0.6186440677966102,0.7210776545166403
imagenet_r,m1_glfc,1,4,8,4,0.6271186440677966,0.7337559429477021
imagenet_r,m1_glfc,1,4,9,5,0.6271186440677966,0.745905969360803
imagenet_r,m1_glfc,1,5,5,0,0.47368421052631576,0.5284112872052571
imagenet_r,m1_glfc,1,5,6,1,0.56656346749226,0.6354851178971782
imagenet_r,m1_glfc,1,5,7,2,0.6130030959752322,0.6698879010436799
imagenet_r,m1_glfc,1,5,8,3,0.6346749226006192,0.6957866254348667
imagenet_r,m1_glfc,1,5,9,4,0.653250773993808,0.7015848473134906
imagenet_r,m1_glfc,1,6,6,0,0.391304347826087,0.4670558798999166
imagenet_r,m1_glfc,1,6,7,1,0.4882943143812709,0.5771476230191827
imagenet_r,m1_glfc,1,6,8,2,0.5451505016722408,0.6522101751459549
imagenet_r,m1_glfc,1,6,9,3,0.5518394648829431,0.689324437030859
imagenet_r,m1_glfc,1,7,7,0,0.4621212121212121,0.4678724416944312
imagenet_r,m1_glfc,1,7,8,1,0.5833333333333334,0.5711565920990005
imagenet_r,m1_glfc,1,7,9,2,0.6098484848484849,0.6415992384578773
imagenet_r,m1_glfc,1,8,8,0,0.43217665615141954,0.4405842874062377
imagenet_r,m1_glfc,1,8,9,1,0.5299684542586751,0.5554678247137781
imagenet_r,m1_glfc,1,9,9,0,0.36721311475409835,0.38863729930012353
imagenet_r,m1_glfc,2,0,0,0,0.7335640138408305,0.7842287694974004
imagenet_r,m1_glfc,2,0,1,1,0.6539792387543253,0.7131715771230502
imagenet_r,m1_glfc,2,0,2,2,0.6816608996539792,0.7577989601386482
imagenet_r,m1_glfc,2,0,3,3,0.7093425605536332,0.7833622183708839
imagenet_r,m1_glfc,2,0,4,4,0.7162629757785467,0.798526863084922
imagenet_r,m1_glfc,2,0,5,5,0.7058823529411765,0.8084922010398613
imagenet_r,m1_glfc,2,0,6,6,0.71280276816609,0.8123916811091855
imagenet_r,m1_glfc,2,0,7,7,0.698961937716263,0.8128249566724437
imagenet_r,m1_glfc,2,0,8,8,0.7024221453287197,0.8162911611785095
imagenet_r,m1_glfc,2,0,9,9,0.6851211072664359,0.8167244367417678
imagenet_r,m1_glfc,2,1,1,0,0.5882352941176471,0.6563991323210412
imagenet_r,m1_glfc,2,1,2,1,0.6539792387543253,0.7097613882863341
imagenet_r,m1_glfc,2,1,3,2,0.6782006920415224,0.7366594360086768
imagenet_r,m1_glfc,2,1,4,3,0.671280276816609,0.7691973969631236
imagenet_r,m1_glfc,2,1,5,4,0.6782006920415224,0.7843817787418655
imagenet_r,m1_glfc,2,1,6,5,0.6851211072664359,0.793058568329718
imagenet_r,m1_glfc,2,1,7,6,0.6851211072664359,0.806941431670282
imagenet_r,m1_glfc,2,1,8,7,0.6782006920415224,0.796529284164859
imagenet_r,m1_glfc,2,1,9,8,0.6782006920415224,0.796529284164859
imagenet_r,m1_glfc,2,2,2,0,0.5481727574750831,0.5731554814506045
imagenet_r,m1_glfc,2,2,3,1,0.5913621262458472,0.6552730304293456
