dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m2_target,0,0,0,0,0.7275862068965517,0.7837954939341422
imagenet_r,m2_target,0,0,1,1,0.7551724137931034,0.8279896013864818
imagenet_r,m2_target,0,0,2,2,0.7241379310344828,0.7954939341421143
imagenet_r,m2_target,0,0,3,3,0.6862068965517242,0.7707972270363952
imagenet_r,m2_target,0,0,4,4,0.6896551724137931,0.7673310225303293
imagenet_r,m2_target,0,0,5,5,0.6413793103448275,0.7474003466204506
imagenet_r,m2_target,0,0,6,6,0.6206896551724138,0.7318024263431543
imagenet_r,m2_target,0,0,7,7,0.6103448275862069,0.7123050259965338
imagenet_r,m2_target,0,0,8,8,0.603448275862069,0.7136048526863085
imagenet_r,m2_target,0,0,9,9,0.6137931034482759,0.7157712305025996
imagenet_r,m2_target,0,1,1,0,0.5932203389830508,0.6683608640406608
imagenet_r,m2_target,0,1,2,1,0.6474576271186441,0.783142736128759
imagenet_r,m2_target,0,1,3,2,0.6644067796610169,0.7755188479457857
imagenet_r,m2_target,0,1,4,3,0.6169491525423729,0.7416349004659043
imagenet_r,m2_target,0,1,5,4,0.5966101694915255,0.734011012282931
imagenet_r,m2_target,0,1,6,5,0.5932203389830508,0.7407878017789072
imagenet_r,m2_target,0,1,7,6,0.5796610169491525,0.7132570944515036
imagenet_r,m2_target,0,1,8,7,0.5966101694915255,0.7276577721304532
imagenet_r,m2_target,0,1,9,8,0.5830508474576271,0.7043625582380347
imagenet_r,m2_target,0,2,2,0,0.5422535211267606,0.5889034512887724
imagenet_r,m2_target,0,2,3,1,0.6866197183098591,0.7601572739187418
imagenet_r,m2_target,0,2,4,2,0.704225352112676,0.7702053298383573
imagenet_r,m2_target,0,2,5,3,0.6830985915492958,0.7501092179991262
imagenet_r,m2_target,0,2,6,4,0.6866197183098591,0.7483617300131061
imagenet_r,m2_target,0,2,7,5,0.676056338028169,0.7295762341633901
imagenet_r,m2_target,0,2,8,6,0.6619718309859155,0.7348186981214504
imagenet_r,m2_target,0,2,9,7,0.6619718309859155,0.7252075141983398
imagenet_r,m2_target,0,3,3,0,0.5084745762711864,0.5780590717299579
imagenet_r,m2_target,0,3,4,1,0.6813559322033899,0.7793248945147679
imagenet_r,m2_target,0,3,5,2,0.688135593220339,0.7784810126582279
imagenet_r,m2_target,0,3,6,3,0.688135593220339,0.7784810126582279
imagenet_r,m2_target,0,3,7,4,0.6813559322033899,0.7683544303797468
imagenet_r,m2_target,0,3,8,5,0.6847457627118644,0.7717299578059071
imagenet_r,m2_target,0,3,9,6,0.6508474576271186,0.7464135021097047
imagenet_r,m2_target,0,4,4,0,0.4150326797385621,0.49897582957804176
imagenet_r,m2_target,0,4,5,1,0.5686274509803921,0.6927488734125359
imagenet_r,m2_target,0,4,6,2,0.565359477124183,0.7083162638263008
imagenet_r,m2_target,0,4,7,3,0.5751633986928104,0.7070872593199509
imagenet_r,m2_target,0,4,8,4,0.5686274509803921,0.6911102007374027
imagenet_r,m2_target,0,4,9,5,0.5816993464052288,0.6853748463744367
imagenet_r,m2_target,0,5,5,0,0.6069182389937107,0.6071569012976799
imagenet_r,m2_target,0,5,6,1,0.7452830188679245,0.7656311443177349
imagenet_r,m2_target,0,5,7,2,0.7578616352201258,0.7723161620133701
imagenet_r,m2_target,0,5,8,3,0.7547169811320755,0.7683837986629964
imagenet_r,m2_target,0,5,9,4,0.7484276729559748,0.7632717263075108
imagenet_r,m2_target,0,6,6,0,0.564625850340136,0.5849701110162254
imagenet_r,m2_target,0,6,7,1,0.6938775510204082,0.71733561058924
imagenet_r,m2_target,0,6,8,2,0.6802721088435374,0.7382578992314262
imagenet_r,m2_target,0,6,9,3,0.6768707482993197,0.7263023057216055
imagenet_r,m2_target,0,7,7,0,0.46953405017921146,0.49097472924187724
imagenet_r,m2_target,0,7,8,1,0.6344086021505376,0.6949458483754513
imagenet_r,m2_target,0,7,9,2,0.6523297491039427,0.7166064981949458
imagenet_r,m2_target,0,8,8,0,0.3888888888888889,0.44823788546255505
imagenet_r,m2_target,0,8,9,1,0.5409356725146199,0.604258443465492
imagenet_r,m2_target,0,9,9,0,0.4570446735395189,0.48709122203098104
imagenet_r,m2_target,1,0,0,0,0.7370242214532872,0.7564878892733564
imagenet_r,m2_target,1,0,1,1,0.7370242214532872,0.8040657439446367
imagenet_r,m2_target,1,0,2,2,0.7508650519031141,0.8179065743944637
imagenet_r,m2_target,1,0,3,3,0.7716262975778547,0.8118512110726643
imagenet_r,m2_target,1,0,4,4,0.7162629757785467,0.7807093425605537
imagenet_r,m2_target,1,0,5,5,0.6885813148788927,0.773356401384083
imagenet_r,m2_target,1,0,6,6,0.6782006920415224,0.773356401384083
imagenet_r,m2_target,1,0,7,7,0.6747404844290658,0.7582179930795848
imagenet_r,m2_target,1,0,8,8,0.6643598615916955,0.754325259515571
imagenet_r,m2_target,1,0,9,9,0.657439446366782,0.740916955017301
imagenet_r,m2_target,1,1,1,0,0.6308539944903582,0.6881273797161648
imagenet_r,m2_target,1,1,2,1,0.7162534435261708,0.7715472481827622
imagenet_r,m2_target,1,1,3,2,0.6584022038567493,0.7435098650051921
imagenet_r,m2_target,1,1,4,3,0.650137741046832,0.7244721356870889
imagenet_r,m2_target,1,1,5,4,0.6391184573002755,0.7189338871581862
imagenet_r,m2_target,1,1,6,5,0.6446280991735537,0.702319141571478
imagenet_r,m2_target,1,1,7,6,0.6363636363636364,0.7054344063689858
imagenet_r,m2_target,1,1,8,7,0.6088154269972452,0.6805122879889235
imagenet_r,m2_target,1,1,9,8,0.6033057851239669,0.6728971962616822
imagenet_r,m2_target,1,2,2,0,0.5547169811320755,0.609895337773549
imagenet_r,m2_target,1,2,3,1,0.690566037735849,0.7697431018078021
imagenet_r,m2_target,1,2,4,2,0.690566037735849,0.7588011417697431
imagenet_r,m2_target,1,2,5,3,0.6641509433962264,0.7497621313035204
imagenet_r,m2_target,1,2,6,4,0.6415094339622641,0.7388201712654615
imagenet_r,m2_target,1,2,7,5,0.630188679245283,0.741674595623216
imagenet_r,m2_target,1,2,8,6,0.630188679245283,0.735965746907707
imagenet_r,m2_target,1,2,9,7,0.6415094339622641,0.7274024738344433
imagenet_r,m2_target,1,3,3,0,0.4744744744744745,0.5516080777860882
imagenet_r,m2_target,1,3,4,1,0.6366366366366366,0.7333582647718774
imagenet_r,m2_target,1,3,5,2,0.6576576576576577,0.7423335826477188
imagenet_r,m2_target,1,3,6,3,0.6426426426426426,0.7471952131637996
imagenet_r,m2_target,1,3,7,4,0.6456456456456456,0.7326103216155572
imagenet_r,m2_target,1,3,8,5,0.6516516516516516,0.7202692595362753
imagenet_r,m2_target,1,3,9,6,0.6216216216216216,0.718773373223635
imagenet_r,m2_target,1,4,4,0,0.5169491525423728,0.5995773903856313
imagenet_r,m2_target,1,4,5,1,0.6440677966101694,0.7638668779714739
imagenet_r,m2_target,1,4,6,2,0.6228813559322034,0.7606973058637084
imagenet_r,m2_target,1,4,7,3,0.6271186440677966,0.7548864236661385
imagenet_r,m2_target,1,4,8,4,0.6313559322033898,0.7527733755942948
imagenet_r,m2_target,1,4,9,5,0.6271186440677966,0.7506603275224512
imagenet_r,m2_target,1,5,5,0,0.4551083591331269,0.5330498647081562
imagenet_r,m2_target,1,5,6,1,0.6470588235294118,0.7108620023192888
imagenet_r,m2_target,1,5,7,2,0.6625386996904025,0.7267104754541941
imagenet_r,m2_target,1,5,8,3,0.6563467492260062,0.7178198685736374
imagenet_r,m2_target,1,5,9,4,0.6470588235294118,0.705836876691148
imagenet_r,m2_target,1,6,6,0,0.4682274247491639,0.530859049207673
imagenet_r,m2_target,1,6,7,1,0.5819397993311036,0.6934945788156798
imagenet_r,m2_target,1,6,8,2,0.6020066889632107,0.6968306922435363
imagenet_r,m2_target,1,6,9,3,0.5919732441471572,0.7014178482068391
imagenet_r,m2_target,1,7,7,0,0.5,0.532603522132318
imagenet_r,m2_target,1,7,8,1,0.6704545454545454,0.7168015230842456
imagenet_r,m2_target,1,7,9,2,0.7007575757575758,0.7467872441694431
imagenet_r,m2_target,1,8,8,0,0.4921135646687697,0.5049348598499802
imagenet_r,m2_target,1,8,9,1,0.6246056782334385,0.6589024871693644
imagenet_r,m2_target,1,9,9,0,0.40327868852459015,0.4676821737340469
imagenet_r,m2_target,2,0,0,0,0.7439446366782007,0.8019930675909879
imagenet_r,m2_target,2,0,1,1,0.7612456747404844,0.8175909878682842
imagenet_r,m2_target,2,0,2,2,0.7197231833910035,0.811525129982669
imagenet_r,m2_target,2,0,3,3,0.7024221453287197,0.7885615251299827
imagenet_r,m2_target,2,0,4,4,0.6643598615916955,0.7707972270363952
imagenet_r,m2_target,2,0,5,5,0.6643598615916955,0.7642980935875217
imagenet_r,m2_target,2,0,6,6,0.6505190311418685,0.7530329289428076
imagenet_r,m2_target,2,0,7,7,0.629757785467128,0.75736568457539
imagenet_r,m2_target,2,0,8,8,0.615916955017301,0.7512998266897747
imagenet_r,m2_target,2,0,9,9,0.6262975778546713,0.7534662045060658
imagenet_r,m2_target,2,1,1,0,0.5882352941176471,0.6702819956616052
imagenet_r,m2_target,2,1,2,1,0.7508650519031141,0.8281995661605206
imagenet_r,m2_target,2,1,3,2,0.7024221453287197,0.7926247288503254
imagenet_r,m2_target,2,1,4,3,0.6920415224913494,0.7822125813449023
imagenet_r,m2_target,2,1,5,4,0.6747404844290658,0.7639913232104122
imagenet_r,m2_target,2,1,6,5,0.6643598615916955,0.7505422993492408
imagenet_r,m2_target,2,1,7,6,0.6539792387543253,0.7457700650759219
imagenet_r,m2_target,2,1,8,7,0.6366782006920415,0.7414316702819956
imagenet_r,m2_target,2,1,9,8,0.643598615916955,0.7444685466377441
imagenet_r,m2_target,2,2,2,0,0.5780730897009967,0.6123384743643184
imagenet_r,m2_target,2,2,3,1,0.6677740863787376,0.7728220091704877
imagenet_r,m2_target,2,2,4,2,0.6910299003322259,0.7624010004168403
imagenet_r,m2_target,2,2,5,3,0.6445182724252492,0.7394747811588162
imagenet_r,m2_target,2,2,6,4,0.6611295681063123,0.7403084618591079
imagenet_r,m2_target,2,2,7,5,0.6478405315614618,0.7273864110045852
imagenet_r,m2_target,2,2,8,6,0.654485049833887,0.7286369320550229
imagenet_r,m2_target,2,2,9,7,0.6611295681063123,0.7311379741558983
imagenet_r,m2_target,2,3,3,0,0.5448275862068965,0.5901639344262295
imagenet_r,m2_target,2,3,4,1,0.6655172413793103,0.7437446074201898
imagenet_r,m2_target,2,3,5,2,0.6482758620689655,0.724762726488352
imagenet_r,m2_target,2,3,6,3,0.6344827586206897,0.7299396031061259
imagenet_r,m2_target,2,3,7,4,0.6586206896551724,0.7286453839516824
imagenet_r,m2_target,2,3,8,5,0.6413793103448275,0.724762726488352
