dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m3_fot,0,0,0,0,0.7344827586206897,0.7876949740034662
imagenet_r,m3_fot,0,0,1,1,0.5103448275862069,0.5810225303292894
imagenet_r,m3_fot,0,0,2,2,0.5172413793103449,0.5654246100519931
imagenet_r,m3_fot,0,0,3,3,0.4793103448275862,0.5342287694974004
imagenet_r,m3_fot,0,0,4,4,0.4413793103448276,0.48570190641247835
imagenet_r,m3_fot,0,0,5,5,0.4379310344827586,0.5082322357019065
imagenet_r,m3_fot,0,0,6,6,0.46551724137931033,0.5272963604852686
imagenet_r,m3_fot,0,0,7,7,0.4413793103448276,0.5069324090121318
imagenet_r,m3_fot,0,0,8,8,0.45517241379310347,0.5051993067590987
imagenet_r,m3_fot,0,0,9,9,0.43103448275862066,0.5025996533795494
imagenet_r,m3_fot,0,1,1,0,0.6237288135593221,0.6814908936891148
imagenet_r,m3_fot,0,1,2,1,0.3728813559322034,0.4362558238034731
imagenet_r,m3_fot,0,1,3,2,0.3288135593220339,0.37950021177467175
imagenet_r,m3_fot,0,1,4,3,0.3152542372881356,0.38246505717916135
imagenet_r,m3_fot,0,1,5,4,0.3220338983050847,0.40533672172808133
imagenet_r,m3_fot,0,1,6,5,0.3593220338983051,0.45743329097839897
imagenet_r,m3_fot,0,1,7,6,0.36610169491525424,0.4531977975434138
imagenet_r,m3_fot,0,1,8,7,0.38305084745762713,0.4692926725963575
imagenet_r,m3_fot,0,1,9,8,0.3593220338983051,0.4557390936044049
imagenet_r,m3_fot,0,2,2,0,0.6408450704225352,0.7138488422892093
imagenet_r,m3_fot,0,2,3,1,0.4119718309859155,0.45172564438619484
imagenet_r,m3_fot,0,2,4,2,0.40492957746478875,0.43556138051550897
imagenet_r,m3_fot,0,2,5,3,0.4084507042253521,0.45565749235474007
imagenet_r,m3_fot,0,2,6,4,0.44366197183098594,0.472258628221931
imagenet_r,m3_fot,0,2,7,5,0.4014084507042254,0.4346876365224989
imagenet_r,m3_fot,0,2,8,6,0.4471830985915493,0.4783748361730013
imagenet_r,m3_fot,0,2,9,7,0.4154929577464789,0.4521625163826999
imagenet_r,m3_fot,0,3,3,0,0.7830508474576271,0.8046413502109705
imagenet_r,m3_fot,0,3,4,1,0.43050847457627117,0.4620253164556962
imagenet_r,m3_fot,0,3,5,2,0.4406779661016949,0.47890295358649787
imagenet_r,m3_fot,0,3,6,3,0.46440677966101696,0.5358649789029536
