dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m4_proto,0,0,0,0,0.6931034482758621,0.7400346620450606
imagenet_r,m4_proto,0,0,1,1,0.6068965517241379,0.6681109185441941
imagenet_r,m4_proto,0,0,2,2,0.5413793103448276,0.6412478336221837
imagenet_r,m4_proto,0,0,3,3,0.5206896551724138,0.6200173310225303
imagenet_r,m4_proto,0,0,4,4,0.5,0.598786828422877
imagenet_r,m4_proto,0,0,5,5,0.4827586206896552,0.5879549393414212
imagenet_r,m4_proto,0,0,6,6,0.47586206896551725,0.57842287694974
imagenet_r,m4_proto,0,0,7,7,0.45517241379310347,0.5511265164644714
imagenet_r,m4_proto,0,0,8,8,0.4379310344827586,0.5294627383015598
imagenet_r,m4_proto,0,0,9,9,0.43103448275862066,0.5216637781629117
imagenet_r,m4_proto,0,1,1,0,0.5559322033898305,0.6696315120711563
imagenet_r,m4_proto,0,1,2,1,0.5220338983050847,0.6387124099957645
imagenet_r,m4_proto,0,1,3,2,0.488135593220339,0.602287166454892
imagenet_r,m4_proto,0,1,4,3,0.4745762711864407,0.5836509953409572
imagenet_r,m4_proto,0,1,5,4,0.4576271186440678,0.5709445150360017
imagenet_r,m4_proto,0,1,6,5,0.4440677966101695,0.5628970775095299
imagenet_r,m4_proto,0,1,7,6,0.43389830508474575,0.5527318932655655
imagenet_r,m4_proto,0,1,8,7,0.4271186440677966,0.5404489623041084
imagenet_r,m4_proto,0,1,9,8,0.4135593220338983,0.5226598898771707
imagenet_r,m4_proto,0,2,2,0,0.5985915492957746,0.6439493228484054
imagenet_r,m4_proto,0,2,3,1,0.5774647887323944,0.6308431629532547
imagenet_r,m4_proto,0,2,4,2,0.5598591549295775,0.6107470511140236
imagenet_r,m4_proto,0,2,5,3,0.545774647887324,0.599825251201398
imagenet_r,m4_proto,0,2,6,4,0.5352112676056338,0.5862822193097422
imagenet_r,m4_proto,0,2,7,5,0.5105633802816901,0.5688073394495413
imagenet_r,m4_proto,0,2,8,6,0.4859154929577465,0.5548274355613805
imagenet_r,m4_proto,0,2,9,7,0.4612676056338028,0.5386631716906947
imagenet_r,m4_proto,0,3,3,0,0.6305084745762712,0.6789029535864979
imagenet_r,m4_proto,0,3,4,1,0.6067796610169491,0.6561181434599156
imagenet_r,m4_proto,0,3,5,2,0.5830508474576271,0.6421940928270042
imagenet_r,m4_proto,0,3,6,3,0.5728813559322034,0.6350210970464135
imagenet_r,m4_proto,0,3,7,4,0.5627118644067797,0.6274261603375527
imagenet_r,m4_proto,0,3,8,5,0.559322033898305,0.6189873417721519
imagenet_r,m4_proto,0,3,9,6,0.5525423728813559,0.6084388185654008
imagenet_r,m4_proto,0,4,4,0,0.5196078431372549,0.5710774272839001
imagenet_r,m4_proto,0,4,5,1,0.49673202614379086,0.5575583777140516
imagenet_r,m4_proto,0,4,6,2,0.48366013071895425,0.5489553461696026
imagenet_r,m4_proto,0,4,7,3,0.4673202614379085,0.5403523146251537
imagenet_r,m4_proto,0,4,8,4,0.4477124183006536,0.5292912740680049
