dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m5_hybrid_replay,0,0,0,0,0.7275862068965517,0.7837954939341422
imagenet_r,m5_hybrid_replay,0,0,1,1,0.6724137931034483,0.7435008665511266
imagenet_r,m5_hybrid_replay,0,0,2,2,0.7275862068965517,0.811525129982669
imagenet_r,m5_hybrid_replay,0,0,3,3,0.6655172413793103,0.779896013864818
imagenet_r,m5_hybrid_replay,0,0,4,4,0.6827586206896552,0.7898613518197574
imagenet_r,m5_hybrid_replay,0,0,5,5,0.6862068965517242,0.798526863084922
imagenet_r,m5_hybrid_replay,0,0,6,6,0.6655172413793103,0.7863951473136915
imagenet_r,m5_hybrid_replay,0,0,7,7,0.6482758620689655,0.774263431542461
imagenet_r,m5_hybrid_replay,0,0,8,8,0.6586206896551724,0.7829289428076257
imagenet_r,m5_hybrid_replay,0,0,9,9,0.6551724137931034,0.7889948006932409
imagenet_r,m5_hybrid_replay,0,1,1,0,0.6067796610169491,0.7047861075815333
imagenet_r,m5_hybrid_replay,0,1,2,1,0.6135593220338983,0.7191867852604829
imagenet_r,m5_hybrid_replay,0,1,3,2,0.6067796610169491,0.746293943244388
imagenet_r,m5_hybrid_replay,0,1,4,3,0.6237288135593221,0.770012706480305
imagenet_r,m5_hybrid_replay,0,1,5,4,0.6169491525423729,0.7793307920372723
imagenet_r,m5_hybrid_replay,0,1,6,5,0.6135593220338983,0.7789072426937739
imagenet_r,m5_hybrid_replay,0,1,7,6,0.6338983050847458,0.7784836933502753
imagenet_r,m5_hybrid_replay,0,1,8,7,0.6101694915254238,0.772554002541296
imagenet_r,m5_hybrid_replay,0,1,9,8,0.5932203389830508,0.7704362558238035
imagenet_r,m5_hybrid_replay,0,2,2,0,0.5985915492957746,0.654434250764526
imagenet_r,m5_hybrid_replay,0,2,3,1,0.6725352112676056,0.7422455220620359
imagenet_r,m5_hybrid_replay,0,2,4,2,0.7077464788732394,0.7640891218872871
imagenet_r,m5_hybrid_replay,0,2,5,3,0.7147887323943662,0.7750109217999126
imagenet_r,m5_hybrid_replay,0,2,6,4,0.6830985915492958,0.7640891218872871
imagenet_r,m5_hybrid_replay,0,2,7,5,0.6830985915492958,0.7675840978593272
imagenet_r,m5_hybrid_replay,0,2,8,6,0.6725352112676056,0.7592835299257318
imagenet_r,m5_hybrid_replay,0,2,9,7,0.6690140845070423,0.7605941459152469
imagenet_r,m5_hybrid_replay,0,3,3,0,0.6101694915254238,0.6759493670886076
imagenet_r,m5_hybrid_replay,0,3,4,1,0.6983050847457627,0.7713080168776372
imagenet_r,m5_hybrid_replay,0,3,5,2,0.6949152542372882,0.7818565400843882
imagenet_r,m5_hybrid_replay,0,3,6,3,0.6915254237288135,0.810126582278481
imagenet_r,m5_hybrid_replay,0,3,7,4,0.7152542372881356,0.8219409282700422
imagenet_r,m5_hybrid_replay,0,3,8,5,0.6644067796610169,0.8084388185654009
imagenet_r,m5_hybrid_replay,0,3,9,6,0.6677966101694915,0.8071729957805908
imagenet_r,m5_hybrid_replay,0,4,4,0,0.4934640522875817,0.5772224498156493
imagenet_r,m5_hybrid_replay,0,4,5,1,0.6078431372549019,0.7050389184760344
imagenet_r,m5_hybrid_replay,0,4,6,2,0.5980392156862745,0.7275706677591152
imagenet_r,m5_hybrid_replay,0,4,7,3,0.6078431372549019,0.7279803359278983
imagenet_r,m5_hybrid_replay,0,4,8,4,0.5882352941176471,0.7255223269151987
imagenet_r,m5_hybrid_replay,0,4,9,5,0.5849673202614379,0.7287996722654649
imagenet_r,m5_hybrid_replay,0,5,5,0,0.6666666666666666,0.6618167518678726
imagenet_r,m5_hybrid_replay,0,5,6,1,0.7169811320754716,0.7632717263075108
imagenet_r,m5_hybrid_replay,0,5,7,2,0.7389937106918238,0.7915847424302006
imagenet_r,m5_hybrid_replay,0,5,8,3,0.7421383647798742,0.8037750688163586
imagenet_r,m5_hybrid_replay,0,5,9,4,0.7421383647798742,0.8183248132127409
imagenet_r,m5_hybrid_replay,0,6,6,0,0.6054421768707483,0.6473099914602903
imagenet_r,m5_hybrid_replay,0,6,7,1,0.6972789115646258,0.7455166524338173
imagenet_r,m5_hybrid_replay,0,6,8,2,0.7074829931972789,0.7643040136635354
imagenet_r,m5_hybrid_replay,0,6,9,3,0.6972789115646258,0.7664389410760034
imagenet_r,m5_hybrid_replay,0,7,7,0,0.5089605734767025,0.5464801444043321
imagenet_r,m5_hybrid_replay,0,7,8,1,0.6021505376344086,0.6863718411552346
imagenet_r,m5_hybrid_replay,0,7,9,2,0.6738351254480287,0.7653429602888087
imagenet_r,m5_hybrid_replay,0,8,8,0,0.4502923976608187,0.5066079295154186
imagenet_r,m5_hybrid_replay,0,8,9,1,0.5701754385964912,0.6123348017621145
imagenet_r,m5_hybrid_replay,0,9,9,0,0.5051546391752577,0.5451807228915663
imagenet_r,m5_hybrid_replay,1,0,0,0,0.7370242214532872,0.7564878892733564
imagenet_r,m5_hybrid_replay,1,0,1,1,0.6608996539792388,0.7525951557093425
imagenet_r,m5_hybrid_replay,1,0,2,2,0.7785467128027682,0.8313148788927336
imagenet_r,m5_hybrid_replay,1,0,3,3,0.7716262975778547,0.8429930795847751
imagenet_r,m5_hybrid_replay,1,0,4,4,0.7370242214532872,0.8261245674740484
imagenet_r,m5_hybrid_replay,1,0,5,5,0.7162629757785467,0.8261245674740484
imagenet_r,m5_hybrid_replay,1,0,6,6,0.7093425605536332,0.8217993079584776
imagenet_r,m5_hybrid_replay,1,0,7,7,0.6782006920415224,0.8131487889273357
imagenet_r,m5_hybrid_replay,1,0,8,8,0.6747404844290658,0.8161764705882353
imagenet_r,m5_hybrid_replay,1,0,9,9,0.657439446366782,0.8096885813148789
imagenet_r,m5_hybrid_replay,1,1,1,0,0.6831955922865014,0.7431637244721356
imagenet_r,m5_hybrid_replay,1,1,2,1,0.6446280991735537,0.7244721356870889
imagenet_r,m5_hybrid_replay,1,1,3,2,0.6418732782369146,0.7334717895465559
imagenet_r,m5_hybrid_replay,1,1,4,3,0.6528925619834711,0.7497403946002077
imagenet_r,m5_hybrid_replay,1,1,5,4,0.6584022038567493,0.7556247836621668
imagenet_r,m5_hybrid_replay,1,1,6,5,0.6446280991735537,0.7355486327448945
imagenet_r,m5_hybrid_replay,1,1,7,6,0.6336088154269972,0.7317410868812738
imagenet_r,m5_hybrid_replay,1,1,8,7,0.6336088154269972,0.7307026652821045
imagenet_r,m5_hybrid_replay,1,1,9,8,0.6088154269972452,0.7227414330218068
imagenet_r,m5_hybrid_replay,1,2,2,0,0.6377358490566037,0.6969552806850619
imagenet_r,m5_hybrid_replay,1,2,3,1,0.6943396226415094,0.7626070409134158
imagenet_r,m5_hybrid_replay,1,2,4,2,0.6716981132075471,0.7668886774500476
imagenet_r,m5_hybrid_replay,1,2,5,3,0.660377358490566,0.7811607992388202
imagenet_r,m5_hybrid_replay,1,2,6,4,0.6415094339622641,0.7859181731684111
imagenet_r,m5_hybrid_replay,1,2,7,5,0.6490566037735849,0.7906755470980019
imagenet_r,m5_hybrid_replay,1,2,8,6,0.630188679245283,0.7840152235965747
imagenet_r,m5_hybrid_replay,1,2,9,7,0.6415094339622641,0.7940057088487155
imagenet_r,m5_hybrid_replay,1,3,3,0,0.5675675675675675,0.6454749439042633
imagenet_r,m5_hybrid_replay,1,3,4,1,0.6336336336336337,0.737471952131638
imagenet_r,m5_hybrid_replay,1,3,5,2,0.6606606606606606,0.7591623036649214
imagenet_r,m5_hybrid_replay,1,3,6,3,0.6516516516516516,0.7569184741959611
imagenet_r,m5_hybrid_replay,1,3,7,4,0.6696696696696697,0.7718773373223635
imagenet_r,m5_hybrid_replay,1,3,8,5,0.6456456456456456,0.7524308152580403
imagenet_r,m5_hybrid_replay,1,3,9,6,0.6306306306306306,0.7591623036649214
imagenet_r,m5_hybrid_replay,1,4,4,0,0.5254237288135594,0.6497622820919176
imagenet_r,m5_hybrid_replay,1,4,5,1,0.6483050847457628,0.7591125198098256
imagenet_r,m5_hybrid_replay,1,4,6,2,0.6398305084745762,0.7812995245641838
imagenet_r,m5_hybrid_replay,1,4,7,3,0.6398305084745762,0.791864764923402
imagenet_r,m5_hybrid_replay,1,4,8,4,0.6483050847457628,0.7902799788695193
imagenet_r,m5_hybrid_replay,1,4,9,5,0.6440677966101694,0.808769149498151
imagenet_r,m5_hybrid_replay,1,5,5,0,0.5572755417956656,0.6215693853884808
imagenet_r,m5_hybrid_replay,1,5,6,1,0.6656346749226006,0.7506764592191728
imagenet_r,m5_hybrid_replay,1,5,7,2,0.6749226006191951,0.7603401623502126
imagenet_r,m5_hybrid_replay,1,5,8,3,0.6625386996904025,0.758020873598763
imagenet_r,m5_hybrid_replay,1,5,9,4,0.6687306501547987,0.7537688442211056
imagenet_r,m5_hybrid_replay,1,6,6,0,0.4983277591973244,0.5892410341951626
imagenet_r,m5_hybrid_replay,1,6,7,1,0.6120401337792643,0.713094245204337
imagenet_r,m5_hybrid_replay,1,6,8,2,0.6153846153846154,0.7522935779816514
imagenet_r,m5_hybrid_replay,1,6,9,3,0.6220735785953178,0.7718932443703086
imagenet_r,m5_hybrid_replay,1,7,7,0,0.5265151515151515,0.5630652070442647
imagenet_r,m5_hybrid_replay,1,7,8,1,0.6666666666666666,0.7210851975249881
imagenet_r,m5_hybrid_replay,1,7,9,2,0.678030303030303,0.7753450737743931
imagenet_r,m5_hybrid_replay,1,8,8,0,0.5141955835962145,0.5286221871298855
imagenet_r,m5_hybrid_replay,1,8,9,1,0.637223974763407,0.6762731938412949
imagenet_r,m5_hybrid_replay,1,9,9,0,0.419672131147541,0.4973240016467682
imagenet_r,m5_hybrid_replay,2,0,0,0,0.7439446366782007,0.8019930675909879
