dataset,method,seed,task_k,task_T,elapsed,acc,acc_train
imagenet_r,m8_analytic,0,0,0,0,0.7931034482758621,0.9878682842287695
imagenet_r,m8_analytic,0,0,1,1,0.7482758620689656,0.9432409012131716
imagenet_r,m8_analytic,0,0,2,2,0.7,0.895580589254766
imagenet_r,m8_analytic,0,0,3,3,0.6724137931034483,0.8548526863084922
imagenet_r,m8_analytic,0,0,4,4,0.6586206896551724,0.8106585788561526
imagenet_r,m8_analytic,0,0,5,5,0.6137931034482759,0.7785961871750433
imagenet_r,m8_analytic,0,0,6,6,0.6,0.7508665511265165
imagenet_r,m8_analytic,0,0,7,7,0.6,0.729636048526863
imagenet_r,m8_analytic,0,0,8,8,0.5862068965517241,0.7053726169844021
imagenet_r,m8_analytic,0,0,9,9,0.5758620689655173,0.6910745233968805
imagenet_r,m8_analytic,0,1,1,0,0.7322033898305085,0.9453621346886912
imagenet_r,m8_analytic,0,1,2,1,0.7152542372881356,0.9030072003388395
imagenet_r,m8_analytic,0,1,3,2,0.6576271186440678,0.8479457856840322
imagenet_r,m8_analytic,0,1,4,3,0.6372881355932203,0.8051673019906819
imagenet_r,m8_analytic,0,1,5,4,0.6135593220338983,0.7767894959762812
imagenet_r,m8_analytic,0,1,6,5,0.6067796610169491,0.7518000847098687
imagenet_r,m8_analytic,0,1,7,6,0.5864406779661017,0.7361287590004235
imagenet_r,m8_analytic,0,1,8,7,0.576271186440678,0.7064803049555273
imagenet_r,m8_analytic,0,1,9,8,0.559322033898305,0.6937738246505718
imagenet_r,m8_analytic,0,2,2,0,0.7394366197183099,0.8964613368283093
imagenet_r,m8_analytic,0,2,3,1,0.7183098591549296,0.8593272171253823
imagenet_r,m8_analytic,0,2,4,2,0.7147887323943662,0.8256880733944955
imagenet_r,m8_analytic,0,2,5,3,0.6654929577464789,0.7981651376146789
imagenet_r,m8_analytic,0,2,6,4,0.6654929577464789,0.7767584097859327
imagenet_r,m8_analytic,0,2,7,5,0.6267605633802817,0.7422455220620359
imagenet_r,m8_analytic,0,2,8,6,0.6197183098591549,0.7269550021843599
imagenet_r,m8_analytic,0,2,9,7,0.6126760563380281,0.7112276103101791
imagenet_r,m8_analytic,0,3,3,0,0.7966101694915254,0.8995780590717299
imagenet_r,m8_analytic,0,3,4,1,0.7796610169491526,0.8725738396624473
imagenet_r,m8_analytic,0,3,5,2,0.7423728813559322,0.8455696202531645
imagenet_r,m8_analytic,0,3,6,3,0.7288135593220338,0.8202531645569621
imagenet_r,m8_analytic,0,3,7,4,0.7186440677966102,0.8075949367088607
imagenet_r,m8_analytic,0,3,8,5,0.6983050847457627,0.7928270042194093
imagenet_r,m8_analytic,0,3,9,6,0.6915254237288135,0.7784810126582279
imagenet_r,m8_analytic,0,4,4,0,0.6830065359477124,0.8381810733306022
imagenet_r,m8_analytic,0,4,5,1,0.6535947712418301,0.8119623105284719
imagenet_r,m8_analytic,0,4,6,2,0.6241830065359477,0.7845145432199918
imagenet_r,m8_analytic,0,4,7,3,0.6241830065359477,0.77181482998771
imagenet_r,m8_analytic,0,4,8,4,0.6013071895424836,0.7443670626792298
