dataset,method,family,view,h_acc,h_leak,ratio,ratio_ci_lo,ratio_ci_hi,ratio_type
cifar100,m0_fedavg,F1,full,0.8735735138004246,6.0,6.868340105570957,,,lower_bound
cub200,m0_fedavg,F1,full,2.221483661856378,1.0815769845498135,0.48687145582965763,,,point
imagenet_r,m0_fedavg,F1,full,0.7587912120292266,6.0,7.907313507169211,,,lower_bound
cifar100,m1_glfc,F1,full,6.0,6.0,,,,undefined
cifar100,m2_target,F1,full,6.0,6.0,,,,undefined
cifar100,m3_fot,F1,full,6.0,6.0,,,,undefined
cifar100,m5_hybrid_replay,F1,full,6.0,6.0,,,,undefined
cifar100,m4_proto,F2,full,6.0,6.0,,,,by_construction
cifar100,m4_proto,F2,aggregate,6.0,6.0,,,,undefined
cifar100,m4_proto,F2,global,6.0,6.0,,,,undefined
cifar100,m8_analytic,F5,full,6.0,6.0,,,,by_construction
cifar100,m8_analytic,F5,aggregate,6.0,6.0,,,,undefined
cifar100,m8_analytic,F5,global,6.0,6.0,,,,undefined
cub200,m1_glfc,F1,full,6.0,4.471076923076924,,,,undefined
cub200,m2_target,F1,full,6.0,6.0,,,,undefined
cub200,m3_fot,F1,full,6.0,6.0,,,,undefined
cub200,m5_hybrid_replay,F1,full,6.0,6.0,,,,undefined
cub200,m4_proto,F2,full,6.0,6.0,,,,by_construction
cub200,m4_proto,F2,aggregate,6.0,6.0,,,,undefined
cub200,m4_proto,F2,global,6.0,6.0,,,,undefined
cub200,m8_analytic,F5,full,6.0,6.0,,,,by_construction
cub200,m8_analytic,F5,aggregate,6.0,6.0,,,,undefined
cub200,m8_analytic,F5,global,6.0,6.0,,,,undefined
imagenet_r,m1_glfc,F1,full,6.0,6.0,,,,undefined
imagenet_r,m2_target,F1,full,6.0,6.0,,,,undefined
imagenet_r,m3_fot,F1,full,6.0,6.0,,,,undefined
imagenet_r,m5_hybrid_replay,F1,full,6.0,6.0,,,,undefined
imagenet_r,m4_proto,F2,full,6.0,6.0,,,,by_construction
imagenet_r,m4_proto,F2,aggregate,6.0,6.0,,,,undefined
imagenet_r,m4_proto,F2,global,6.0,6.0,,,,undefined
imagenet_r,m8_analytic,F5,full,6.0,6.0,,,,by_construction
imagenet_r,m8_analytic,F5,aggregate,6.0,6.0,,,,undefined
imagenet_r,m8_analytic,F5,global,6.0,6.0,,,,undefined
