dataset,method,knob_name,knob_value,seed,retention_bwt,final_acc
cifar100,m5_hybrid_replay,buffer_size_per_class,1,0,-0.14011111111111113,0.7939999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,1,1,-0.16155555555555556,0.7737
cifar100,m5_hybrid_replay,buffer_size_per_class,1,2,-0.1567777777777778,0.7753
cifar100,m5_hybrid_replay,buffer_size_per_class,2,0,-0.10311111111111111,0.8179000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,2,1,-0.12066666666666664,0.7969
cifar100,m5_hybrid_replay,buffer_size_per_class,2,2,-0.11411111111111112,0.8093999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,5,0,-0.06866666666666667,0.833
cifar100,m5_hybrid_replay,buffer_size_per_class,5,1,-0.07722222222222223,0.8230000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,5,2,-0.06777777777777778,0.8352
cifar100,m5_hybrid_replay,buffer_size_per_class,10,0,-0.04277777777777779,0.8414999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,10,1,-0.04577777777777778,0.8362
cifar100,m5_hybrid_replay,buffer_size_per_class,10,2,-0.03988888888888889,0.845
cifar100,m5_hybrid_replay,buffer_size_per_class,20,0,-0.023888888888888897,0.8484999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,20,1,-0.025999999999999985,0.8423999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,20,2,-0.02511111111111111,0.8471
cifar100,m5_hybrid_replay,buffer_size_per_class,50,0,-0.005444444444444437,0.8579000000000001
cifar100,m5_hybrid_replay,buffer_size_per_class,50,1,-0.01055555555555554,0.8488999999999999
cifar100,m5_hybrid_replay,buffer_size_per_class,50,2,-0.011222222222222208,0.8514999999999999
cifar100,m2_target,n_synthetic_per_class,1,0,-0.1326666666666667,0.7924
cifar100,m2_target,n_synthetic_per_class,1,1,-0.14755555555555558,0.7814000000000001
cifar100,m2_target,n_synthetic_per_class,1,2,-0.12644444444444447,0.7931999999999999
cifar100,m2_target,n_synthetic_per_class,2,0,-0.10766666666666669,0.8089000000000001
cifar100,m2_target,n_synthetic_per_class,2,1,-0.10111111111111112,0.8057000000000001
cifar100,m2_target,n_synthetic_per_class,2,2,-0.09844444444444446,0.8135
cifar100,m2_target,n_synthetic_per_class,5,0,-0.07744444444444445,0.8186
cifar100,m2_target,n_synthetic_per_class,5,1,-0.07311111111111111,0.8201
cifar100,m2_target,n_synthetic_per_class,5,2,-0.06855555555555556,0.8294
cifar100,m2_target,n_synthetic_per_class,10,0,-0.05377777777777778,0.8295000000000001
cifar100,m2_target,n_synthetic_per_class,10,1,-0.04555555555555557,0.8311
cifar100,m2_target,n_synthetic_per_class,10,2,-0.04755555555555556,0.8379
cifar100,m2_target,n_synthetic_per_class,20,0,-0.036777777777777784,0.8333
cifar100,m2_target,n_synthetic_per_class,20,1,-0.030111111111111127,0.8355
cifar100,m2_target,n_synthetic_per_class,20,2,-0.032888888888888884,0.8403
cifar100,m2_target,n_synthetic_per_class,50,0,-0.021555555555555564,0.8346
cifar100,m2_target,n_synthetic_per_class,50,1,-0.014777777777777779,0.8375999999999999
cifar100,m2_target,n_synthetic_per_class,50,2,-0.01588888888888888,0.8442000000000001
