dataset,method,knob_name,knob_value,seed,tpr1,tpr01,ci_lo,ci_hi,auc,n_targets
cifar100,m5_hybrid_replay,buffer_size_per_class,1,0,0.03360031256104708,0.00840007814026177,0.030194158296772203,0.03727499100631863,0.5581137439085564,200
cifar100,m5_hybrid_replay,buffer_size_per_class,1,1,0.04083831162471844,0.009401625697776908,0.03708203429892843,0.044859224811375935,0.5634315472435334,200
cifar100,m5_hybrid_replay,buffer_size_per_class,1,2,0.0380887104670518,0.015568393224321943,0.03445974331449264,0.04198399392310844,0.567315435181743,200
cifar100,m5_hybrid_replay,buffer_size_per_class,2,0,0.042716535433070864,0.01673228346456693,0.038866864098411696,0.04683100113491439,0.5762504036970965,200
cifar100,m5_hybrid_replay,buffer_size_per_class,2,1,0.04911108928396032,0.019349769177880366,0.044993803624102935,0.05348865434154468,0.588851130096674,200
cifar100,m5_hybrid_replay,buffer_size_per_class,2,2,0.04898435222081835,0.021382058509087375,0.044893454244967795,0.053332854599872824,0.5794633115041371,200
cifar100,m5_hybrid_replay,buffer_size_per_class,5,0,0.05648780487804878,0.02507317073170732,0.05209626514149857,0.06113338507110576,0.6030734206415955,200
cifar100,m5_hybrid_replay,buffer_size_per_class,5,1,0.0539906103286385,0.01917057902973396,0.049688546867879005,0.058548876554983,0.6066001384244496,200
cifar100,m5_hybrid_replay,buffer_size_per_class,5,2,0.057679147521751885,0.025320168149379214,0.05323876868666455,0.062373373206158246,0.6007114686499917,200
cifar100,m5_hybrid_replay,buffer_size_per_class,10,0,0.06567222006974041,0.02247191011235955,0.06096861113093219,0.07062257715849228,0.6207990042819093,200
cifar100,m5_hybrid_replay,buffer_size_per_class,10,1,0.05993351583887368,0.021216269065310912,0.05541034717388728,0.06470919954219882,0.6207322631112484,200
cifar100,m5_hybrid_replay,buffer_size_per_class,10,2,0.0590589613432253,0.02528309254197579,0.05457105077563859,0.0637995148920674,0.616892505804414,200
cifar100,m5_hybrid_replay,buffer_size_per_class,20,0,0.08566623800573746,0.04115144920367989,0.08028099861827803,0.0912915391420798,0.6467518046106688,200
cifar100,m5_hybrid_replay,buffer_size_per_class,20,1,0.0701228358642035,0.029499951639423542,0.06527396292966492,0.07521547616461624,0.6398461213659257,200
cifar100,m5_hybrid_replay,buffer_size_per_class,20,2,0.06997169903386356,0.03405874890211769,0.06510641506040939,0.07508304230474197,0.6395078015449213,200
cifar100,m5_hybrid_replay,buffer_size_per_class,50,0,0.09399349048229609,0.041522832626491764,0.088381157557351,0.09984024753866659,0.6663052222388692,200
cifar100,m5_hybrid_replay,buffer_size_per_class,50,1,0.07938063504508036,0.03410427283418267,0.07420704634274682,0.08479574523688836,0.6583206894764613,200
cifar100,m5_hybrid_replay,buffer_size_per_class,50,2,0.07648257788993497,0.033000097059108995,0.07142248279532135,0.08178355794554817,0.652813357332833,200
cifar100,m2_target,n_synthetic_per_class,1,0,0.026695245518316445,0.005845674201091193,0.023663007142296435,0.029999860522892066,0.5691306051418556,200
cifar100,m2_target,n_synthetic_per_class,1,1,0.02322443866242652,0.00655295364748964,0.020412767079392647,0.026307844863439664,0.5738125718383614,200
cifar100,m2_target,n_synthetic_per_class,1,2,0.023714228537122274,0.0034020412247348407,0.020820507103638426,0.02688985854908033,0.5661793674321064,200
cifar100,m2_target,n_synthetic_per_class,2,0,0.03162665123903192,0.006460322051875422,0.028342387541923555,0.03517722773870841,0.5781588037445241,200
cifar100,m2_target,n_synthetic_per_class,2,1,0.030560437414567466,0.004588947471197032,0.02731218898634009,0.03407908080070047,0.5798621960487681,200
cifar100,m2_target,n_synthetic_per_class,2,2,0.026482947327274502,0.005765660119222124,0.023458418534485295,0.029780829791169045,0.582285131761904,200
cifar100,m2_target,n_synthetic_per_class,5,0,0.035420995349757595,0.011081428712773326,0.03190233755177098,0.03921050398408447,0.5972464204564641,200
cifar100,m2_target,n_synthetic_per_class,5,1,0.03339226085248478,0.006580239638577882,0.02998752664451876,0.03706714421118681,0.5992260010498303,200
cifar100,m2_target,n_synthetic_per_class,5,2,0.03337236533957846,0.006928181108508977,0.02997934166421338,0.03703379579700377,0.600332652503185,200
cifar100,m2_target,n_synthetic_per_class,10,0,0.040478290698814076,0.01323140252866804,0.03673692493923241,0.044484727622435785,0.615033992073298,200
cifar100,m2_target,n_synthetic_per_class,10,1,0.035804141668279464,0.009386491194116508,0.03230478170464295,0.039568109947072355,0.6093935050920553,200
cifar100,m2_target,n_synthetic_per_class,10,2,0.03547080328030827,0.009979251062148009,0.03195206781260787,0.03925997946901428,0.6167630163205003,200
cifar100,m2_target,n_synthetic_per_class,20,0,0.043061264435310234,0.010765316108827559,0.039207118203829085,0.047178475495883394,0.6317825038209461,200
cifar100,m2_target,n_synthetic_per_class,20,1,0.04055517275322374,0.009252879220395709,0.0368023894148283,0.04457413610504497,0.627891998139647,200
cifar100,m2_target,n_synthetic_per_class,20,2,0.04391158476416025,0.009177027827116636,0.040004540195927404,0.048083358794702456,0.6281842596177902,200
cifar100,m2_target,n_synthetic_per_class,50,0,0.04792581747193753,0.014543679843826257,0.0438697236008299,0.05224127817315463,0.6376078830830761,200
cifar100,m2_target,n_synthetic_per_class,50,1,0.043402101985208254,0.01012066952121448,0.03954371622027138,0.04752184539390542,0.6284885635327082,200
cifar100,m2_target,n_synthetic_per_class,50,2,0.04651846048379199,0.009793360101850945,0.042514427793755576,0.0507835969431111,0.634879015958871,200
