dataset,method,family,view,elapsed,acc_mean,acc_ci_lo,acc_ci_hi,acc_norm,tpr1_mean,tpr1_ci_lo,tpr1_ci_hi,tpr1_norm,auc_mean,auc_ci_lo,auc_ci_hi,auc_norm,leak_norm
cifar100,m0_fedavg,F1,full,0,0.9298499999999998,0.91339875,0.9434512499999997,1.0,0.027859653239091012,0.024389371131439457,0.03138343278210707,1.0,0.5589926998619308,0.5541085495576412,0.5637617253175121,1.0,1.0
cifar100,m0_fedavg,F1,full,1,0.40745000000000003,0.3595474999999999,0.45640000000000003,0.4276383245357536,0.02869796020119367,0.025059893066144565,0.03244444312244488,1.046938591185398,0.5673658469909785,0.5626069638831168,0.5721050776913242,1.1419353097695915,1.046938591185398
cifar100,m0_fedavg,F1,full,2,0.3027,0.24458749999999999,0.3643075,0.3177951619640755,0.02803562437982393,0.024377754876823168,0.031997874975149665,1.0098529987327947,0.5686732326196423,0.5639598567710065,0.5735995471228315,1.1640971303291472,1.0098529987327947
cifar100,m0_fedavg,F1,full,3,0.2589,0.2090325,0.3123012499999999,0.27332081961254484,0.02736351238396903,0.02397032200826129,0.030981750158209462,0.9722200174617031,0.567930525832158,0.5631536362844107,0.5730313689839499,1.1515073219423027,0.9722200174617031
cifar100,m0_fedavg,F1,full,4,0.24755,0.19644624999999996,0.29405,0.26395044783568683,0.026378562804588935,0.02288520857175336,0.030232014853315555,0.9170705939989763,0.5662962922070873,0.5613709138086876,0.571494011689712,1.1238050193032392,0.9170705939989763
cifar100,m0_fedavg,F1,full,5,0.2283,0.18709499999999998,0.2753037499999999,0.2445514681017662,0.02599484795604632,0.022454929341881393,0.03012529696173515,0.8955855828732985,0.5646561672634154,0.5595295056141102,0.5700390110268314,1.0960028514500886,0.8955855828732985
cifar100,m0_fedavg,F1,full,6,0.21395,0.16479375,0.25339999999999996,0.23010191810746244,0.025530479668001115,0.021900755103694027,0.029757798615553624,0.8695846139950898,0.5631560433536443,0.5579274316355016,0.5687910326594868,1.070573876114462,0.8695846139950898
cifar100,m1_glfc,F1,full,0,0.8789,0.8500475000000001,0.9033525,1.0,0.027399269787455993,0.02346391987101756,0.03186308718222253,1.0,0.5552391660939108,0.5484027290623479,0.5627095457435,1.0,1.0
cifar100,m1_glfc,F1,full,1,0.874,0.8568487499999999,0.8899000000000001,1.018262815214981,0.03396792280610249,0.029414891855918803,0.039407828034058956,1.3775246374639336,0.5729634839558867,0.5657632484880653,0.5803103160775007,1.3208650512906592,1.3775246374639336
cifar100,m1_glfc,F1,full,2,0.8731,0.85174875,0.8892012499999999,1.027253119393658,0.04014539053331595,0.03297053588395405,0.04666080451697705,1.7325664181061942,0.5829575324480906,0.5755707610038033,0.5905012259364641,1.5017882838248584,1.7325664181061942
cifar100,m1_glfc,F1,full,3,0.8764999999999998,0.8558000000000001,0.89275,1.0371246000869658,0.044627721997652886,0.036482000782549054,0.05275170648559963,1.9901824858545358,0.5916818690461126,0.5838315990355313,0.5999129175155082,1.6597257983628229,1.9901824858545358
cifar100,m1_glfc,F1,full,4,0.8749,0.85749875,0.89060375,1.0389690234778828,0.04912635284913287,0.040274732260417785,0.057941129949374365,2.248735339303781,0.5985700234193385,0.5903367095006791,0.6070263646841553,1.7844227273772018,2.248735339303781
cifar100,m1_glfc,F1,full,5,0.8755,0.8604487500000002,0.8891537500000001,1.042382382612986,0.051652757856304604,0.04322974088768114,0.06158373159145419,2.3939371229437554,0.6040694981924221,0.5955985526470371,0.6132042538781993,1.8839802544357027,2.3939371229437554
cifar100,m1_glfc,F1,full,6,0.8702,0.8544462499999997,0.8844999999999998,1.0379880186870853,0.05509192854348677,0.0466078942814845,0.06464859817073632,2.5915989058343016,0.6084837319658047,0.5999774891241406,0.6177587109004384,1.9638915580545544,2.5915989058343016
cifar100,m2_target,F1,full,0,0.8994,0.87909875,0.9175025000000001,1.0,0.03169317240371026,0.026555046104682622,0.03766651048324312,1.0,0.5749784663890651,0.5680140779965703,0.5823829260551957,1.0,1.0
cifar100,m2_target,F1,full,1,0.8971000000000002,0.8820500000000001,0.90905125,1.0208894746159443,0.036322877239721246,0.030226129735115695,0.04297902785646976,1.2134176020847534,0.5937099120111584,0.5867147901601568,0.6015912280864594,1.2498243365621182,1.2134176020847534
cifar100,m2_target,F1,full,2,0.8818499999999998,0.8613412500000001,0.8980574999999997,1.012726450166211,0.03939310255202326,0.0328634154856084,0.04543006965369514,1.354947169783063,0.6054306644204225,0.5982259796511621,0.6132224033072272,1.4061459175937279,1.354947169783063
cifar100,m2_target,F1,full,3,0.8771999999999999,0.8590487499999999,0.89300125,1.012858519752833,0.039669260384346726,0.03322011376266257,0.046982050759745264,1.3676773425389959,0.6129634484039299,0.6061157635285769,0.620329298416257,1.5066118826405406,1.3676773425389959
cifar100,m2_target,F1,full,4,0.86445,0.84463875,0.8830050000000002,1.001499130307722,0.041244984486427654,0.0352088672660462,0.047868743302552266,1.4403142106169642,0.6188049772120102,0.6120410747817561,0.6262104513662418,1.5845213023633775,1.4403142106169642
cifar100,m2_target,F1,full,5,0.8599,0.84414875,0.8738049999999998,0.9987518955732336,0.042317126658977564,0.035288688703978145,0.04923833110048355,1.4897372342576438,0.6236645131802949,0.6168493136695103,0.6310169100888366,1.6493337238800894,1.4897372342576438
cifar100,m2_target,F1,full,6,0.85145,0.8339962499999999,0.8674,0.9907462306309647,0.04202472424828214,0.035441321456213065,0.049201888849980585,1.476258227810186,0.6286540028672308,0.6220099926567261,0.6356873612769046,1.7158793592768622,1.476258227810186
cifar100,m3_fot,F1,full,0,0.9089499999999999,0.8861987500000003,0.92680125,1.0,0.028893392784758817,0.02408747047989648,0.033841629643030426,1.0,0.5702032172578567,0.5619960505649524,0.5793909348537902,1.0,1.0
cifar100,m3_fot,F1,full,1,0.78865,0.7637987500000001,0.8118012500000001,0.8829456158095383,0.03161734900689096,0.026714933222179906,0.03736370774316157,1.1441750697275264,0.5850405639149369,0.5773102091807268,0.5941056837753357,1.2113485284097807,1.1441750697275264
cifar100,m3_fot,F1,full,2,0.7530000000000001,0.7219474999999999,0.7784512499999998,0.8510658990119034,0.03411430887717876,0.02782934834269258,0.04105304520153122,1.2763355503110922,0.5925930346121184,0.584013340692389,0.6024981026449154,1.31892865069166,1.2763355503110922
cifar100,m3_fot,F1,full,3,0.7572999999999999,0.72439625,0.78530625,0.8616415289371019,0.03578435346574787,0.03010964239132035,0.0434172792250481,1.364728599013087,0.5965763971583483,0.5879015308782293,0.6065534802521413,1.3756691064972535,1.364728599013087
cifar100,m3_fot,F1,full,4,0.7513500000000001,0.7232987500000002,0.7794512499999999,0.8583446332707205,0.036513984596676125,0.030370562530817612,0.04225405716041798,1.4033469212615317,0.5995048095273426,0.5905306275632385,0.6096053293808908,1.4173824706902114,1.4033469212615317
cifar100,m3_fot,F1,full,5,0.7501500000000001,0.7341987500000002,0.7675000000000001,0.8595376102670118,0.036919335224969596,0.031839035758316724,0.04210745033408213,1.4248015447328897,0.6012589161357146,0.5922612980821259,0.6115209777948962,1.442368599202372,1.4248015447328897
