dataset,method,family,view,acc_norm,acc_norm_ci_lo,acc_norm_ci_hi,leak_norm,leak_norm_ci_lo,leak_norm_ci_hi,n_seeds,n_accuracy_seeds,n_leakage_seeds,n_replicates
cifar100,m0_fedavg,F1,full,0.23010191810746244,0.17423910943960738,0.2736551353370207,0.8695846139950898,0.7349967797791743,1.0397169594109625,5,5,5,2000
cifar100,m1_glfc,F1,full,1.0379880186870853,1.0193920641992769,1.060323110056694,2.5915989058343016,2.001625181141838,3.7534092576253886,3,5,3,2000
cifar100,m2_target,F1,full,0.9907462306309647,0.9698688987211231,1.0118359679067122,1.476258227810186,1.229537089898034,1.8476570059389146,3,5,3,2000
cifar100,m3_fot,F1,full,0.8576314405011983,0.8392888570837514,0.8781208535508751,1.4659944217978975,1.1717971759293238,1.960926010773333,3,5,3,2000
cifar100,m4_proto,F2,aggregate,0.9361501238656985,0.9199255336347217,0.9509935101710071,1.0,1.0,1.0,3,5,3,2000
cifar100,m4_proto,F2,full,0.9361501238656985,0.9199255336347217,0.9509935101710071,1.0,1.0,1.0,3,5,3,2000
cifar100,m4_proto,F2,global,0.9361501238656985,0.9199255336347217,0.9509935101710071,1.0,1.0,1.0,3,5,3,2000
cifar100,m5_hybrid_replay,F1,full,0.9859902966771565,0.9618941029934384,1.0042156775364417,2.5939590750811843,2.0103518447137505,3.5214580978680448,3,5,3,2000
cifar100,m8_analytic,F5,aggregate,0.9776183828580293,0.9627079152207668,0.9907521544965817,1.0,1.0,1.0,3,5,3,2000
cifar100,m8_analytic,F5,full,0.9776183828580293,0.9627079152207668,0.9907521544965817,1.0,1.0,1.0,3,5,3,2000
cifar100,m8_analytic,F5,global,0.9776183828580293,0.9627079152207668,0.9907521544965817,0.9482016240714988,0.9256482079533602,0.9676191442869125,3,5,3,2000
cub200,m0_fedavg,F1,full,0.3308659372187941,0.28913542386421814,0.3791248384845582,0.32046238490264833,0.2533633471964964,0.4041415218519909,5,5,5,2000
cub200,m1_glfc,F1,full,1.489116111433845,1.3119637520633414,1.7373000517591446,3.9713956929146805,2.9249795131721736,5.857632358463389,3,5,3,2000
cub200,m2_target,F1,full,1.6950304333963913,1.4508339820016454,2.070940173994984,4.856439720957002,4.12200870979998,5.873855353403047,3,5,3,2000
cub200,m3_fot,F1,full,1.1057263434580664,0.9833882083314713,1.283954862951775,1.5396116171163432,1.1145249553371548,1.8951951765484671,3,5,3,2000
cub200,m4_proto,F2,aggregate,0.9426443244339268,0.9317916311534148,0.9544748296907651,1.0,1.0,1.0,3,5,3,2000
cub200,m4_proto,F2,full,0.9426443244339268,0.9317916311534148,0.9544748296907651,1.0,1.0,1.0,3,5,3,2000
cub200,m4_proto,F2,global,0.9426443244339268,0.9317916311534148,0.9544748296907651,1.0,1.0,1.0,3,5,3,2000
cub200,m5_hybrid_replay,F1,full,1.31857877748878,1.218170423909661,1.4574195361197164,4.692037057326858,4.111747131194562,5.62603963254883,3,5,3,2000
cub200,m8_analytic,F5,aggregate,0.9570929638165441,0.9434629838361586,0.9691782453806351,1.0,1.0,1.0,3,5,3,2000
cub200,m8_analytic,F5,full,0.9570929638165441,0.9434629838361586,0.9691782453806351,1.0,1.0,1.0,3,5,3,2000
cub200,m8_analytic,F5,global,0.9570929638165441,0.9434629838361586,0.9691782453806351,1.0,1.0,1.0,3,5,3,2000
imagenet_r,m0_fedavg,F1,full,0.2417671638667782,0.21285358946171296,0.26744426736063304,0.9680844037719958,0.8144976914450409,1.1246293090241979,5,5,5,2000
imagenet_r,m1_glfc,F1,full,1.2250500764971046,1.1490943538824128,1.3140290913912216,3.449780643554787,2.7495045516119965,4.538651080646589,3,5,3,2000
imagenet_r,m2_target,F1,full,1.0980101966660192,1.040861680369412,1.1626061381569086,2.6656143428221593,2.3157497908537765,3.0924585262448763,3,5,3,2000
imagenet_r,m3_fot,F1,full,0.6631761382043783,0.6342206916237854,0.6965571844240587,1.1640509651665116,0.8643101255786811,1.43197755863498,3,5,3,2000
imagenet_r,m4_proto,F2,aggregate,0.8134506967758923,0.7900959452125784,0.8333764676277128,1.0,1.0,1.0,3,5,3,2000
imagenet_r,m4_proto,F2,full,0.8134506967758923,0.7900959452125784,0.8333764676277128,1.0,1.0,1.0,3,5,3,2000
imagenet_r,m4_proto,F2,global,0.8134506967758923,0.7900959452125784,0.8333764676277128,1.0,1.0,1.0,3,5,3,2000
imagenet_r,m5_hybrid_replay,F1,full,1.0489464909150596,1.0124812487982977,1.0905592461198794,3.6899481891754964,3.1042830689748317,4.613524313641505,3,5,3,2000
imagenet_r,m8_analytic,F5,aggregate,0.8575770908726852,0.8413284922790939,0.8754272501158283,1.0,1.0,1.0,3,5,3,2000
imagenet_r,m8_analytic,F5,full,0.8575770908726852,0.8413284922790939,0.8754272501158283,1.0,1.0,1.0,3,5,3,2000
imagenet_r,m8_analytic,F5,global,0.8575770908726852,0.8413284922790939,0.8754272501158283,0.9883390791270176,0.9823631755326513,0.9955894227379394,3,5,3,2000
