dataset,method,knob_name,knob_value,retention_bwt,tpr1,tpr01,final_acc,seed,ci_lo,ci_hi
cifar100,m5_hybrid_replay,buffer_size_per_class,1,-0.14011111111111113,0.03360031256104708,0.00840007814026177,0.7939999999999999,0,0.030194158296772203,0.03727499100631863
cifar100,m5_hybrid_replay,buffer_size_per_class,1,-0.16155555555555556,0.04083831162471844,0.009401625697776908,0.7737,1,0.03708203429892843,0.044859224811375935
cifar100,m5_hybrid_replay,buffer_size_per_class,1,-0.1567777777777778,0.0380887104670518,0.015568393224321943,0.7753,2,0.03445974331449264,0.04198399392310844
cifar100,m5_hybrid_replay,buffer_size_per_class,2,-0.10311111111111111,0.042716535433070864,0.01673228346456693,0.8179000000000001,0,0.038866864098411696,0.04683100113491439
cifar100,m5_hybrid_replay,buffer_size_per_class,2,-0.12066666666666664,0.04911108928396032,0.019349769177880366,0.7969,1,0.044993803624102935,0.05348865434154468
cifar100,m5_hybrid_replay,buffer_size_per_class,2,-0.11411111111111112,0.04898435222081835,0.021382058509087375,0.8093999999999999,2,0.044893454244967795,0.053332854599872824
cifar100,m5_hybrid_replay,buffer_size_per_class,5,-0.06866666666666667,0.05648780487804878,0.02507317073170732,0.833,0,0.05209626514149857,0.06113338507110576
cifar100,m5_hybrid_replay,buffer_size_per_class,5,-0.07722222222222223,0.0539906103286385,0.01917057902973396,0.8230000000000001,1,0.049688546867879005,0.058548876554983
cifar100,m5_hybrid_replay,buffer_size_per_class,5,-0.06777777777777778,0.057679147521751885,0.025320168149379214,0.8352,2,0.05323876868666455,0.062373373206158246
cifar100,m5_hybrid_replay,buffer_size_per_class,10,-0.04277777777777779,0.06567222006974041,0.02247191011235955,0.8414999999999999,0,0.06096861113093219,0.07062257715849228
cifar100,m5_hybrid_replay,buffer_size_per_class,10,-0.04577777777777778,0.05993351583887368,0.021216269065310912,0.8362,1,0.05541034717388728,0.06470919954219882
cifar100,m5_hybrid_replay,buffer_size_per_class,10,-0.03988888888888889,0.0590589613432253,0.02528309254197579,0.845,2,0.05457105077563859,0.0637995148920674
cifar100,m5_hybrid_replay,buffer_size_per_class,20,-0.023888888888888897,0.08566623800573746,0.04115144920367989,0.8484999999999999,0,0.08028099861827803,0.0912915391420798
cifar100,m5_hybrid_replay,buffer_size_per_class,20,-0.025999999999999985,0.0701228358642035,0.029499951639423542,0.8423999999999999,1,0.06527396292966492,0.07521547616461624
cifar100,m5_hybrid_replay,buffer_size_per_class,20,-0.02511111111111111,0.06997169903386356,0.03405874890211769,0.8471,2,0.06510641506040939,0.07508304230474197
cifar100,m5_hybrid_replay,buffer_size_per_class,50,-0.005444444444444437,0.09399349048229609,0.041522832626491764,0.8579000000000001,0,0.088381157557351,0.09984024753866659
cifar100,m5_hybrid_replay,buffer_size_per_class,50,-0.01055555555555554,0.07938063504508036,0.03410427283418267,0.8488999999999999,1,0.07420704634274682,0.08479574523688836
cifar100,m5_hybrid_replay,buffer_size_per_class,50,-0.011222222222222208,0.07648257788993497,0.033000097059108995,0.8514999999999999,2,0.07142248279532135,0.08178355794554817
cifar100,m2_target,n_synthetic_per_class,1,-0.1326666666666667,0.026695245518316445,0.005845674201091193,0.7924,0,0.023663007142296435,0.029999860522892066
