dataset,method,retention_type,knob_value,tpr1,retention_bwt,seed,ci_lo,ci_hi
cifar100,m5_hybrid_replay,individual,1,0.03360031256104708,-0.14011111111111113,0,0.030194158296772203,0.03727499100631863
cifar100,m5_hybrid_replay,individual,1,0.04083831162471844,-0.16155555555555556,1,0.03708203429892843,0.044859224811375935
cifar100,m5_hybrid_replay,individual,1,0.0380887104670518,-0.1567777777777778,2,0.03445974331449264,0.04198399392310844
cifar100,m5_hybrid_replay,individual,2,0.042716535433070864,-0.10311111111111111,0,0.038866864098411696,0.04683100113491439
cifar100,m5_hybrid_replay,individual,2,0.04911108928396032,-0.12066666666666664,1,0.044993803624102935,0.05348865434154468
cifar100,m5_hybrid_replay,individual,2,0.04898435222081835,-0.11411111111111112,2,0.044893454244967795,0.053332854599872824
cifar100,m5_hybrid_replay,individual,5,0.05648780487804878,-0.06866666666666667,0,0.05209626514149857,0.06113338507110576
cifar100,m5_hybrid_replay,individual,5,0.0539906103286385,-0.07722222222222223,1,0.049688546867879005,0.058548876554983
cifar100,m5_hybrid_replay,individual,5,0.057679147521751885,-0.06777777777777778,2,0.05323876868666455,0.062373373206158246
cifar100,m5_hybrid_replay,individual,10,0.06567222006974041,-0.04277777777777779,0,0.06096861113093219,0.07062257715849228
cifar100,m5_hybrid_replay,individual,10,0.05993351583887368,-0.04577777777777778,1,0.05541034717388728,0.06470919954219882
cifar100,m5_hybrid_replay,individual,10,0.0590589613432253,-0.03988888888888889,2,0.05457105077563859,0.0637995148920674
cifar100,m5_hybrid_replay,individual,20,0.08566623800573746,-0.023888888888888897,0,0.08028099861827803,0.0912915391420798
cifar100,m5_hybrid_replay,individual,20,0.0701228358642035,-0.025999999999999985,1,0.06527396292966492,0.07521547616461624
cifar100,m5_hybrid_replay,individual,20,0.06997169903386356,-0.02511111111111111,2,0.06510641506040939,0.07508304230474197
cifar100,m5_hybrid_replay,individual,50,0.09399349048229609,-0.005444444444444437,0,0.088381157557351,0.09984024753866659
cifar100,m5_hybrid_replay,individual,50,0.07938063504508036,-0.01055555555555554,1,0.07420704634274682,0.08479574523688836
cifar100,m5_hybrid_replay,individual,50,0.07648257788993497,-0.011222222222222208,2,0.07142248279532135,0.08178355794554817
cifar100,m2_target,semantic,1,0.026695245518316445,-0.1326666666666667,0,0.023663007142296435,0.029999860522892066
cifar100,m2_target,semantic,1,0.02322443866242652,-0.14755555555555558,1,0.020412767079392647,0.026307844863439664
cifar100,m2_target,semantic,1,0.023714228537122274,-0.12644444444444447,2,0.020820507103638426,0.02688985854908033
cifar100,m2_target,semantic,2,0.03162665123903192,-0.10766666666666669,0,0.028342387541923555,0.03517722773870841
cifar100,m2_target,semantic,2,0.030560437414567466,-0.10111111111111112,1,0.02731218898634009,0.03407908080070047
cifar100,m2_target,semantic,2,0.026482947327274502,-0.09844444444444446,2,0.023458418534485295,0.029780829791169045
cifar100,m2_target,semantic,5,0.035420995349757595,-0.07744444444444445,0,0.03190233755177098,0.03921050398408447
cifar100,m2_target,semantic,5,0.03339226085248478,-0.07311111111111111,1,0.02998752664451876,0.03706714421118681
cifar100,m2_target,semantic,5,0.03337236533957846,-0.06855555555555556,2,0.02997934166421338,0.03703379579700377
cifar100,m2_target,semantic,10,0.040478290698814076,-0.05377777777777778,0,0.03673692493923241,0.044484727622435785
cifar100,m2_target,semantic,10,0.035804141668279464,-0.04555555555555557,1,0.03230478170464295,0.039568109947072355
cifar100,m2_target,semantic,10,0.03547080328030827,-0.04755555555555556,2,0.03195206781260787,0.03925997946901428
cifar100,m2_target,semantic,20,0.043061264435310234,-0.036777777777777784,0,0.039207118203829085,0.047178475495883394
cifar100,m2_target,semantic,20,0.04055517275322374,-0.030111111111111127,1,0.0368023894148283,0.04457413610504497
cifar100,m2_target,semantic,20,0.04391158476416025,-0.032888888888888884,2,0.040004540195927404,0.048083358794702456
cifar100,m2_target,semantic,50,0.04792581747193753,-0.021555555555555564,0,0.0438697236008299,0.05224127817315463
cifar100,m2_target,semantic,50,0.043402101985208254,-0.014777777777777779,1,0.03954371622027138,0.04752184539390542
cifar100,m2_target,semantic,50,0.04651846048379199,-0.01588888888888888,2,0.042514427793755576,0.0507835969431111
