method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,2,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,3,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,4,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,5,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,6,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,7,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,8,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,9,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,10,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,11,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,13,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,16,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,19,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,23,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,28,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,34,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,41,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,49,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,60,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,72,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,87,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,105,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,127,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,153,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,184,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,222,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,268,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,324,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,391,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,472,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,569,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,687,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,829,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U1,3,2.0,1e-05,1000,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,2,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,3,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,4,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,5,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,6,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,7,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,8,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,9,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,10,2.0,31.0,3.6430702143557943,contractive,1
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,11,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,13,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,16,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,19,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,23,2.0,nan,3.6430702143557943,contractive,0
M2,cifar100,10,934940b0d31b7a5d,U2,3,2.0,1e-05,28,2.0,nan,3.6430702143557943,contractive,0
