method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,1,1.0,30.0,2.5292139405522476,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,2,2.0,60.0,3.6430702143557943,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,3,3.0,90.0,4.530670910207755,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,4,4.0,120.0,5.298525913621841,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,5,5.0,150.0,5.989928952612497,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,6,6.0,180.0,6.627064838413654,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,7,7.0,210.0,7.2228557001495926,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,8,8.0,240.0,7.786148140875069,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,9,9.0,270.0,8.32290815088033,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,10,10.0,300.0,8.837137179629,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,11,11.0,nan,9.332482635101428,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,13,13.0,nan,10.275778510681564,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,16,16.0,nan,11.597073111012214,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,19,19.0,nan,12.833657185228812,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,23,23.000000000000004,nan,14.38147740685298,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,28,28.000000000000004,nan,16.19572800655683,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,34,34.00000000000001,nan,18.240223715748627,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,41,41.00000000000001,nan,20.487792395451542,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,49,49.00000000000001,nan,22.91998804247573,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,60,60.000000000000014,nan,26.08512999244108,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,72,72.00000000000001,nan,29.35897512033764,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,87,87.00000000000001,nan,33.25803711357819,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,105,105.00000000000001,nan,37.71682632389029,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,127,127.00000000000003,nan,42.91844411113106,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,153,153.00000000000003,nan,48.80235366498836,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,184,184.00000000000003,nan,55.558386427103585,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,222,222.00000000000006,nan,63.49833045608512,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,268,268.00000000000006,nan,72.78447969015048,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,324,324.00000000000006,nan,83.71305013226166,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,391,391.00000000000006,nan,96.36229821481945,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,472,472.0000000000001,nan,111.1765381066988,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,569,569.0000000000001,nan,128.39103600561833,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,687,687.0000000000001,nan,148.76771427668623,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,829,829.0000000000002,nan,172.7214023396624,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U1,3,2.0,1e-05,1000,1000.0000000000002,nan,201.0695932944363,accumulating,0
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,1,1.0,30.0,2.5292139405522476,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,2,2.0,60.0,3.6430702143557943,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,3,3.0,90.0,4.530670910207755,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,4,4.0,120.0,5.298525913621841,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,5,5.0,150.0,5.989928952612497,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,6,6.0,180.0,6.627064838413654,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,7,7.0,210.0,7.2228557001495926,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,8,8.0,240.0,7.786148140875069,accumulating,1
M5,cifar100,10,e4971cdc07574a8b,U2,3,2.0,1e-05,9,9.0,270.0,8.32290815088033,accumulating,1
