method,ledger_hash,unit,sigma,delta,T,eps,regime,task_disjoint,violations
M0,644a6e018def9325,U1,2.0,1e-05,1,16.89212456693972,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U1,2.0,1e-05,5,48.13560743383258,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U1,2.0,1e-05,10,79.0567184739702,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U1,2.0,1e-05,50,280.53591202050796,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U1,2.0,1e-05,100,506.88462719901037,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U1,2.0,1e-05,500,2177.88524466053,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U1,2.0,1e-05,1000,4165.568215091068,"sequential-composition (U1, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,1,16.89212456693972,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,5,48.13560743383258,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,10,79.0567184739702,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,50,280.53591202050796,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,100,506.88462719901037,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,500,2177.88524466053,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U2,2.0,1e-05,1000,4165.568215091068,"sequential-composition (U2, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,1,16.89212456693972,"sequential-composition (U3, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,5,48.13560743383258,"sequential-composition (U3, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,10,79.0567184739702,"sequential-composition (U3, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,50,280.53591202050796,"sequential-composition (U3, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,100,506.88462719901037,"sequential-composition (U3, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,500,2177.88524466053,"sequential-composition (U3, 30 touches/task)",False,V5b
M0,644a6e018def9325,U3,2.0,1e-05,1000,4165.568215091068,"sequential-composition (U3, 30 touches/task)",False,V5b
