dataset,method,T,eps_target,eps_analytical,eps_audited_lb,eps_audited_ci_lo,eps_audited_ci_hi,final_acc,bwt,seed,ci_lo,ci_hi
cifar100,m9_contractive_U1,10,0.5,0.5,,,,0.36190000000000005,-0.2653333333333333,0,0.34418527715025576,0.38694805618307754
cifar100,m9_contractive_U1,10,0.5,0.5,,,,0.3754,-0.2743333333333333,1,0.34418527715025576,0.38694805618307754
cifar100,m9_contractive_U1,10,0.5,0.5,,,,0.3594,-0.26,2,0.34418527715025576,0.38694805618307754
cifar100,m9_contractive_U1,10,1.0,1.0,,,,0.6023000000000001,-0.157,0,0.5638181900934203,0.6281818099065797
cifar100,m9_contractive_U1,10,1.0,1.0,,,,0.6046000000000001,-0.16933333333333334,1,0.5638181900934203,0.6281818099065797
cifar100,m9_contractive_U1,10,1.0,1.0,,,,0.5811,-0.18722222222222218,2,0.5638181900934203,0.6281818099065797
cifar100,m9_contractive_U1,10,2.0,2.0,,,,0.687,-0.1191111111111111,0,0.6824937303158639,0.6969729363508027
cifar100,m9_contractive_U1,10,2.0,2.0,,,,0.6928,-0.11955555555555554,1,0.6824937303158639,0.6969729363508027
cifar100,m9_contractive_U1,10,2.0,2.0,,,,0.6894,-0.13555555555555554,2,0.6824937303158639,0.6969729363508027
cifar100,m9_contractive_U1,10,4.0,4.0,,,,0.8105,-0.06911111111111114,0,0.809506344915312,0.8114936550846877
cifar100,m9_contractive_U1,10,4.0,4.0,,,,0.8100999999999999,-0.061111111111111116,1,0.809506344915312,0.8114936550846877
cifar100,m9_contractive_U1,10,4.0,4.0,,,,0.8109,-0.08100000000000002,2,0.809506344915312,0.8114936550846877
cifar100,m9_contractive_U1,10,8.0,8.0,,,,0.8177,-0.06566666666666669,0,0.8154171457352176,0.8205161875981156
cifar100,m9_contractive_U1,10,8.0,8.0,,,,0.8191,-0.05666666666666668,1,0.8154171457352176,0.8205161875981156
cifar100,m9_contractive_U1,10,8.0,8.0,,,,0.8170999999999999,-0.07800000000000001,2,0.8154171457352176,0.8205161875981156
