dataset,backbone,n_per_class,ref_quality,median_cos,ci_lo,ci_hi,n_trials
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_full,0.9999999994326261,0.9999999773108856,1.0000000073110005,25
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_full,0.9493639543415369,0.6255620445170678,0.9940126621904227,25
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_full,0.6001575433608008,0.507063583224643,0.6671708010029774,25
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_full,0.48633492959767716,0.45106221190993157,0.562536508999725,25
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_full,0.4638767521144378,0.44737834953175487,0.5199309549215673,25
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_full,0.4585249019985783,0.426444198143853,0.4770920282573743,25
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_full,0.46990866311382995,0.4266907820174357,0.4825134301806076,25
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_full,0.47109000207480245,0.42378221467308713,0.4878889812751094,25
cifar100,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,1.0000000032535612,0.9999999758328676,1.0000000198828152,25
cifar100,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,0.9808405041161737,0.604869046725728,0.9968653177897792,25
cifar100,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,0.6604097190029901,0.5664519511819521,0.7215281966421945,25
cifar100,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,0.5232652302823237,0.4585905367500961,0.5721600585499798,25
cifar100,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,0.4882099424088601,0.45849822624822945,0.5363622038545527,25
cifar100,vit_base_patch16_224.augreg_in21k,32,clean_small_pool,0.49099000503273316,0.4738149655372528,0.5042424728376063,25
cifar100,vit_base_patch16_224.augreg_in21k,64,clean_small_pool,0.4661820267014326,0.4484667379020549,0.48743572386767775,25
cifar100,vit_base_patch16_224.augreg_in21k,128,clean_small_pool,0.44921125499898457,0.4144403280125441,0.472108392860649,25
cifar100,vit_base_patch16_224.augreg_in21k,1,noisy_full,1.0000000040503108,0.999999974448625,1.0000000244297627,25
cifar100,vit_base_patch16_224.augreg_in21k,2,noisy_full,0.9924085412870505,0.7407347410037961,0.9991855186375964,25
cifar100,vit_base_patch16_224.augreg_in21k,4,noisy_full,0.5684571828179892,0.48220011330121254,0.6694163167316205,25
cifar100,vit_base_patch16_224.augreg_in21k,8,noisy_full,0.4852734333914959,0.417785477277359,0.5470625131886795,25
cifar100,vit_base_patch16_224.augreg_in21k,16,noisy_full,0.5160020187363877,0.4602021380596787,0.5338803147030396,25
cifar100,vit_base_patch16_224.augreg_in21k,32,noisy_full,0.4662498049671372,0.44427649522572815,0.5027763505997962,25
cifar100,vit_base_patch16_224.augreg_in21k,64,noisy_full,0.459272024405919,0.4275865922805352,0.5093759544993934,25
cifar100,vit_base_patch16_224.augreg_in21k,128,noisy_full,0.4560249315400832,0.4448786344375909,0.4679156445734032,25
cub200,vit_base_patch16_224.augreg_in21k,1,clean_full,1.000000008471005,0.9999999969096145,1.0000000164900489,25
cub200,vit_base_patch16_224.augreg_in21k,2,clean_full,0.6325433262554754,0.5475919780933621,0.9970814795885319,25
cub200,vit_base_patch16_224.augreg_in21k,4,clean_full,0.7610959087330644,0.7332994853671724,0.8219144603378351,25
cub200,vit_base_patch16_224.augreg_in21k,8,clean_full,0.7005888235027884,0.6715179193657033,0.7132159783587524,25
cub200,vit_base_patch16_224.augreg_in21k,16,clean_full,0.6762091039013898,0.6329245984966827,0.6960791237069015,25
cub200,vit_base_patch16_224.augreg_in21k,1,clean_small_pool,0.9999999901812816,0.9999999731598661,1.0000000029582103,25
cub200,vit_base_patch16_224.augreg_in21k,2,clean_small_pool,0.9824374449381621,0.7338977669421937,0.9971973265197263,25
cub200,vit_base_patch16_224.augreg_in21k,4,clean_small_pool,0.7462746310821055,0.6373916649133744,0.8137580929597061,25
cub200,vit_base_patch16_224.augreg_in21k,8,clean_small_pool,0.6938797052796777,0.6230707139966722,0.7020521114223859,25
cub200,vit_base_patch16_224.augreg_in21k,16,clean_small_pool,0.675037596935459,0.6453185046435087,0.7146995838031653,25
cub200,vit_base_patch16_224.augreg_in21k,1,noisy_full,0.9999999837477471,0.9999999748211016,1.0000000184507436,25
cub200,vit_base_patch16_224.augreg_in21k,2,noisy_full,0.7205061547867125,0.6546471259703012,0.9969084831028003,25
cub200,vit_base_patch16_224.augreg_in21k,4,noisy_full,0.7419938165299373,0.7066674926499601,0.7780151453944512,25
cub200,vit_base_patch16_224.augreg_in21k,8,noisy_full,0.6710108705699676,0.6426584698511807,0.6993301181052418,25
cub200,vit_base_patch16_224.augreg_in21k,16,noisy_full,0.6606052293012992,0.6249917050658639,0.6965057035549904,25
