dataset,method,family,attack,fpr,tpr,seed
cifar100,m0_fedavg,F1,A1_LiRA,0.0,0.0010652235132785621,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001,0.003403817663120003,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00010473708979594497,0.003403817663120003,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00010969857978923841,0.0034895253021194274,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00011489510001873086,0.0034895253021194274,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00012033778407775893,0.0034895253021194274,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00012603829296797275,0.0037588921675461903,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001320088400831418,0.0037588921675461903,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00013826221737646565,0.0037588921675461903,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001448118227674533,0.0037588921675461903,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00015167168884709225,0.003979283239258996,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00015885651294280528,0.004138454568829356,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0001663816886076129,0.004138454568829356,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00017426333860096508,0.004309869846828205,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00018251834943190426,0.004309869846828205,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00019116440753857018,0.004432309331113098,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00020022003718155845,0.004493529073255544,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00020970464013232327,0.004505773021684032,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002196385372416547,0.004505773021684032,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002300430119772917,0.004505773021684032,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00024094035602395243,0.004505773021684032,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002523539170434766,0.004591480660683457,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00026430814869741055,0.00486084752611022,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00027682866303920667,0.004971043061966623,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0002899422853882875,0.004971043061966623,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003036771118035457,0.004971043061966623,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003180625692794119,0.00502001885568058,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00033312947879346737,0.005093482546251515,0
cifar100,m0_fedavg,F1,A1_LiRA,0.0003489101213406774,0.005154702288393961,0
cifar100,m0_fedavg,F1,A1_LiRA,0.00036543830709572547,0.00564446022553353,0
