dataset,method,family,seed,fpr,tpr
cifar100,m4_proto,F2,0,0.0,0.07041564792176039
cifar100,m4_proto,F2,0,0.0001,0.122200488997555
cifar100,m4_proto,F2,0,0.00010473708979594497,0.122200488997555
cifar100,m4_proto,F2,0,0.00010969857978923841,0.122200488997555
cifar100,m4_proto,F2,0,0.00011489510001873086,0.122200488997555
cifar100,m4_proto,F2,0,0.00012033778407775893,0.122200488997555
cifar100,m4_proto,F2,0,0.00012603829296797275,0.122200488997555
cifar100,m4_proto,F2,0,0.0001320088400831418,0.122200488997555
cifar100,m4_proto,F2,0,0.00013826221737646565,0.122200488997555
cifar100,m4_proto,F2,0,0.0001448118227674533,0.122200488997555
cifar100,m4_proto,F2,0,0.00015167168884709225,0.1223960880195599
cifar100,m4_proto,F2,0,0.00015885651294280528,0.1223960880195599
cifar100,m4_proto,F2,0,0.0001663816886076129,0.1223960880195599
cifar100,m4_proto,F2,0,0.00017426333860096508,0.1223960880195599
cifar100,m4_proto,F2,0,0.00018251834943190426,0.1223960880195599
cifar100,m4_proto,F2,0,0.00019116440753857018,0.1223960880195599
cifar100,m4_proto,F2,0,0.00020022003718155845,0.12327628361858191
cifar100,m4_proto,F2,0,0.00020970464013232327,0.12327628361858191
cifar100,m4_proto,F2,0,0.0002196385372416547,0.12327628361858191
cifar100,m4_proto,F2,0,0.0002300430119772917,0.12327628361858191
cifar100,m4_proto,F2,0,0.00024094035602395243,0.12327628361858191
cifar100,m4_proto,F2,0,0.0002523539170434766,0.1325672371638142
cifar100,m4_proto,F2,0,0.00026430814869741055,0.1325672371638142
cifar100,m4_proto,F2,0,0.00027682866303920667,0.1325672371638142
cifar100,m4_proto,F2,0,0.0002899422853882875,0.1325672371638142
cifar100,m4_proto,F2,0,0.0003036771118035457,0.13398533007334965
cifar100,m4_proto,F2,0,0.0003180625692794119,0.13398533007334965
cifar100,m4_proto,F2,0,0.00033312947879346737,0.13398533007334965
cifar100,m4_proto,F2,0,0.0003489101213406774,0.1363325183374083
cifar100,m4_proto,F2,0,0.00036543830709572547,0.1363325183374083
cifar100,m4_proto,F2,0,0.0003827494478516311,0.1363325183374083
cifar100,m4_proto,F2,0,0.0004008806328898465,0.1388753056234719
cifar100,m4_proto,F2,0,0.000419870708444391,0.1388753056234719
cifar100,m4_proto,F2,0,0.00043976036093027214,0.14097799511002446
cifar100,m4_proto,F2,0,0.00046059220411451035,0.14097799511002446
cifar100,m4_proto,F2,0,0.00048241087041653687,0.14097799511002446
cifar100,m4_proto,F2,0,0.0005052631065335679,0.142640586797066
cifar100,m4_proto,F2,0,0.0005291978735958442,0.142640586797066
cifar100,m4_proto,F2,0,0.0005542664520663107,0.15163814180929094
cifar100,m4_proto,F2,0,0.0005805225516094895,0.15163814180929094
cifar100,m4_proto,F2,0,0.0006080224261649427,0.1521760391198044
cifar100,m4_proto,F2,0,0.0006368249944718586,0.15227383863080685
cifar100,m4_proto,F2,0,0.0006669919663030121,0.15227383863080685
cifar100,m4_proto,F2,0,0.0006985879746785249,0.1530562347188264
cifar100,m4_proto,F2,0,0.0007316807143427193,0.1554523227383863
cifar100,m4_proto,F2,0,0.0007663410868007462,0.1554523227383863
cifar100,m4_proto,F2,0,0.0008026433522257174,0.1576039119804401
cifar100,m4_proto,F2,0,0.0008406652885618325,0.159119804400978
cifar100,m4_proto,F2,0,0.0008804883581643465,0.1593643031784841
cifar100,m4_proto,F2,0,0.0009221978823334322,0.1593643031784841
cifar100,m4_proto,F2,0,0.0009658832241158709,0.16073349633251835
cifar100,m4_proto,F2,0,0.001011637979766207,0.16376528117359412
cifar100,m4_proto,F2,0,0.001059560179277616,0.1647921760391198
cifar100,m4_proto,F2,0,0.0011097524964120721,0.1656234718826406
cifar100,m4_proto,F2,0,0.0011623224686798518,0.16704156479217605
cifar100,m4_proto,F2,0,0.001217382727739662,0.17134474327628363
cifar100,m4_proto,F2,0,0.0012750512407130128,0.17574572127139365
cifar100,m4_proto,F2,0,0.0013354515629298987,0.17618581907090464
cifar100,m4_proto,F2,0,0.0013987131026472386,0.17731051344743276
cifar100,m4_proto,F2,0,0.0014649713983072847,0.17907090464547679
cifar100,m4_proto,F2,0,0.0015343684089300133,0.17936430317848412
cifar100,m4_proto,F2,0,0.0016070528182616384,0.18337408312958436
cifar100,m4_proto,F2,0,0.0016831803533309566,0.18415647921760392
cifar100,m4_proto,F2,0,0.001762914118095948,0.18498777506112468
cifar100,m4_proto,F2,0,0.0018464249428955426,0.1858679706601467
cifar100,m4_proto,F2,0,0.0019338917504552321,0.18982885085574572
cifar100,m4_proto,F2,0,0.0020255019392306666,0.19070904645476772
cifar100,m4_proto,F2,0,0.00212145178491063,0.196479217603912
cifar100,m4_proto,F2,0,0.002221946860939524,0.20146699266503668
cifar100,m4_proto,F2,0,0.0023272024789604074,0.2017114914425428
cifar100,m4_proto,F2,0,0.002437444150122222,0.20229828850855747
cifar100,m4_proto,F2,0,0.0025529080682395165,0.2034718826405868
cifar100,m4_proto,F2,0,0.0026738416158399465,0.2050366748166259
cifar100,m4_proto,F2,0,0.002800503894183631,0.2130562347188264
cifar100,m4_proto,F2,0,0.0029331662783900424,0.21858190709046454
cifar100,m4_proto,F2,0,0.003072112998861759,0.222200488997555
cifar100,m4_proto,F2,0,0.0032176417502507355,0.22973105134474328
cifar100,m4_proto,F2,0,0.003370064329271928,0.23383863080684597
cifar100,m4_proto,F2,0,0.00352970730273065,0.23525672371638143
cifar100,m4_proto,F2,0,0.0036969127071950283,0.23853300733496333
cifar100,m4_proto,F2,0,0.003872038781812557,0.24112469437652811
cifar100,m4_proto,F2,0,0.004055460735840828,0.24655256723716382
cifar100,m4_proto,F2,0,0.0042475715525368985,0.2484596577017115
cifar100,m4_proto,F2,0,0.004448782831127585,0.25491442542787285
cifar100,m4_proto,F2,0,0.004659525668664682,0.25775061124694376
cifar100,m4_proto,F2,0,0.004880251583654433,0.26567237163814184
cifar100,m4_proto,F2,0,0.005111433483440166,0.26772616136919314
cifar100,m4_proto,F2,0,0.0053535666774107244,0.27061124694376526
cifar100,m4_proto,F2,0,0.005607169938205458,0.277359413202934
cifar100,m4_proto,F2,0,0.005872786613189483,0.2797555012224939
cifar100,m4_proto,F2,0,0.006150985788580504,0.28577017114914427
cifar100,m4_proto,F2,0,0.00644236350872137,0.2902689486552567
cifar100,m4_proto,F2,0,0.006747544053110693,0.2950611246943765
cifar100,m4_proto,F2,0,0.0070671812739274914,0.2976528117359413
cifar100,m4_proto,F2,0,0.007401959996915644,0.2993154034229829
cifar100,m4_proto,F2,0,0.007752597488629464,0.30312958435207826
cifar100,m4_proto,F2,0,0.008119844993184008,0.30557457212713934
cifar100,m4_proto,F2,0,0.008504489341802677,0.30963325183374085
cifar100,m4_proto,F2,0,0.00890735463861044,0.3132518337408313
cifar100,m4_proto,F2,0,0.009329304026284686,0.31594132029339855
cifar100,m4_proto,F2,0,0.009771241535346501,0.323080684596577
cifar100,m4_proto,F2,0,0.010234114021054527,0.32728606356968215
cifar100,m4_proto,F2,0,0.010718913192051276,0.33511002444987775
cifar100,m4_proto,F2,0,0.011226677735108135,0.33823960880195597
cifar100,m4_proto,F2,0,0.01175849554052157,0.3432762836185819
cifar100,m4_proto,F2,0,0.012315506032928261,0.3487041564792176
cifar100,m4_proto,F2,0,0.01289890261253308,0.3536430317848411
cifar100,m4_proto,F2,0,0.013509935211980266,0.35750611246943764
cifar100,m4_proto,F2,0,0.01414991297434576,0.3623471882640587
cifar100,m4_proto,F2,0,0.014820207057988586,0.3665036674816626
cifar100,m4_proto,F2,0,0.01552225357427048,0.36987775061124695
cifar100,m4_proto,F2,0,0.016257556664437952,0.37486552567237164
cifar100,m4_proto,F2,0,0.017027691722258997,0.3784841075794621
cifar100,m4_proto,F2,0,0.017834308769319095,0.38224938875305625
cifar100,m4_proto,F2,0,0.01867913599020783,0.38547677261613694
cifar100,m4_proto,F2,0,0.01956398343517065,0.3891931540342298
cifar100,m4_proto,F2,0,0.020490746898158482,0.3940831295843521
cifar100,m4_proto,F2,0,0.021461411978584036,0.3978484107579462
cifar100,m4_proto,F2,0,0.02247805833548725,0.4036674816625917
cifar100,m4_proto,F2,0,0.02354286414322418,0.4119315403422983
cifar100,m4_proto,F2,0,0.024658110758226038,0.4177506112469438
cifar100,m4_proto,F2,0,0.025826187606826773,0.42469437652811737
cifar100,m4_proto,F2,0,0.027049597304631343,0.4328117359413203
cifar100,m4_proto,F2,0,0.02833096101839324,0.4383863080684597
cifar100,m4_proto,F2,0,0.029673024081888696,0.44381418092909536
cifar100,m4_proto,F2,0,0.03107866187782014,0.4510513447432763
cifar100,m4_proto,F2,0,0.0325508859983506,0.4571149144254279
cifar100,m4_proto,F2,0,0.03409285069746811,0.46298288508557456
cifar100,m4_proto,F2,0,0.03570785964900463,0.46767726161369194
cifar100,m4_proto,F2,0,0.03739937302478798,0.47378973105134475
cifar100,m4_proto,F2,0,0.039171014908092605,0.48004889975550125
cifar100,m4_proto,F2,0,0.04102658105827194,0.48596577017114917
cifar100,m4_proto,F2,0,0.04297004704320839,0.49511002444987773
cifar100,m4_proto,F2,0,0.04500557675700498,0.49907090464547677
cifar100,m4_proto,F2,0,0.047137531341167244,0.5065036674816626
cifar100,m4_proto,F2,0,0.049370478528390035,0.5143765281173595
cifar100,m4_proto,F2,0,0.05170920242896761,0.5219559902200489
cifar100,m4_proto,F2,0,0.054158713780794704,0.5278239608801956
cifar100,m4_proto,F2,0,0.05672426068491978,0.5339364303178484
cifar100,m4_proto,F2,0,0.05941133984965034,0.5431295843520783
cifar100,m4_proto,F2,0,0.06222570836730231,0.5533496332518337
cifar100,m4_proto,F2,0,0.06517339604882427,0.5623960880195599
cifar100,m4_proto,F2,0,0.06826071834272386,0.571442542787286
cifar100,m4_proto,F2,0,0.07149428986597577,0.5815158924205379
cifar100,m4_proto,F2,0,0.07488103857590023,0.5890953545232274
cifar100,m4_proto,F2,0,0.07842822061337681,0.5981418092909535
cifar100,m4_proto,F2,0,0.0821434358491943,0.6060146699266503
cifar100,m4_proto,F2,0,0.086034644166845,0.6127139364303178
cifar100,m4_proto,F2,0,0.09011018251665019,0.6227383863080684
cifar100,m4_proto,F2,0,0.09437878277775381,0.6310513447432763
cifar100,m4_proto,F2,0,0.09884959046625587,0.6396088019559902
cifar100,m4_proto,F2,0,0.10353218432956626,0.6479217603911981
cifar100,m4_proto,F2,0,0.1084365968689611,0.6581418092909536
cifar100,m4_proto,F2,0,0.11357333583431052,0.6644987775061124
cifar100,m4_proto,F2,0,0.11895340673703195,0.67320293398533
cifar100,m4_proto,F2,0,0.12458833642950082,0.6821026894865526
cifar100,m4_proto,F2,0,0.1304901978014403,0.6924205378973105
cifar100,m4_proto,F2,0,0.13667163564620075,0.7012713936430318
cifar100,m4_proto,F2,0,0.14314589375234785,0.7109535452322738
cifar100,m4_proto,F2,0,0.14992684327860456,0.7209290953545232
cifar100,m4_proto,F2,0,0.15702901247293774,0.7291931540342298
cifar100,m4_proto,F2,0,0.16446761779946645,0.7378973105134474
cifar100,m4_proto,F2,0,0.17225859653987874,0.7473838630806846
cifar100,m4_proto,F2,0,0.18041864093920718,0.756039119804401
cifar100,m4_proto,F2,0,0.18896523396912096,0.7660635696821516
cifar100,m4_proto,F2,0,0.19791668678535573,0.7739853300733497
cifar100,m4_proto,F2,0,0.2072921779595372,0.7833740831295843
cifar100,m4_proto,F2,0,0.21711179456945054,0.7939364303178484
cifar100,m4_proto,F2,0,0.22739657523579276,0.8031784841075794
cifar100,m4_proto,F2,0,0.23816855519761582,0.8126650366748166
cifar100,m4_proto,F2,0,0.24945081352303167,0.8207823960880195
cifar100,m4_proto,F2,0,0.2612675225563329,0.8302200488997555
cifar100,m4_proto,F2,0,0.27364399970746717,0.8396088019559902
cifar100,m4_proto,F2,0,0.286606761694825,0.8486063569682152
cifar100,m4_proto,F2,0,0.3001835813575589,0.8580440097799511
cifar100,m4_proto,F2,0,0.31440354715915003,0.8662591687041565
cifar100,m4_proto,F2,0,0.3292971255097151,0.874718826405868
cifar100,m4_proto,F2,0,0.34489622604057596,0.883960880195599
cifar100,m4_proto,F2,0,0.36123426997094304,0.8931051344743276
cifar100,m4_proto,F2,0,0.3783462617131929,0.9022982885085574
cifar100,m4_proto,F2,0,0.3962688638701478,0.9124205378973105
cifar100,m4_proto,F2,0,0.41504047578504766,0.9209779951100244
cifar100,m4_proto,F2,0,0.43470131581250265,0.930562347188264
cifar100,m4_proto,F2,0,0.4552935074866948,0.9379951100244499
cifar100,m4_proto,F2,0,0.47686116977144694,0.9466503667481663
cifar100,m4_proto,F2,0,0.499450511585514,0.9525672371638142
cifar100,m4_proto,F2,0,0.5231099308056264,0.9600488997555012
cifar100,m4_proto,F2,0,0.5478901179593945,0.9667481662591687
cifar100,m4_proto,F2,0,0.5738441648302393,0.9720293398533008
cifar100,m4_proto,F2,0,0.6010276782070382,0.9765281173594133
cifar100,m4_proto,F2,0,0.6294988990221888,0.9811735941320293
cifar100,m4_proto,F2,0,0.6593188271333549,0.9862591687041565
cifar100,m4_proto,F2,0,0.6905513520162331,0.990317848410758
cifar100,m4_proto,F2,0,0.7232633896483533,0.9933496332518338
cifar100,m4_proto,F2,0,0.7575250258771913,0.9956479217603912
cifar100,m4_proto,F2,0,0.7934096665797492,0.9977506112469438
cifar100,m4_proto,F2,0,0.8309941949353395,0.9990220048899755
cifar100,m4_proto,F2,0,0.8703591361485166,0.9996088019559902
cifar100,m4_proto,F2,0,0.9115888299750827,0.9998533007334963
cifar100,m4_proto,F2,0,0.9547716114208056,0.9999511002444987
cifar100,m4_proto,F2,0,1.0,1.0
